episode,policy,workload_seed,generated,delivered,dropped,delivery_ratio,throughput_per_slot,mean_delay_slots,p95_delay_slots
0,dijkstra,11001,192,84,41,0.4375,2.8,7.798,16.85
1,dijkstra,11002,192,92,28,0.4792,3.0667,6.859,15.0
2,dijkstra,11003,192,81,47,0.4219,2.7,8.407,15.0
3,dijkstra,11004,192,95,44,0.4948,3.1667,6.474,16.0
4,dijkstra,11005,192,91,40,0.474,3.0333,6.78,16.0
5,dijkstra,11006,192,87,24,0.4531,2.9,8.598,18.7
6,dijkstra,11007,192,90,40,0.4688,3.0,7.522,17.0
7,dijkstra,11008,192,101,25,0.526,3.3667,6.861,16.0
8,dijkstra,11009,192,56,51,0.2917,1.8667,7.482,16.0
9,dijkstra,11010,192,74,54,0.3854,2.4667,7.716,16.35
10,dijkstra,11011,192,64,46,0.3333,2.1333,7.609,20.85
11,dijkstra,11012,192,55,75,0.2865,1.8333,6.055,12.6
12,dijkstra,11013,192,106,36,0.5521,3.5333,6.915,13.75
13,dijkstra,11014,192,68,31,0.3542,2.2667,8.971,18.65
14,dijkstra,11015,192,92,25,0.4792,3.0667,7.38,15.45
15,dijkstra,11016,192,81,55,0.4219,2.7,6.741,14.0
