packet_id,delivered,delay_ms
1,1,341.778
2,1,341.778
3,1,1375.11
4,1,691.556
5,1,1033.33
6,1,1371.11
7,1,1355.11
8,1,1851.11
9,1,1371.11
10,1,687.556
11,1,691.556
12,1,1375.11
13,1,683.556
14,1,687.556
15,1,1716.89
16,1,1021.33
17,1,345.778
18,1,2022.67
19,1,1188.89
20,1,683.556
21,1,2058.67
22,1,345.778
23,1,341.778
24,1,341.778
25,1,1179.56
26,1,1845.78
27,1,704.889
28,1,1184.89
29,1,517.333
30,1,2062.67
31,1,345.778
32,1,341.778
33,1,1029.33
34,1,1033.33
35,1,341.778
36,1,856.444
37,1,341.778
38,1,690.222
39,1,683.556
40,1,1379.11
41,1,687.556
42,1,687.556
43,1,1175.56
44,1,1033.33
45,1,1845.78
46,1,517.333
47,1,1029.33
48,1,1033.33
49,1,1375.11
50,1,1183.56
51,1,1509.33
52,1,345.778
53,1,341.778
54,1,1175.56
55,1,1845.78
56,1,687.556
57,1,1179.56
58,1,1033.33
59,1,341.778
60,1,345.778
61,1,708.889
62,1,3904.44
63,1,687.556
64,1,1042.67
65,1,843.111
66,1,1710.22
67,1,1175.56
68,1,1375.11
69,1,345.778
70,1,2404.44
71,1,1029.33
72,1,2554.67
73,1,687.556
74,1,341.778
75,1,1033.33
76,1,3180.89
77,1,341.778
78,1,1021.33
79,1,687.556
80,1,1029.33
81,1,1029.33
82,1,1033.33
83,1,1679.56
84,1,855.111
85,1,1720.89
86,1,1375.11
87,1,1513.33
88,1,1025.33
89,1,687.556
90,1,345.778
91,1,696.889
92,1,1347.11
93,0,-1
94,1,859.111
95,1,345.778
96,1,1187.56
97,1,1375.11
98,1,687.556
99,1,1514.67
100,1,692.889
101,1,1187.56
102,1,1029.33
103,1,860.444
104,1,1371.11
105,1,1029.33
106,1,1214.22
107,1,521.333
108,1,1375.11
109,1,683.556
110,1,2687.56
111,1,1716.89
112,1,694.222
113,0,-1
114,1,1183.56
115,1,1371.11
116,1,1884.44
117,0,-1
118,1,1029.33
119,1,687.556
120,0,-1
121,0,-1
122,1,1375.11
123,1,691.556
124,1,345.778
125,1,1025.33
126,1,345.778
127,1,341.778
128,0,-1
129,1,550.667
130,1,1033.33
131,1,1855.11
132,0,-1
133,0,-1
134,1,341.778
135,1,687.556
136,0,-1
137,1,718.222
138,0,-1
139,0,-1
140,0,-1
141,1,552
142,1,1687.56
143,1,521.333
144,0,-1
145,1,1716.89
146,1,1521.33
147,0,-1
148,0,-1
149,1,688.889
150,0,-1
151,0,-1
152,0,-1
153,0,-1
156,1,687.556
157,0,-1
158,0,-1
160,1,841.778
161,1,1188.89
162,0,-1
163,0,-1
164,0,-1
165,0,-1
166,1,687.556
167,1,355.111
168,1,687.556
169,1,683.556
170,0,-1
172,1,691.556
173,0,-1
174,0,-1
175,0,-1
178,0,-1
179,0,-1
180,0,-1
181,0,-1
183,0,-1
186,0,-1
1000001,1,687.556
1000002,1,1675.56
1000003,1,687.556
1000004,1,1375.11
1000005,1,683.556
1000006,1,1033.33
1000007,1,683.556
1000008,1,687.556
1000009,1,687.556
1000010,1,1021.33
1000011,1,1341.78
1000012,1,1700.89
1000013,1,341.778
1000014,1,1017.33
1000015,1,1175.56
1000016,1,1367.11
1000017,1,2702.22
1000018,1,691.556
1000019,1,687.556
1000020,1,1025.33
1000021,1,855.111
1000022,1,1534.67
1000023,1,1033.33
1000024,1,1868.44
1000025,1,341.778
1000026,1,2021.33
1000027,1,1855.11
1000028,1,1192.89
1000029,1,517.333
1000030,1,1029.33
1000031,1,687.556
1000032,1,1029.33
1000033,1,1021.33
1000034,1,1029.33
1000035,1,1855.11
1000036,1,359.111
1000037,1,691.556
