packet_id,delivered,delay_ms
1,1,1696.89
2,1,1716.89
3,1,1029.33
4,1,341.778
5,1,687.556
6,1,345.778
7,1,691.556
8,1,687.556
9,1,683.556
10,1,1029.33
11,1,2698.22
12,1,1688.89
13,1,1017.33
14,1,345.778
15,1,1759.33
16,1,1425.56
17,1,1684.89
18,1,3032
19,1,771.333
20,1,1033.33
21,0,-1
22,1,841.778
23,1,2102.44
24,1,1768.67
25,1,863.111
26,1,1033.33
27,1,345.778
28,1,2520
29,1,851.111
30,1,687.556
31,1,1272.67
32,1,687.556
33,1,1367.11
34,1,1371.11
35,0,-1
36,1,1936.22
37,1,1760.67
38,1,1364.44
39,1,1356.44
40,1,345.778
41,1,355.111
42,1,2428.22
43,1,843.111
44,1,1176.89
45,1,345.778
46,1,2103.78
47,1,1029.33
48,1,780.667
49,1,1367.11
50,1,687.556
51,1,1029.33
52,1,2533.33
53,1,1033.33
54,1,925.556
55,1,2021.33
56,1,1949.56
57,1,2679.56
58,1,2617.11
59,1,1929.56
60,1,1937.56
61,1,2021.33
62,1,1762
63,1,2355.11
64,1,2688.89
65,1,691.556
66,1,687.556
67,1,844.444
68,1,2772.67
69,1,2847.11
70,1,1845.78
71,0,-1
72,0,-1
73,0,-1
74,1,341.778
75,1,3202.22
76,1,1712.89
77,1,2121.11
78,1,1375.11
79,0,-1
80,1,4621.11
81,1,1033.33
82,1,687.556
83,1,2284.67
84,1,2680.89
85,1,1763.33
86,1,691.556
87,1,1716.89
88,1,2690.22
89,1,1680.89
90,1,2356.44
91,1,4109.11
92,0,-1
93,1,3775.33
94,1,1097.11
95,1,1300.67
96,1,341.778
97,1,1868.44
98,1,513.333
99,1,2429.56
100,1,1025.33
101,0,-1
102,1,1029.33
103,1,3954.89
104,1,1480.22
105,1,1025.33
106,1,4288.67
107,1,2348.44
108,1,2607.78
109,0,-1
110,1,2509.33
111,1,3099.78
112,0,-1
113,0,-1
114,1,2432.22
115,1,1175.56
116,1,4122.44
117,1,764.667
118,1,1774
119,1,1432.22
120,0,-1
121,1,687.556
122,1,2266
123,1,683.556
124,1,3192.89
125,1,345.778
126,1,1409.78
127,0,-1
128,1,2683.56
129,0,-1
130,1,598.444
131,1,1033.33
132,1,3017.33
133,1,1529.33
134,1,1016
135,0,-1
136,0,-1
137,0,-1
138,0,-1
139,1,925.556
140,1,345.778
141,1,800.667
142,0,-1
143,1,1099.78
144,0,-1
145,1,683.556
146,1,1025.33
147,1,1183.56
148,0,-1
149,0,-1
150,0,-1
151,0,-1
152,0,-1
153,1,2276.67
154,0,-1
155,0,-1
156,0,-1
157,0,-1
158,0,-1
159,1,1033.33
160,0,-1
161,0,-1
162,0,-1
163,1,1029.33
166,0,-1
168,0,-1
169,0,-1
171,1,345.778
172,0,-1
174,0,-1
175,0,-1
176,1,687.556
179,0,-1
180,0,-1
184,0,-1
185,0,-1
1000001,1,1029.33
1000002,1,1540
1000003,1,1206.22
1000004,1,687.556
1000005,0,-1
1000006,1,1021.33
1000007,1,1355.11
1000008,1,683.556
1000009,1,2207.56
1000010,1,683.556
1000011,1,1873.78
1000012,1,1630.44
1000013,1,341.778
1000014,1,345.778
1000015,1,345.778
1000016,1,1675.56
1000017,0,-1
1000018,1,1021.33
1000019,0,-1
1000020,1,1360.44
1000021,1,1446.89
1000022,1,2291.33
1000023,1,1033.33
1000024,1,1267.33
1000025,1,687.556
1000026,1,1958.89
1000027,1,345.778
1000028,1,1530.67
1000029,1,776.667
1000030,1,341.778
1000031,1,1528
1000032,1,2529.33
1000033,1,1105.11
1000034,1,1272.67
1000035,1,958.889
1000036,1,3126.44
1000037,1,1375.11
1000038,1,2355.11
1000039,1,2208.89
1000040,1,1029.33
1000041,1,944.222
1000042,1,2032
1000043,1,1375.11
1000044,1,3030.67
1000045,1,1703.56
1000046,1,1114.44
1000047,1,687.556
1000048,1,1695.56
1000049,1,341.778
1000050,1,1025.33
1000051,1,2533.33
1000052,1,2446.89
1000053,1,425.556
