episode,slot,u,v
0,1,1,2
0,1,9,3
0,2,6,1
0,2,18,17
0,2,18,24
0,3,8,9
0,3,18,24
0,4,18,17
0,6,1,2
0,6,1,6
0,6,17,18
0,7,6,1
0,7,16,17
0,7,17,16
0,7,18,24
0,7,22,23
0,7,23,22
0,8,16,17
0,8,18,17
0,8,24,18
0,8,24,19
0,9,3,9
0,9,6,1
0,9,23,22
0,10,2,1
0,10,6,1
0,10,8,9
0,11,2,1
0,11,18,24
0,12,1,6
0,12,3,9
0,12,18,17
0,12,18,24
0,13,2,1
0,13,17,18
0,13,24,18
0,14,9,8
0,14,16,17
0,14,18,24
0,15,17,18
0,15,24,18
0,16,3,9
0,16,23,22
0,17,3,9
0,17,23,22
0,18,17,18
0,18,18,17
0,18,19,24
0,18,24,18
0,19,17,18
0,19,22,23
0,20,1,2
0,20,18,24
0,20,23,22
0,21,8,9
0,21,18,17
0,22,2,1
0,22,6,1
0,22,19,24
0,22,24,19
0,23,3,9
0,23,16,17
0,23,18,17
0,23,24,18
0,23,24,19
0,24,8,9
0,24,16,17
0,24,18,24
0,24,19,24
0,25,1,2
0,25,1,6
0,25,9,3
0,25,24,19
0,26,9,3
0,26,19,24
0,27,16,17
0,28,17,16
0,28,19,24
0,29,17,16
0,30,2,1
0,30,3,9
0,30,6,1
0,30,16,17
0,30,17,16
0,30,18,24
0,30,22,23
1,1,4,22
1,1,5,4
1,1,5,11
1,1,22,4
1,2,3,21
1,2,4,22
1,2,6,1
1,2,8,2
1,2,14,15
1,2,22,4
1,3,4,22
1,3,8,2
1,4,7,12
1,4,11,5
1,4,17,23
1,4,19,20
1,5,4,22
1,5,5,11
1,5,22,4
1,5,23,17
1,6,1,6
1,6,4,22
1,6,10,16
1,6,23,17
1,7,2,8
1,7,5,4
1,7,5,23
1,7,6,1
1,7,7,8
1,7,8,7
1,7,10,4
1,7,12,7
1,7,16,10
1,7,22,4
1,7,22,23
1,7,23,5
1,7,23,22
1,8,5,11
1,8,7,12
1,8,17,23
1,8,23,5
1,8,24,19
1,9,6,1
1,9,17,23
1,9,23,17
1,9,23,22
1,10,4,22
1,10,5,4
1,10,5,11
1,10,6,1
1,10,7,12
1,10,23,5
1,11,4,5
1,11,4,22
1,11,7,8
1,11,14,15
1,11,16,10
1,11,19,20
1,11,23,17
1,12,1,6
1,12,21,3
1,13,4,5
1,13,10,16
1,13,11,5
1,14,4,10
1,14,7,8
1,14,23,17
1,15,2,8
1,15,14,15
1,16,8,2
1,16,11,5
1,16,12,7
1,16,23,22
1,17,7,8
1,17,10,4
1,17,12,7
1,17,16,10
1,17,17,23
1,17,20,19
1,17,23,22
1,18,5,11
1,18,10,4
1,18,10,16
1,18,12,7
1,18,14,15
1,18,19,24
1,18,22,4
1,18,23,17
1,19,2,8
1,19,3,21
1,19,4,10
1,19,4,22
1,19,17,23
1,19,19,20
1,19,22,4
1,19,22,23
1,19,23,5
1,19,23,17
1,20,2,8
1,20,4,5
1,20,4,10
1,20,14,15
1,20,17,23
1,20,21,3
1,20,22,4
1,20,23,17
1,20,23,22
1,21,4,22
1,21,7,12
1,21,8,2
1,21,8,7
1,21,19,20
1,22,6,1
1,22,6,12
1,22,10,16
1,22,11,5
1,22,19,24
1,22,20,19
1,22,23,5
1,22,23,17
1,22,24,19
1,23,7,12
1,23,8,2
1,23,15,14
1,23,22,4
1,23,24,19
1,24,7,8
1,24,14,15
1,24,19,24
1,24,22,4
1,25,1,6
1,25,4,10
1,25,7,8
1,25,16,10
1,25,22,4
1,25,23,17
1,25,24,19
1,26,4,10
1,26,5,23
1,26,16,10
1,26,17,23
1,26,19,24
1,27,2,8
1,27,3,21
1,27,4,22
1,27,5,11
1,27,6,12
1,27,7,8
1,27,10,16
1,27,11,5
1,27,19,20
1,27,21,3
1,28,5,4
1,28,14,15
1,28,17,23
1,28,19,24
1,28,22,4
1,28,23,5
1,28,23,17
1,29,4,10
1,29,5,4
1,29,5,23
1,29,6,12
1,29,7,12
1,29,8,7
1,29,17,23
1,30,4,5
1,30,4,22
1,30,6,1
1,30,11,5
1,30,14,15
1,30,22,23
1,30,23,17
2,1,1,2
2,1,5,11
2,1,20,14
2,1,22,21
2,2,1,7
2,2,3,2
2,2,3,21
2,2,6,1
2,2,21,22
2,2,22,16
2,3,1,19
2,3,14,20
2,3,20,14
2,4,7,1
2,4,7,12
2,4,11,5
2,4,15,21
2,4,19,1
2,4,21,15
2,4,22,16
2,5,5,11
2,5,12,11
2,5,21,22
2,6,1,2
2,6,1,6
2,6,10,16
2,6,14,20
2,6,15,21
2,6,21,15
2,7,1,19
2,7,5,23
2,7,6,1
2,7,7,8
2,7,8,7
2,7,12,7
2,7,16,10
2,7,20,14
2,7,21,15
2,7,21,22
2,7,23,5
2,8,2,3
2,8,5,11
2,8,7,12
2,8,14,20
2,8,23,5
2,9,6,1
2,9,19,1
2,10,1,7
2,10,2,1
2,10,2,3
2,10,5,11
2,10,6,1
2,10,7,12
2,10,19,1
2,10,22,21
2,10,23,5
2,11,2,1
2,11,7,8
2,11,14,20
2,11,16,10
2,12,1,6
2,12,2,3
2,12,21,3
2,12,21,15
2,12,21,22
2,13,2,1
2,13,10,16
2,13,11,5
2,13,19,1
2,13,22,16
2,14,1,19
2,14,7,8
2,15,2,3
2,15,11,12
2,15,21,22
2,16,11,5
2,16,12,7
2,16,12,11
2,16,16,22
2,17,7,8
