packet_id,delivered,delay_ms
1,1,508.667
2,1,1530
3,1,1530
4,1,1530
5,1,508.667
6,1,1530
7,1,1021.33
8,1,1017.33
9,1,1021.33
10,1,2030.67
11,1,1025.33
12,1,512.667
13,1,1522
14,1,2531.33
15,1,1025.33
16,1,2038.67
17,1,2539.33
18,1,2030.67
19,1,2032
20,1,2038.67
21,1,1530
22,1,2548.67
23,1,1531.33
24,1,1022.67
25,1,2042.67
26,1,512.667
27,1,1530
28,1,1530
29,1,2013.33
30,1,2040
31,1,2041.33
32,1,512.667
33,1,539.333
34,1,1543.33
35,1,1540.67
36,1,508.667
37,1,2042.67
38,1,2042.67
39,1,512.667
40,1,2042.67
41,1,1021.33
42,1,1542
43,1,512.667
44,1,1543.33
45,1,1534
46,1,1535.33
47,1,2044
48,1,1534
49,1,1536.67
50,1,1530
51,1,1036
52,1,1544.67
53,1,1530
54,1,512.667
55,1,522
56,1,1017.33
57,1,1017.33
58,1,1546
59,1,2013.33
60,1,2038.67
61,1,1017.33
62,1,2009.33
63,1,1530
64,1,2522
65,1,512.667
66,1,2038.67
67,1,508.667
68,1,1017.33
69,1,1021.33
70,1,2022.67
71,1,2038.67
72,1,1021.33
73,1,1021.33
74,1,1526
75,1,2009.33
76,1,1534
77,1,1025.33
78,1,510
79,1,1530
80,1,2026.67
81,1,1025.33
82,1,2030.67
83,1,508.667
84,1,1530
85,1,2528.67
86,1,512.667
87,1,526
88,1,2038.67
89,1,1531.33
90,1,1527.33
91,1,1530
92,1,1028
93,1,1032
94,1,3048
95,1,2046.67
96,1,512.667
97,1,3550
98,1,1021.33
99,1,1530
100,1,1021.33
101,1,508.667
102,1,1534
103,1,3022.67
104,1,1017.33
105,1,2026.67
106,1,1025.33
107,1,1547.33
108,1,2049.33
109,1,2050.67
110,1,1530
111,1,1021.33
112,1,3024
113,1,548.667
114,1,526
115,1,1551.33
116,1,2052
117,1,1021.33
118,1,1021.33
119,1,512.667
120,1,2552.67
121,1,2025.33
122,1,1025.33
123,1,1534
124,1,512.667
125,1,1524.67
126,1,1534
127,1,3515.33
128,1,2013.33
129,1,508.667
130,1,1017.33
131,1,3014.67
132,1,512.667
133,1,1021.33
134,1,1021.33
135,1,1514
136,1,1530
137,1,508.667
138,1,512.667
139,1,2042.67
140,1,508.667
141,1,522
142,1,1025.33
143,1,1530
144,1,2042.67
145,1,508.667
146,1,508.667
147,1,512.667
148,1,1021.33
149,1,508.667
150,1,1530
151,1,1017.33
152,1,508.667
153,1,508.667
154,1,512.667
155,1,1025.33
156,1,1530
157,1,508.667
158,1,512.667
159,1,1017.33
160,1,512.667
161,1,1017.33
162,1,1534
163,1,1021.33
164,1,1021.33
165,1,522
166,1,1017.33
167,1,508.667
168,1,508.667
169,1,508.667
170,1,508.667
171,1,1021.33
172,1,1021.33
173,1,512.667
174,1,508.667
175,1,1017.33
176,1,508.667
177,1,1021.33
178,1,508.667
179,1,1017.33
180,1,508.667
181,1,512.667
182,1,508.667
183,1,512.667
184,1,508.667
185,1,508.667
186,1,508.667
187,0,-1
188,0,-1
189,0,-1
190,0,-1
191,0,-1
192,0,-1
