episode,packet_id,src,dst,traffic_class,created_slot,delivered,delivery_slot,hop_count,delay_slots,delay_ms,path,drop_reason
0,1,23,9,1,1,1,6,4,6,41.68,23 17 11 10 9,
0,2,3,18,0,1,1,5,5,5,47.28,3 2 1 6 24 18,
0,3,24,2,0,1,1,4,3,4,29.45,24 6 1 2,
0,4,8,9,1,1,1,1,1,1,8.88,8 9,
0,5,4,9,2,1,1,2,2,2,21.92,4 10 9,
0,6,16,22,1,1,1,1,1,1,11.79,16 22,
0,7,21,9,1,1,1,2,2,2,24.41,21 3 9,
0,8,18,11,0,1,1,2,2,2,20.87,18 12 11,
0,9,11,9,1,1,1,3,2,3,18.73,11 10 9,
0,10,13,9,0,1,1,3,3,3,29.52,13 14 15 9,
0,11,19,9,1,1,1,5,4,5,40.11,19 20 21 15 9,
0,12,6,9,2,1,1,5,4,5,40.01,6 12 7 8 9,
0,13,4,9,0,1,1,4,2,4,21.7,4 10 9,
0,14,3,21,0,1,1,3,1,3,11.0,3 21,
0,15,13,9,2,1,1,6,3,6,28.84,13 14 15 9,
0,16,12,9,1,1,1,6,3,6,28.22,12 7 8 9,
0,17,11,9,0,1,1,5,2,5,18.92,11 10 9,
0,18,24,9,2,1,1,9,5,9,49.04,24 18 12 7 8 9,
0,19,2,9,0,2,1,4,2,3,21.09,2 3 9,
0,20,15,2,2,2,1,6,3,5,30.87,15 21 3 2,
0,21,23,9,1,2,1,10,4,9,39.36,23 17 11 10 9,
0,22,7,9,0,2,1,4,2,3,18.54,7 8 9,
0,23,5,9,1,2,1,9,3,8,29.76,5 11 10 9,
0,24,4,9,0,2,1,7,2,6,21.09,4 10 9,
0,25,14,9,0,3,1,7,2,5,19.81,14 15 9,
0,26,20,7,1,3,1,7,3,5,32.26,20 14 8 7,
0,27,24,18,1,3,1,4,1,2,10.17,24 18,
0,28,6,9,1,3,1,14,4,12,36.0,6 12 11 10 9,
0,29,10,9,1,3,1,8,1,6,9.11,10 9,
0,30,22,17,0,3,1,5,2,3,19.66,22 23 17,
0,31,4,9,0,4,1,11,2,8,19.31,4 10 9,
0,32,14,19,2,4,1,7,2,4,20.15,14 20 19,
0,33,18,1,0,4,1,7,3,4,28.7,18 24 6 1,
0,34,23,2,1,4,1,9,4,6,36.49,23 5 6 1 2,
0,35,6,9,1,4,0,-1,3,-1,27.09,6 12 11 10,deadline_exceeded
0,36,16,9,0,4,1,12,2,9,18.66,16 10 9,
0,37,12,9,0,5,1,18,3,14,24.07,12 11 10 9,
0,38,16,9,1,5,1,13,2,9,18.07,16 10 9,
0,39,5,9,0,5,1,15,3,11,26.38,5 11 10 9,
0,40,8,14,1,5,1,8,1,4,10.38,8 14,
0,41,3,9,0,5,1,7,1,3,10.66,3 9,
0,42,19,9,0,5,1,10,4,6,38.79,19 20 21 15 9,
0,43,7,9,0,6,1,10,2,5,18.37,7 8 9,
0,44,14,9,2,6,1,9,2,4,19.47,14 15 9,
0,45,18,12,2,6,1,7,1,2,10.0,18 12,
0,46,22,9,2,6,1,16,3,11,26.97,22 16 10 9,
0,47,24,16,0,6,1,9,3,4,27.81,24 23 22 16,
0,48,15,9,1,6,1,8,1,3,10.17,15 9,
0,49,4,8,0,7,1,19,3,13,23.45,4 10 9 8,
0,50,21,2,0,7,1,9,2,3,19.11,21 3 2,
0,51,16,20,1,7,1,12,3,6,27.66,16 15 14 20,
0,52,22,9,0,7,1,12,3,6,28.78,22 16 15 9,
0,53,8,19,0,7,1,14,3,8,28.69,8 14 13 19,
0,54,13,15,2,7,1,9,2,3,18.54,13 14 15,
0,55,7,16,1,8,0,-1,3,-1,23.39,7 12 11 10,deadline_exceeded
0,56,14,9,0,8,1,13,2,6,19.26,14 15 9,
0,57,1,9,0,8,1,12,3,5,27.77,1 2 3 9,
0,58,3,9,2,8,1,10,1,3,10.04,3 9,
0,59,23,9,0,8,1,15,4,8,38.39,23 22 21 15 9,
0,60,11,9,0,8,1,20,2,13,14.51,11 10 9,
0,61,4,9,2,9,1,19,2,11,16.51,4 10 9,
0,62,7,9,2,9,1,12,2,4,17.43,7 8 9,
0,63,11,9,0,9,1,21,2,13,14.26,11 10 9,
0,64,5,9,1,9,1,13,3,5,26.8,5 4 3 9,
0,65,21,9,0,9,1,14,2,6,20.71,21 15 9,
0,66,24,1,1,9,1,11,2,3,17.73,24 19 1,
0,67,8,9,1,10,1,13,1,4,8.0,8 9,
0,68,2,9,2,10,1,15,2,6,17.39,2 8 9,
0,69,12,9,0,10,1,22,3,13,21.51,12 11 10 9,
0,70,14,9,0,10,1,14,2,5,17.69,14 8 9,
0,71,4,23,1,10,1,18,6,9,50.01,4 3 2 1 6 5 23,
0,72,24,9,1,10,1,17,5,8,45.86,24 23 22 21 15 9,
0,73,12,9,1,11,0,-1,2,-1,14.28,12 11 10,deadline_exceeded
0,74,17,16,0,11,1,12,1,2,7.69,17 16,
0,75,23,9,0,11,1,20,4,10,39.3,23 22 21 15 9,
0,76,18,22,1,11,1,14,3,4,26.16,18 17 16 22,
0,77,9,19,0,11,1,22,4,12,40.83,9 8 7 13 19,
0,78,19,11,1,11,1,15,4,5,33.49,19 13 7 12 11,
0,79,24,9,1,12,1,23,5,12,47.66,24 23 22 21 3 9,
0,80,23,9,0,12,1,21,4,10,39.55,23 22 21 15 9,
0,81,9,22,1,12,1,18,3,7,28.75,9 15 21 22,
0,82,14,21,0,12,1,15,2,4,18.05,14 20 21,
0,83,22,9,1,12,1,18,3,7,30.98,22 21 15 9,
0,84,3,9,0,12,1,15,1,4,10.66,3 9,
0,85,8,9,0,13,1,17,1,5,6.89,8 9,
0,86,3,15,1,13,1,17,2,5,22.79,3 9 15,
0,87,12,21,0,13,1,18,5,6,41.9,12 7 13 19 20 21,
0,88,4,9,2,13,1,17,2,5,18.77,4 3 9,
0,89,1,9,2,13,1,19,3,7,24.01,1 7 8 9,
0,90,11,9,2,13,1,25,2,13,14.09,11 10 9,
0,91,23,9,0,14,1,24,4,11,40.72,23 22 21 3 9,
0,92,13,9,1,14,1,20,3,7,24.01,13 7 8 9,
0,93,8,9,0,14,1,18,1,5,6.7,8 9,
0,94,4,9,1,14,1,18,2,5,18.91,4 3 9,
0,95,16,12,0,14,1,25,3,12,26.77,16 10 11 12,
0,96,10,11,0,14,1,23,1,10,7.12,10 11,
0,97,15,9,0,15,1,19,1,5,12.62,15 9,
0,98,3,9,2,15,1,19,1,5,12.21,3 9,
