target_scale,n_sats,policy,metric,n,mean,ci95_low,ci95_high
n24,24,q_routing_n24_indist,delivery_ratio,160,0.7869791666666667,0.7834309895833333,0.7905598958333333
n24,24,q_routing_n24_indist,drop_rate,160,0.002734375,0.0021158854166666665,0.0033854166666666663
n24,24,q_routing_n24_indist,throughput_packets_per_slot,160,5.036666666666667,5.013958333333333,5.059583333333333
n24,24,q_routing_n24_indist,average_delay_slots,160,5.725346699495449,5.674382407287245,5.777068753079725
n24,24,q_routing_n24_indist,p95_delay_slots,160,10.031562499999998,9.912179687499998,10.1528203125
n24,24,q_routing_n24_indist,mean_queue_packets,160,1.2132118055555554,1.2006234809027778,1.2257552083333334
n66,66,q_routing_retrained,delivery_ratio,60,0.35747238466536707,0.35279320987654317,0.3623456790123456
n66,66,q_routing_retrained,drop_rate,60,0.1590318388564003,0.15493827160493823,0.1631587069525666
n66,66,q_routing_retrained,throughput_packets_per_slot,60,6.112777777777778,6.032763888888889,6.196111111111112
n66,66,q_routing_retrained,average_delay_slots,60,10.408777144906088,10.289746855218942,10.527323933812243
n66,66,q_routing_retrained,p95_delay_slots,60,20.747500000000002,20.501666666666665,20.999166666666664
n66,66,q_routing_retrained,mean_queue_packets,60,2.457222222222222,2.4412529461279457,2.473181818181818
n66,66,q_routing_transfer,delivery_ratio,160,0.06072124756335283,0.05893031189083821,0.06257340399610137
n66,66,q_routing_transfer,drop_rate,160,0.30204678362573095,0.2996954191033138,0.30432535331384014
n66,66,q_routing_transfer,throughput_packets_per_slot,160,1.0383333333333333,1.0077083333333334,1.0700052083333331
n66,66,q_routing_transfer,average_delay_slots,160,10.059435992591213,9.911796806335452,10.209001209971778
n66,66,q_routing_transfer,p95_delay_slots,160,20.15,19.730609374999997,20.569687499999997
n66,66,q_routing_transfer,mean_queue_packets,160,3.169185606060606,3.1621843434343435,3.176190340909091
n110,110,q_routing_retrained,delivery_ratio,60,0.16860335195530726,0.16618202979515825,0.17108007448789572
n110,110,q_routing_retrained,drop_rate,60,0.240391061452514,0.2365921787709498,0.2439851024208566
n110,110,q_routing_retrained,throughput_packets_per_slot,60,5.029999999999999,4.957763888888888,5.103888888888889
n110,110,q_routing_retrained,average_delay_slots,60,11.766835425199348,11.674638818991811,11.855874716392833
n110,110,q_routing_retrained,p95_delay_slots,60,24.540000000000003,24.305833333333336,24.767499999999995
n110,110,q_routing_retrained,mean_queue_packets,60,3.0671111111111107,3.0574483585858587,3.0769193181818184
n110,110,q_routing_transfer,delivery_ratio,160,0.038659217877094976,0.03772346368715084,0.03962988826815643
n110,110,q_routing_transfer,drop_rate,160,0.30642458100558656,0.30409916201117315,0.3086314594972067
n110,110,q_routing_transfer,throughput_packets_per_slot,160,1.1533333333333333,1.1254166666666667,1.1822916666666665
n110,110,q_routing_transfer,average_delay_slots,160,9.74998168252642,9.617966946767044,9.882023139300514
n110,110,q_routing_transfer,p95_delay_slots,160,21.214999999999996,20.882484375,21.548140625
n110,110,q_routing_transfer,mean_queue_packets,160,3.394484848484848,3.388080776515151,3.400746354166666
n132,132,q_routing_retrained,delivery_ratio,60,0.12376893939393939,0.12208017676767677,0.12550505050505048
n132,132,q_routing_retrained,drop_rate,60,0.26672979797979796,0.26429924242424246,0.2691761363636364
n132,132,q_routing_retrained,throughput_packets_per_slot,60,4.3566666666666665,4.2972222222222225,4.417777777777777
n132,132,q_routing_retrained,average_delay_slots,60,11.847918063886537,11.733801673466683,11.962133795894566
n132,132,q_routing_retrained,p95_delay_slots,60,23.976666666666667,23.67833333333333,24.266666666666662
n132,132,q_routing_retrained,mean_queue_packets,60,3.125664983164983,3.1178527988215485,3.133602693602694
n132,132,q_routing_transfer,delivery_ratio,160,0.03125,0.03059303977272727,0.03190118963068182
n132,132,q_routing_transfer,drop_rate,160,0.3137310606060606,0.31259454900568184,0.31486757220643935
n132,132,q_routing_transfer,throughput_packets_per_slot,160,1.1,1.076875,1.122921875
n132,132,q_routing_transfer,average_delay_slots,160,9.782612855323315,9.639667038135771,9.917506504877911
n132,132,q_routing_transfer,p95_delay_slots,160,20.54,20.133429687499994,20.945343749999992
n132,132,q_routing_transfer,mean_queue_packets,160,3.344330808080808,3.338758483270202,3.34983759469697
