scenario,policy,policy_seed,workload_seed,generated,delivered,dropped,backlog,delivery_ratio,drop_rate,throughput_packets_per_slot,average_delay_slots,p95_delay_slots,mean_queue_packets,max_queue_packets,routing_switches,episode_reward,global_delay_cost,global_queue_cost,global_load_imbalance,global_switch_cost,global_throughput_reward,global_control_overhead_ratio,global_drop_cost,class_0_delivery_ratio,class_1_delivery_ratio,class_2_delivery_ratio
n24,q_routing_n24_indist,7,16001,192,156,0,36,0.8125,0.0,5.2,5.403846153846154,9.0,1.1277777777777778,7,44,12.201690032172888,0.1799589119084348,0.02580246913580247,0.7020692701021197,0.0968197501672734,0.3512932251786741,0.056916850241752207,0.0,0.7938144329896907,0.8653846153846154,0.7906976744186046
n24,q_routing_n24_indist,7,16002,192,148,1,43,0.7708333333333334,0.005208333333333333,4.933333333333334,5.743243243243243,9.0,1.2555555555555555,11,73,10.278166738739037,0.1884000182804098,0.028858024691358026,0.6998026463413858,0.16497381431204966,0.3333394084129379,0.056902247104120056,0.00196078431372549,0.7843137254901961,0.66,0.875
n24,q_routing_n24_indist,7,16003,192,149,2,41,0.7760416666666666,0.010416666666666666,4.966666666666667,6.140939597315437,10.0,1.3180555555555555,10,67,9.440642436945847,0.21508139424118242,0.030185185185185183,0.7002967264015747,0.14520180455938972,0.33359763516497265,0.05596502045939843,0.004305555555555555,0.7926829268292683,0.7922077922077922,0.696969696969697
n24,q_routing_n24_indist,7,16004,192,146,2,44,0.7604166666666666,0.010416666666666666,4.866666666666666,5.910958904109589,11.0,1.2833333333333334,11,61,9.990921166827867,0.19855216065996367,0.02950617283950617,0.6883628219464266,0.1386587649822944,0.3335138717491659,0.05699254242083061,0.004786324786324786,0.7608695652173914,0.7241379310344828,0.8095238095238095
n24,q_routing_n24_indist,7,16005,192,143,2,47,0.7447916666666666,0.010416666666666666,4.766666666666667,6.0979020979020975,12.0,1.323611111111111,13,74,7.950880842180363,0.1957566042264154,0.030493827160493824,0.6576851227926271,0.1495506173679548,0.2969823896720181,0.05261978975458093,0.00392156862745098,0.7547169811320755,0.6888888888888889,0.7804878048780488
n24,q_routing_n24_indist,7,16006,192,163,0,29,0.8489583333333334,0.0,5.433333333333334,5.061349693251533,9.0,1.0319444444444446,7,45,14.034264713481004,0.18246474965404785,0.02345679012345679,0.7131301698197033,0.1058180708180708,0.38369047619047625,0.05865315699854284,0.0,0.8461538461538461,0.8484848484848485,0.8571428571428571
n24,q_routing_n24_indist,7,16007,192,148,1,43,0.7708333333333334,0.005208333333333333,4.933333333333334,6.22972972972973,11.0,1.3416666666666666,11,64,10.052252606879561,0.20457473826176154,0.03077160493827161,0.6989967587826666,0.14439991381167852,0.3367749162602104,0.057411600095493905,0.0023809523809523807,0.7448979591836735,0.7627118644067796,0.8571428571428571
n24,q_routing_n24_indist,7,16008,192,146,0,46,0.7604166666666666,0.0,4.866666666666666,5.712328767123288,10.0,1.2152777777777777,11,62,11.066760341662023,0.19135878431743109,0.028055555555555552,0.72523178752079,0.1420969939932788,0.34476672751053555,0.058956373197267785,0.0,0.7326732673267327,0.7083333333333334,0.8837209302325582
n24,q_routing_n24_indist,7,16009,192,156,0,36,0.8125,0.0,5.2,5.717948717948718,10.0,1.2,8,48,11.172481182067655,0.18739588652191455,0.027407407407407405,0.6805329188892101,0.10445221574091541,0.33810311979042634,0.05524652693652859,0.0,0.8367346938775511,0.7142857142857143,0.8947368421052632
n24,q_routing_n24_indist,7,16010,192,155,0,37,0.8072916666666666,0.0,5.166666666666667,5.122580645161291,9.299999999999983,1.0597222222222222,9,64,12.207054489874892,0.18514095050710028,0.024320987654320985,0.6969127487915027,0.14510344230932468,0.3579962548344902,0.05780989368244909,0.0,0.782608695652174,0.8115942028985508,0.8709677419354839
n24,q_routing_n24_indist,7,16011,192,153,1,38,0.796875,0.005208333333333333,5.1,5.620915032679738,10.0,1.1958333333333333,8,62,10.648860047139479,0.19391289244485999,0.02737654320987654,0.6892214866940034,0.13053592377121787,0.3378804773657716,0.05511048279377398,0.0022222222222222222,0.8404255319148937,0.7846153846153846,0.696969696969697
