topology,policy,metric,n,mean,ci95_low,ci95_high
starlink_24,full_heuristic,delivery_ratio,20,0.11171875,0.10104166666666667,0.12135416666666665
starlink_24,full_heuristic,drop_rate,20,0.39869791666666665,0.384375,0.4145833333333333
starlink_24,full_heuristic,throughput_packets_per_slot,20,0.715,0.6466666666666667,0.7766666666666666
starlink_24,full_heuristic,average_delay_slots,20,8.0151332498572,7.521519421275564,8.493952599354529
starlink_24,full_heuristic,p95_delay_slots,20,15.809999999999997,14.532312499999994,17.172624999999993
starlink_24,full_heuristic,mean_queue_packets,20,2.608402777777778,2.5618038194444446,2.6536822916666667
starlink_24,global_dijkstra,delivery_ratio,20,0.3963541666666667,0.38203125,0.4106770833333334
starlink_24,global_dijkstra,drop_rate,20,0.14244791666666665,0.13177083333333334,0.15260416666666668
starlink_24,global_dijkstra,throughput_packets_per_slot,20,2.5366666666666666,2.4450000000000003,2.628333333333333
starlink_24,global_dijkstra,average_delay_slots,20,8.59206525071178,8.338656339206292,8.843940415922107
starlink_24,global_dijkstra,p95_delay_slots,20,20.384999999999998,19.589937499999998,21.165
starlink_24,global_dijkstra,mean_queue_packets,20,2.352013888888889,2.3072222222222223,2.3977795138888887
starlink_24,mappo_realism_transfer,delivery_ratio,160,0.3676432291666667,0.36298828125,0.37233072916666665
starlink_24,mappo_realism_transfer,drop_rate,160,0.2123697916666667,0.2075520833333333,0.2171875
starlink_24,mappo_realism_transfer,throughput_packets_per_slot,160,2.3529166666666668,2.323125,2.3829166666666666
starlink_24,mappo_realism_transfer,average_delay_slots,160,8.893397555058176,8.806270871547921,8.979613205381368
starlink_24,mappo_realism_transfer,p95_delay_slots,160,18.708437499999995,18.4452890625,18.9703203125
starlink_24,mappo_realism_transfer,mean_queue_packets,160,2.218541666666667,2.2054772135416663,2.2318407118055554
oneweb_24,full_heuristic,delivery_ratio,20,0.19973958333333333,0.19192708333333336,0.20729166666666665
oneweb_24,full_heuristic,drop_rate,20,0.39453125,0.3817643229166666,0.4072916666666666
oneweb_24,full_heuristic,throughput_packets_per_slot,20,1.2783333333333333,1.2283333333333335,1.3266666666666667
oneweb_24,full_heuristic,average_delay_slots,20,7.758162640090073,7.4639176470370305,8.092949449566268
oneweb_24,full_heuristic,p95_delay_slots,20,18.787499999999994,17.812499999999996,19.772562499999996
oneweb_24,full_heuristic,mean_queue_packets,20,2.2595833333333335,2.2184704861111113,2.3005625
oneweb_24,global_dijkstra,delivery_ratio,20,0.3125,0.30234374999999997,0.3223958333333333
oneweb_24,global_dijkstra,drop_rate,20,0.18072916666666666,0.16953125000000002,0.19140625
oneweb_24,global_dijkstra,throughput_packets_per_slot,20,2.0,1.9349999999999998,2.0633333333333335
oneweb_24,global_dijkstra,average_delay_slots,20,9.421708212622708,9.267998113607353,9.569992245770292
oneweb_24,global_dijkstra,p95_delay_slots,20,21.805,21.2724375,22.357499999999995
oneweb_24,global_dijkstra,mean_queue_packets,20,2.5903472222222224,2.558125,2.6227795138888887
oneweb_24,mappo_realism_transfer,delivery_ratio,160,0.2922200520833333,0.28834635416666665,0.29606119791666663
oneweb_24,mappo_realism_transfer,drop_rate,160,0.3234049479166667,0.3193033854166667,0.32750732421875
oneweb_24,mappo_realism_transfer,throughput_packets_per_slot,160,1.8702083333333335,1.8454166666666665,1.8947916666666664
oneweb_24,mappo_realism_transfer,average_delay_slots,160,7.943400437106609,7.866503376147895,8.021451140524425
oneweb_24,mappo_realism_transfer,p95_delay_slots,160,17.589687499999997,17.307171874999998,17.883132812499998
oneweb_24,mappo_realism_transfer,mean_queue_packets,160,2.0901996527777778,2.0762667100694445,2.104991753472222
