scenario,policy,policy_seed,workload_seed,generated,delivered,dropped,backlog,delivery_ratio,drop_rate,throughput_packets_per_slot,average_delay_slots,p95_delay_slots,mean_queue_packets,max_queue_packets,routing_switches,episode_reward,global_delay_cost,global_queue_cost,global_load_imbalance,global_switch_cost,global_throughput_reward,global_control_overhead_ratio,global_drop_cost,class_0_delivery_ratio,class_1_delivery_ratio,class_2_delivery_ratio
baseline,mappo,7,21001,192,152,0,40,0.7916666666666666,0.0,5.066666666666666,5.467105263157895,10.0,1.163888888888889,10,20,12.105490995964477,0.19682007343215105,0.026728395061728395,0.7212374228752302,0.04592966673849026,0.3544346258316847,0.05840420014465188,0.0,0.7857142857142857,0.8260869565217391,0.7435897435897436
baseline,mappo,7,21002,192,149,0,43,0.7760416666666666,0.0,4.966666666666667,6.1610738255033555,10.0,1.2986111111111112,10,30,10.865221879150612,0.20106231598200772,0.029814814814814815,0.7081332594124992,0.0636540154032414,0.3381640783537069,0.056957972133021256,0.0,0.8041237113402062,0.6896551724137931,0.8378378378378378
baseline,mappo,7,21003,192,155,0,37,0.8072916666666666,0.0,5.166666666666667,5.72258064516129,11.0,1.2125,10,25,13.149467911162835,0.1805728697881931,0.027716049382716046,0.7303677306448704,0.059645321998263175,0.3659803105391341,0.05933477281001444,0.0,0.7927927927927928,0.8043478260869565,0.8571428571428571
baseline,mappo,7,21004,192,149,0,43,0.7760416666666666,0.0,4.966666666666667,6.060402684563758,11.0,1.2805555555555554,10,35,9.72675369766389,0.2273984365264359,0.029413580246913578,0.6995324369585733,0.07820855400189766,0.3331562172777343,0.05563056079802066,0.0,0.7710843373493976,0.746268656716418,0.8333333333333334
baseline,mappo,7,21005,192,148,4,40,0.7708333333333334,0.020833333333333332,4.933333333333334,5.472972972972973,9.650000000000006,1.1722222222222223,9,27,11.065663350921724,0.19157674251222712,0.026913580246913572,0.7100533193839896,0.06269661710838181,0.34483039835981016,0.05819756285729447,0.009166666666666665,0.7659574468085106,0.7627118644067796,0.7948717948717948
baseline,mappo,7,21006,192,148,2,42,0.7708333333333334,0.010416666666666666,4.933333333333334,5.77027027027027,11.0,1.2347222222222223,11,28,11.929720467582221,0.19477247493503005,0.0283641975308642,0.7248283757684822,0.0671372418431242,0.3579841890136009,0.06048021313710737,0.0044444444444444444,0.7920792079207921,0.6808510638297872,0.8181818181818182
baseline,mappo,7,21007,192,158,3,31,0.8229166666666666,0.015625,5.266666666666667,5.265822784810126,10.0,1.125,9,15,12.64880513039686,0.18106711376436355,0.02558641975308642,0.6926809890796398,0.035333800186741364,0.35884235318058855,0.05686760169136676,0.00625,0.8526315789473684,0.7586206896551724,0.8461538461538461
baseline,mappo,7,21008,192,161,1,30,0.8385416666666666,0.005208333333333333,5.366666666666666,5.3229813664596275,9.0,1.0986111111111112,7,21,12.434152925520948,0.1858378105380643,0.024969135802469136,0.7022468221447575,0.04453179989944696,0.3546957291074938,0.0553108821210699,0.0022222222222222222,0.8,0.875,0.8627450980392157
baseline,mappo,7,21009,192,147,1,44,0.765625,0.005208333333333333,4.9,6.183673469387755,11.0,1.323611111111111,11,26,9.827558614110224,0.20683203486240168,0.030401234567901232,0.7077954282911131,0.0570158490746726,0.32548277430630373,0.05600081870387028,0.0022222222222222222,0.7830188679245284,0.7551020408163265,0.7297297297297297
baseline,mappo,7,21010,192,150,0,42,0.78125,0.0,5.0,5.826666666666667,9.549999999999983,1.2277777777777779,11,27,10.825115409041953,0.20165954786782841,0.02820987654320987,0.6870939057607791,0.059112020876726755,0.3355931432402021,0.055898623251860506,0.0,0.7395833333333334,0.8245614035087719,0.8205128205128205
baseline,mappo,7,21011,192,149,3,40,0.7760416666666666,0.015625,4.966666666666667,5.496644295302014,10.0,1.1833333333333333,11,21,11.129814646192491,0.18540749767365006,0.027160493827160497,0.698232894906091,0.048396459205282724,0.33886045055162717,0.05754051161905982,0.007167277167277167,0.7959183673469388,0.7636363636363637,0.7435897435897436
baseline,mappo,7,21012,192,147,0,45,0.765625,0.0,4.9,5.571428571428571,10.0,1.1875,10,31,11.34267469486647,0.18949802223668227,0.027407407407407405,0.7047265877053532,0.07231359326947563,0.3401321146174088,0.05815747152229841,0.0,0.8155339805825242,0.74,0.6666666666666666
baseline,mappo,7,21013,192,155,1,36,0.8072916666666666,0.005208333333333333,5.166666666666667,5.574193548387097,9.299999999999983,1.1680555555555556,9,17,13.047651241556538,0.18883756063648574,0.02669753086419753,0.7253565947661501,0.03995331465919701,0.36855968378027204,0.05920196216805544,0.0027777777777777775,0.8076923076923077,0.8448275862068966,0.7333333333333333
baseline,mappo,7,21014,192,154,0,38,0.8020833333333334,0.0,5.133333333333334,5.779220779220779,10.0,1.226388888888889,8,22,11.00979518210259,0.2035692087526727,0.028055555555555552,0.6805671790844187,0.046026189153124134,0.3379008359774613,0.05532890281985928,0.0,0.7623762376237624,0.9016393442622951,0.7333333333333333
baseline,mappo,7,21015,192,150,2,40,0.78125,0.010416666666666666,5.0,6.266666666666667,10.549999999999983,1.3541666666666667,10,34,10.897164656066801,0.1873180184709524,0.030956790123456795,0.7015043639400754,0.07616010623363563,0.3378071462707686,0.05703213255842002,0.004603174603174604,0.8070175438596491,0.8,0.6842105263157895
baseline,mappo,7,21016,192,152,1,39,0.7916666666666666,0.005208333333333333,5.066666666666666,5.907894736842105,10.449999999999989,1.2527777777777778,9,32,9.65957307883695,0.2175368839641073,0.028672839506172835,0.6922663131078274,0.06772718151588121,0.3272352528505779,0.055338095198825855,0.0018518518518518517,0.7666666666666667,0.7755102040816326,0.8490566037735849
baseline,mappo,7,21017,192,149,2,41,0.7760416666666666,0.010416666666666666,4.966666666666667,5.919463087248322,10.0,1.2722222222222221,9,25,10.884147400695571,0.1987260662357341,0.029166666666666667,0.7045685487388105,0.05543758529052646,0.34049528086292796,0.056929879793941526,0.0044444444444444444,0.7717391304347826,0.7368421052631579,0.8372093023255814
baseline,mappo,7,21018,192,153,0,39,0.796875,0.0,5.1,5.73202614379085,10.0,1.2361111111111112,12,27,11.676379440971651,0.1906257960817132,0.028302469135802467,0.7078681276332216,0.06072395197395197,0.34556541397485674,0.05718805368857245,0.0,0.7884615384615384,0.8113207547169812,0.8
baseline,mappo,7,21019,192,161,0,31,0.8385416666666666,0.0,5.366666666666666,5.720496894409938,11.0,1.1916666666666667,7,29,11.092995306709177,0.1936008978167205,0.0270679012345679,0.6671502701883034,0.05906006847183318,0.3343984757645748,0.052481817879385835,0.0,0.8514851485148515,0.7758620689655172,0.9090909090909091
baseline,mappo,7,21020,192,157,1,34,0.8177083333333334,0.005208333333333333,5.233333333333333,4.789808917197452,8.0,0.9847222222222223,6,21,12.89441812147241,0.17260248671773135,0.02256172839506173,0.675080505656728,0.046072805190452246,0.3533908819938232,0.05671776940237794,0.00196078431372549,0.8426966292134831,0.7794117647058824,0.8285714285714286
baseline,mappo,42,21001,192,152,0,40,0.7916666666666666,0.0,5.066666666666666,5.605263157894737,10.449999999999989,1.1902777777777778,10,20,11.779056369821397,0.1974887474857924,0.027314814814814813,0.7174687711542945,0.04306773564126505,0.34903127917833804,0.0572632244796935,0.0,0.7976190476190477,0.8260869565217391,0.717948717948718
