group,baseline,metric,n_paired,mappo_mean,baseline_mean,mean_diff,median_diff,cohens_dz,wilcoxon_stat,raw_p,bh_p
n110,global_dijkstra,delivery_ratio,20,0.251054469273743,0.23798882681564248,0.013065642458100556,0.011662011173184342,1.9525533222058091,0.0,8.844915021211901e-05,0.00013267372531817852
n110,global_dijkstra,drop_rate,20,0.19374301675977654,0.20240223463687151,-0.00865921787709497,-0.00893854748603351,-1.7967340321987266,4.0,0.00016264151523010342,0.0001951698182761241
n110,global_dijkstra,throughput_packets_per_slot,20,7.489791666666667,7.1,0.38979166666666665,0.34791666666666643,1.9525533222058116,0.0,8.844915021211901e-05,0.00013267372531817852
n110,global_dijkstra,average_delay_slots,20,11.052130095655214,10.499096578614616,0.5530335170406001,0.5978653563555127,1.789847787342705,4.0,1.33514404296875e-05,4.00543212890625e-05
n110,global_dijkstra,p95_delay_slots,20,22.141249999999992,21.4625,0.6787499999999966,0.44374999999999787,0.584813551517386,42.0,0.017181396484375,0.017181396484375
n110,global_dijkstra,mean_queue_packets,20,2.855051136363636,2.8992727272727272,-0.044221590909090856,-0.04933712121212119,-2.471485283789213,0.0,1.9073486328125e-06,1.1444091796875e-05
n110,full_heuristic,delivery_ratio,20,0.251054469273743,0.0718994413407821,0.1791550279329609,0.17730446927374302,12.423450892349114,0.0,8.844915021211901e-05,0.00013267372531817852
n110,full_heuristic,drop_rate,20,0.19374301675977654,0.29,-0.0962569832402235,-0.09301675977653633,-9.945825953383057,0.0,1.9073486328125e-06,3.814697265625e-06
n110,full_heuristic,throughput_packets_per_slot,20,7.489791666666667,2.145,5.344791666666666,5.289583333333333,12.423450892349118,0.0,1.9073486328125e-06,3.814697265625e-06
n110,full_heuristic,average_delay_slots,20,11.052130095655214,11.020092520604763,0.032037575050451836,0.23940669338491194,0.03860247254295281,80.0,0.36827659606933594,0.36827659606933594
n110,full_heuristic,p95_delay_slots,20,22.141249999999992,22.684999999999995,-0.5437500000000017,-0.7656250000000036,-0.28789362365381227,71.0,0.21616744995117188,0.25940093994140623
n110,full_heuristic,mean_queue_packets,20,2.855051136363636,3.311272727272727,-0.45622159090909087,-0.4542803030303031,-9.913189030192889,0.0,1.9073486328125e-06,3.814697265625e-06
n132,global_dijkstra,delivery_ratio,20,0.17885890151515152,0.1892992424242424,-0.010440340909090908,-0.009943181818181837,-2.3116686232922588,0.0,1.9073486328125e-06,5.7220458984375e-06
n132,global_dijkstra,drop_rate,20,0.2328953598484848,0.22769886363636363,0.00519649621212121,0.004912405303030304,1.4394643940413343,2.0,5.7220458984375e-06,1.1444091796875e-05
n132,global_dijkstra,throughput_packets_per_slot,20,6.2958333333333325,6.663333333333334,-0.3675000000000001,-0.3500000000000001,-2.3116686232922574,0.0,1.9073486328125e-06,5.7220458984375e-06
n132,global_dijkstra,average_delay_slots,20,11.369164127151091,11.231016969712233,0.1381471574388562,0.11186546494391969,0.41240980730203936,58.0,0.082550048828125,0.09906005859375
n132,global_dijkstra,p95_delay_slots,20,22.78249999999999,23.127499999999998,-0.34499999999999886,-0.3375000000000039,-0.3143971226867328,66.0,0.15364646911621094,0.15364646911621094
n132,global_dijkstra,mean_queue_packets,20,2.9903835227272726,2.98070707070707,0.009676452020201908,0.01024305555555527,0.5663852630490714,42.0,0.017181396484375,0.0257720947265625
n132,full_heuristic,delivery_ratio,20,0.17885890151515152,0.05880681818181819,0.12005208333333335,0.12239583333333333,11.917873318808956,0.0,1.9073486328125e-06,3.814697265625e-06
n132,full_heuristic,drop_rate,20,0.2328953598484848,0.2967803030303031,-0.06388494318181817,-0.06380208333333333,-8.014210552987567,0.0,8.844915021211901e-05,0.00013267372531817852
n132,full_heuristic,throughput_packets_per_slot,20,6.2958333333333325,2.0699999999999994,4.225833333333333,4.308333333333334,11.91787331880895,0.0,1.9073486328125e-06,3.814697265625e-06
