target_scale,n_sats,policy,metric,n,mean,ci95_low,ci95_high
n24,24,full_heuristic,delivery_ratio,10,0.3302083333333333,0.3109375,0.3458333333333334
n24,24,full_heuristic,drop_rate,10,0.16145833333333334,0.14270833333333335,0.1796875
n24,24,full_heuristic,throughput_packets_per_slot,10,2.1133333333333333,1.9900000000000002,2.213333333333334
n24,24,full_heuristic,average_delay_slots,10,9.012292803476223,8.71936152482909,9.392765429740253
n24,24,full_heuristic,p95_delay_slots,10,19.549999999999994,18.665,20.569999999999993
n24,24,full_heuristic,mean_queue_packets,10,2.5059722222222223,2.4481944444444443,2.569451388888889
n24,24,global_dijkstra,delivery_ratio,10,0.7302083333333332,0.7114583333333333,0.7484374999999999
n24,24,global_dijkstra,drop_rate,10,0.019791666666666666,0.0140625,0.025520833333333333
n24,24,global_dijkstra,throughput_packets_per_slot,10,4.673333333333334,4.553333333333333,4.79
n24,24,global_dijkstra,average_delay_slots,10,6.3494091388237495,6.050271966223609,6.6946860479323576
n24,24,global_dijkstra,p95_delay_slots,10,12.045,11.330000000000002,12.740124999999997
n24,24,global_dijkstra,mean_queue_packets,10,1.409722222222222,1.3384618055555557,1.4908368055555554
n24,24,mappo_transfer_n24,delivery_ratio,80,0.7344401041666667,0.7281901041666666,0.7406917317708334
n24,24,mappo_transfer_n24,drop_rate,80,0.021614583333333333,0.019270833333333334,0.024023437499999998
n24,24,mappo_transfer_n24,throughput_packets_per_slot,80,4.7004166666666665,4.660416666666666,4.740427083333333
n24,24,mappo_transfer_n24,average_delay_slots,80,6.004251322112178,5.9232743724275965,6.088723261632061
n24,24,mappo_transfer_n24,p95_delay_slots,80,11.02625,10.833749999999998,11.211249999999998
n24,24,mappo_transfer_n24,mean_queue_packets,80,1.35984375,1.33918359375,1.3807990451388887
n66,66,full_heuristic,delivery_ratio,10,0.11637426900584794,0.11072124756335282,0.12124756335282649
n66,66,full_heuristic,drop_rate,10,0.27563352826510723,0.2678362573099415,0.28421052631578936
n66,66,full_heuristic,throughput_packets_per_slot,10,1.9899999999999998,1.8933333333333333,2.0733333333333333
n66,66,full_heuristic,average_delay_slots,10,10.324981223969619,9.874635518194477,10.807740030014266
n66,66,full_heuristic,p95_delay_slots,10,20.589999999999996,19.634874999999997,21.690125
n66,66,full_heuristic,mean_queue_packets,10,3.0275757575757574,3.0063106060606057,3.05
n66,66,global_dijkstra,delivery_ratio,10,0.32670565302144244,0.31695906432748533,0.3374269005847953
n66,66,global_dijkstra,drop_rate,10,0.17407407407407408,0.1658869395711501,0.1820662768031189
n66,66,global_dijkstra,throughput_packets_per_slot,10,5.586666666666666,5.42,5.77
n66,66,global_dijkstra,average_delay_slots,10,9.492279019756754,9.361120069964645,9.625647979847257
n66,66,global_dijkstra,p95_delay_slots,10,20.424999999999994,20.099999999999998,20.79999999999999
n66,66,global_dijkstra,mean_queue_packets,10,2.5194444444444444,2.4966161616161617,2.5415151515151515
n66,66,mappo_transfer_n24,delivery_ratio,80,0.30918615984405456,0.30611598440545806,0.31247624269005847
n66,66,mappo_transfer_n24,drop_rate,80,0.1738304093567251,0.17044346978557506,0.17714424951267055
n66,66,mappo_transfer_n24,throughput_packets_per_slot,80,5.287083333333333,5.234583333333333,5.34334375
n66,66,mappo_transfer_n24,average_delay_slots,80,10.14593506522428,10.069037130466308,10.223806968019208
n66,66,mappo_transfer_n24,p95_delay_slots,80,20.467499999999994,20.244999999999997,20.6875
n66,66,mappo_transfer_n24,mean_queue_packets,80,2.545921717171717,2.5341092171717174,2.556648042929293
n110,110,full_heuristic,delivery_ratio,10,0.07217877094972068,0.06893854748603352,0.075195530726257
n110,110,full_heuristic,drop_rate,10,0.29061452513966485,0.2810055865921788,0.2988826815642458
n110,110,full_heuristic,throughput_packets_per_slot,10,2.1533333333333333,2.0566666666666666,2.243333333333333
n110,110,full_heuristic,average_delay_slots,10,11.088329118836361,10.569656520232382,11.728046774146158
n110,110,full_heuristic,p95_delay_slots,10,23.334999999999997,22.234999999999992,24.409999999999997
n110,110,full_heuristic,mean_queue_packets,10,3.305848484848485,3.282606060606061,3.3275151515151515
n110,110,global_dijkstra,delivery_ratio,10,0.23519553072625698,0.22905027932960892,0.2416759776536313
n110,110,global_dijkstra,drop_rate,10,0.20625698324022346,0.1970949720670391,0.21508379888268156
n110,110,global_dijkstra,throughput_packets_per_slot,10,7.0166666666666675,6.833333333333333,7.209999999999999
n110,110,global_dijkstra,average_delay_slots,10,10.523865131101106,10.32368147100097,10.775125447083841
n110,110,global_dijkstra,p95_delay_slots,10,21.46,21.1,21.839999999999996
n110,110,global_dijkstra,mean_queue_packets,10,2.9045757575757576,2.882484848484849,2.927091666666667
n110,110,mappo_transfer_n24,delivery_ratio,80,0.22311452513966482,0.2195251396648045,0.2267182262569832
n110,110,mappo_transfer_n24,drop_rate,80,0.21431564245810053,0.21046089385474862,0.21824022346368716
n110,110,mappo_transfer_n24,throughput_packets_per_slot,80,6.65625,6.549166666666667,6.763760416666666
n110,110,mappo_transfer_n24,average_delay_slots,80,11.223652492264984,11.15275404854125,11.294261475829583
n110,110,mappo_transfer_n24,p95_delay_slots,80,22.248749999999994,21.994984374999998,22.501906249999998
