scenario,policy,policy_seed,workload_seed,generated,delivered,dropped,backlog,delivery_ratio,drop_rate,throughput_packets_per_slot,average_delay_slots,p95_delay_slots,mean_queue_packets,max_queue_packets,routing_switches,episode_reward,global_delay_cost,global_queue_cost,global_load_imbalance,global_switch_cost,global_throughput_reward,global_control_overhead_ratio,global_drop_cost,class_0_delivery_ratio,class_1_delivery_ratio,class_2_delivery_ratio
medium_load,mappo_full,7,13001,192,97,16,79,0.5052083333333334,0.08333333333333333,3.2333333333333334,5.907216494845361,11.0,1.863888888888889,18,34,-7.480574619211695,0.2072734438557096,0.04348765432098766,0.6940183183146439,0.06085358679449405,0.20824008564485072,0.05245036700949246,0.02967208903354414,0.514018691588785,0.5306122448979592,0.4444444444444444
medium_load,mappo_full,7,13002,192,93,24,75,0.484375,0.125,3.1,6.075268817204301,13.399999999999991,1.961111111111111,22,43,-9.24969080919138,0.1875275368395332,0.04552469135802469,0.6918068647996889,0.0783048679333509,0.18686414119076655,0.05080339142279955,0.0457296371499158,0.5670103092783505,0.3018867924528302,0.5238095238095238
medium_load,mappo_full,7,13003,192,94,19,79,0.4895833333333333,0.09895833333333333,3.1333333333333333,6.319148936170213,12.349999999999994,1.9236111111111112,16,29,-9.196106441212875,0.22803387880824813,0.04481481481481482,0.6962838257935489,0.052408558790137734,0.19462803249954955,0.051228044761204725,0.0340803932909196,0.5104166666666666,0.43548387096774194,0.5294117647058824
medium_load,mappo_full,7,13004,192,78,26,88,0.40625,0.13541666666666666,2.6,7.397435897435898,16.14999999999999,2.1416666666666666,12,23,-12.891184161919748,0.25798383640788214,0.049938271604938266,0.655046663959262,0.039840649976098895,0.15169054357521852,0.04879257042265545,0.04739102658607302,0.38095238095238093,0.31666666666666665,0.5625
medium_load,mappo_full,7,13005,192,76,30,86,0.3958333333333333,0.15625,2.533333333333333,7.4868421052631575,15.25,2.2069444444444444,16,30,-13.041620292551373,0.23509404661913352,0.05132716049382716,0.6821219199468035,0.052738938857864695,0.15352162967302957,0.05057360245406942,0.05447102637993067,0.47058823529411764,0.2608695652173913,0.47368421052631576
medium_load,mappo_full,7,13006,192,79,27,86,0.4114583333333333,0.140625,2.6333333333333333,6.455696202531645,13.299999999999983,2.1416666666666666,19,44,-11.221140944430326,0.22044314151429553,0.049876543209876556,0.6944217216676899,0.07470152654363178,0.17200040757316296,0.05206432811827118,0.04516843579537078,0.43434343434343436,0.3448275862068966,0.45714285714285713
medium_load,mappo_full,7,13007,192,97,14,81,0.5052083333333334,0.07291666666666667,3.2333333333333334,6.350515463917525,13.199999999999989,1.9083333333333334,15,41,-7.211472529107449,0.20271101630842475,0.044537037037037035,0.7123864451147285,0.07077845402081503,0.2142369753158554,0.05352844422948669,0.02740698227304769,0.5148514851485149,0.43636363636363634,0.5833333333333334
medium_load,mappo_full,7,13008,192,91,12,89,0.4739583333333333,0.0625,3.033333333333333,5.450549450549451,12.5,1.9180555555555556,21,55,-6.535703980337478,0.17927689086799875,0.045000000000000005,0.7165110490666665,0.09301461094804747,0.2126868411659433,0.054733653368139595,0.022810889374356866,0.4336283185840708,0.5434782608695652,0.5151515151515151
medium_load,mappo_full,7,13009,192,91,21,80,0.4739583333333333,0.109375,3.033333333333333,6.824175824175824,13.0,2.154166666666667,21,34,-10.308236564522135,0.2255905594484998,0.049969135802469124,0.6965512290863373,0.06247250542142182,0.18122553272321074,0.05034284722024478,0.03734434124527004,0.494949494949495,0.55,0.2727272727272727
medium_load,mappo_full,7,13010,192,103,20,69,0.5364583333333334,0.10416666666666667,3.433333333333333,6.786407766990291,15.899999999999991,1.863888888888889,14,25,-8.2772599812703,0.22490350237840284,0.043179012345679016,0.6701651760569541,0.04489026897308631,0.20308612311321292,0.04973012709378347,0.036800272740675224,0.6153846153846154,0.49295774647887325,0.4
medium_load,mappo_full,7,13011,192,94,30,68,0.4895833333333333,0.15625,3.1333333333333333,5.191489361702128,11.699999999999989,1.8486111111111112,24,32,-9.459660392208093,0.20844779762065316,0.042808641975308634,0.6925677710264494,0.05327696469337337,0.1979482170736041,0.0524202033548176,0.05317121861626505,0.5443037974683544,0.4067796610169492,0.5
medium_load,mappo_full,7,13012,192,87,24,81,0.453125,0.125,2.9,6.655172413793103,15.700000000000003,2.1083333333333334,16,41,-11.06131875864731,0.2281077195198842,0.04898148148148148,0.7119010147324282,0.07158246608862438,0.1829597858730313,0.05247675177089749,0.045911308284104085,0.4791666666666667,0.3793103448275862,0.5
medium_load,mappo_full,7,13013,192,87,23,82,0.453125,0.11979166666666667,2.9,6.977011494252873,12.700000000000003,2.1180555555555554,17,24,-10.399303879672434,0.21424843438416968,0.04922839506172839,0.6936202739085495,0.04385539010926008,0.17498690006816944,0.05001052803640304,0.04120192228938359,0.5113636363636364,0.3384615384615385,0.5128205128205128
medium_load,mappo_full,7,13014,192,94,19,79,0.4895833333333333,0.09895833333333333,3.1333333333333333,6.712765957446808,12.0,1.9208333333333334,18,30,-9.714269495870905,0.2437215253201071,0.044753086419753084,0.6725082295896017,0.05187034356539,0.18679898461245212,0.049199534470689935,0.033167410504871805,0.5172413793103449,0.4838709677419355,0.4418604651162791
medium_load,mappo_full,7,13015,192,86,22,84,0.4479166666666667,0.11458333333333333,2.8666666666666667,6.593023255813954,13.5,2.172222222222222,21,40,-10.17717366558131,0.20423541250427107,0.05049382716049384,0.6883818823209177,0.07049551984536503,0.17512629613248812,0.05070711854592675,0.04075024161711469,0.4563106796116505,0.42592592592592593,0.45714285714285713
medium_load,mappo_full,7,13016,192,101,18,73,0.5260416666666666,0.09375,3.3666666666666667,6.5049504950495045,17.0,1.8319444444444444,12,30,-8.148381498320068,0.22467719093200111,0.042592592592592585,0.6847426706043535,0.049501226327851706,0.20257117137535097,0.04985162707680167,0.030373525539934214,0.5384615384615384,0.47692307692307695,0.5833333333333334
