run_id,scenario,policy_seed,training_updates,validation_points,unique_validation_tuples,tail_normalized_entropy,tail_actor_gradient_pre_clip,tail_critic_gradient_pre_clip,entropy_below_0_01,actor_gradient_below_0_01,critic_clipping_active,selected_checkpoint_sha256,final_checkpoint_sha256,selected_differs_from_final
leo_multi__fault_links__seed-1024__2026-07-15_20-09-18__EXP-004,fault_links,1024,417,10,10,0.15025223634900553,0.42657960096876774,32.566659642590416,False,False,True,13ca49fe400359957c7024bcec74daed002b17b4951232c6bcdfcaf6e85bd152,a3cc2060f99a0a845fcf364a55655fb353dd468180a6d5d3c8f6a1abd38339ff,True
leo_multi__fault_links__seed-42__2026-07-15_16-29-04__EXP-004,fault_links,42,417,10,10,0.19037028674095394,0.499002859765102,29.437413766034062,False,False,True,f4d21858ff29480a8b440a82194f6e0beb1a38df343631558e5ab56aab4522e1,afd6b4d86c17d5a8b2b3a2114edf844187581ab6a9dcf14deaca27d15d49e5b0,True
leo_multi__fault_links__seed-7__2026-07-15_14-57-07__EXP-004,fault_links,7,417,10,10,0.16843243033462574,0.46812144865001004,25.690960233173666,False,False,True,9281fbee99b34b7343b56daf74732a731a6c2f05b2b792a345197f997b2d2271,aa71c01ad38ca0be5bcc4843b178b0159ea9d28312c3126b81411e24dee7d38b,True
leo_multi__frequent_break__seed-1024__2026-07-15_16-28-35__EXP-004,frequent_break,1024,417,10,10,0.10334955382027797,0.3684789495217422,153.5043259537409,False,False,True,9e849027468effdd41839474a7b13504f24545f5cf06c1a9fb9ffe2570d2b884,80323c81979438177bae2c825db0932b0769dd38ee202c8ea55cbccf71d4e3d3,True
leo_multi__frequent_break__seed-42__2026-07-15_14-57-02__EXP-004,frequent_break,42,417,10,10,0.1142962963157703,0.3612519629477035,161.58282949432493,False,False,True,2155fafe3f35acb61169ae1e3bdadb7e4ab18b520e70fcc59d93661442921470,1e2fc0f8315729fa5c73296a5b7d705e269ba96d1353739b88342d7974382337,True
leo_multi__frequent_break__seed-7__2026-07-15_14-57-02__EXP-004,frequent_break,7,417,10,10,0.09433609060943128,0.20713863155198475,110.08470737177227,False,False,True,0f9fcfbb91b5c879cfc9c2993cf0bc68d0aa8a8fe28022fe28cec18167f72a54,9a124367d089d74044fe347fda5926ec362952acb00f6e666f25936dca337934,True
leo_multi__hotspot_high_load__seed-1024__2026-07-15_16-33-44__EXP-004,hotspot_high_load,1024,417,10,10,0.2468737131723809,0.5949629688310245,283.7636993007055,False,False,True,fd011bdac3fc8ebee18be447b225c801494ae11f0e80434f8185dc3bb956c2eb,ddf53d71ddc1e5542c6ede6ea6819a3493610e65fc49fcdd09e00bac2f020194,True
leo_multi__hotspot_high_load__seed-42__2026-07-15_14-56-56__EXP-004,hotspot_high_load,42,417,10,10,0.2830049166721957,0.4933936391617097,266.6781183992113,False,False,True,14885a9dc0b732d9d353952d5e932b6072ab24b7baac00699aaa464785637445,e45c82bd53e5a04577699ea7e934d0479d04f47f1a1b3b010c3de08c18dbbb95,True
leo_multi__hotspot_high_load__seed-7__2026-07-15_14-56-56__EXP-004,hotspot_high_load,7,417,10,10,0.2254444784115231,0.46819318671311644,197.95728189841148,False,False,True,f18c187b7c80553109d0e78ecf8680592e390e2f331e1a9918316842c2842594,7585dd5587309594bbe7ba17868f601f34f765aad19a0eeea52e1ae734017eea,True
leo_multi__low_load__seed-1024__2026-07-15_16-03-27__EXP-004,low_load,1024,417,10,10,0.09848663522787984,0.5534304677257463,9.051072444825891,False,False,True,f439baf5849b2cc274444eb326393179be36ca134496c175ceffe20bad6ddbfc,52ccc3806b93bb868cededfac9a085955689bc9f98821a46a1bcf59d74b76584,True
leo_multi__low_load__seed-42__2026-07-15_14-51-35__EXP-004,low_load,42,417,10,10,0.1377285708569818,0.5336268047196052,7.873023010790348,False,False,True,a80ee0fc6aad1ac6e3e19b0f11725e3d303647fa6402f14ea94415a71652576a,4561a2c883154cae0da4c5b4ab8b43c73f6aa8874fc6ee8d854819c649b68c98,True
leo_multi__low_load__seed-7__2026-07-15_14-51-35__EXP-004,low_load,7,417,10,10,0.10176262280179393,0.47851123786457467,8.255357501762253,False,False,True,c2a0063f99bcf1c6cab2394212b524c9ce4c9d59727bd5ba8e308f1c526c1587,2e6f3024880dd508ab4ab0d8720d6d9254aa3e513d679f2095979b43a828a9e2,True
leo_multi__medium_load__seed-1024__2026-07-15_20-09-18__EXP-004,medium_load,1024,417,10,10,0.1327639685884591,0.5728115567730533,11.13759791602691,False,False,True,fe23aa7d9114f10f2adf7ca3fc314cdf811e52713e98be2bdc92e96daa2d72c6,d0da856c4b05c063d2efa8727e1d96bbfc7b43c90cab5d278f91fc2f3b207840,True
leo_multi__medium_load__seed-42__2026-07-15_20-09-18__EXP-004,medium_load,42,417,10,10,0.20890369493928218,0.6464284776103875,9.508296249286524,False,False,True,a9af31ab7eaa960aecd5740903936c36bd6babe605daf56907d0dbbe1e99c35c,81c04635c6da00ff63a726896525351aff5755409598fe9363ff40b976c8a967,True
leo_multi__medium_load__seed-7__2026-07-15_16-03-42__EXP-004,medium_load,7,417,10,10,0.17795377514428565,0.5244348407796925,11.325785087451102,False,False,True,31c337aa4a02dafa07f504c1a74d33ea1569c101479fa8b0b316b97b64270b4f,0194820a56e96533ad09a2fe687536574b5b5f29f19aa225c202a1a6ea3502d9,True
