scenario,policy,policy_seed,workload_seed,generated,delivered,dropped,backlog,delivery_ratio,drop_rate,throughput_packets_per_slot,average_delay_slots,p95_delay_slots,mean_queue_packets,max_queue_packets,routing_switches,episode_reward,class_0_delivery_ratio,class_1_delivery_ratio,class_2_delivery_ratio
tle_starlink_24,delay_only,-1,12001,192,9,57,126,0.046875,0.296875,0.3,6.888888888888889,12.2,2.908333333333333,26,114,-17.508661174268447,0.05263157894736842,0.05357142857142857,0.024390243902439025
tle_starlink_24,delay_only,-1,12002,192,9,51,132,0.046875,0.265625,0.3,6.444444444444445,16.799999999999997,2.9791666666666665,28,101,-16.656689871508643,0.038834951456310676,0.0425531914893617,0.07142857142857142
tle_starlink_24,delay_only,-1,12003,192,8,57,127,0.041666666666666664,0.296875,0.26666666666666666,5.75,11.599999999999998,2.8944444444444444,20,123,-17.69677012087744,0.019801980198019802,0.1016949152542373,0.0
tle_starlink_24,delay_only,-1,12004,192,10,48,134,0.052083333333333336,0.25,0.3333333333333333,7.2,22.39999999999999,3.0055555555555555,29,109,-16.70389023639649,0.04395604395604396,0.04477611940298507,0.08823529411764706
tle_starlink_24,delay_only,-1,12005,192,8,46,138,0.041666666666666664,0.23958333333333334,0.26666666666666666,12.125,24.749999999999993,3.2416666666666667,25,108,-17.27177863533542,0.05,0.03571428571428571,0.027777777777777776
tle_starlink_24,delay_only,-1,12006,192,10,53,129,0.052083333333333336,0.2760416666666667,0.3333333333333333,7.3,14.649999999999997,2.9208333333333334,30,98,-17.935955302822975,0.0707070707070707,0.03636363636363636,0.02631578947368421
tle_starlink_24,delay_only,-1,12007,192,11,49,132,0.057291666666666664,0.2552083333333333,0.36666666666666664,8.272727272727273,17.5,3.0805555555555557,24,131,-17.01383160724709,0.022727272727272728,0.07142857142857142,0.11764705882352941
tle_starlink_24,delay_only,-1,12008,192,9,51,132,0.046875,0.265625,0.3,5.888888888888889,13.199999999999998,2.975,25,133,-17.16973006095222,0.049019607843137254,0.06779661016949153,0.0
tle_starlink_24,delay_only,-1,12009,192,6,57,129,0.03125,0.296875,0.2,7.166666666666667,16.75,3.047222222222222,33,146,-19.016706109819722,0.011111111111111112,0.05,0.047619047619047616
tle_starlink_24,delay_only,-1,12010,192,4,55,133,0.020833333333333332,0.2864583333333333,0.13333333333333333,11.75,22.799999999999997,3.0444444444444443,29,114,-18.780962974049412,0.022727272727272728,0.0,0.04081632653061224
tle_starlink_24,delay_only,-1,12011,192,10,53,129,0.052083333333333336,0.2760416666666667,0.3333333333333333,12.2,26.099999999999998,2.9722222222222223,27,123,-17.010797986395836,0.030303030303030304,0.07142857142857142,0.08108108108108109
tle_starlink_24,delay_only,-1,12012,192,9,53,130,0.046875,0.2760416666666667,0.3,9.777777777777779,17.6,2.9694444444444446,23,111,-16.696328880445247,0.0297029702970297,0.06666666666666667,0.06451612903225806
tle_starlink_24,delay_only,-1,12013,192,5,47,140,0.026041666666666668,0.24479166666666666,0.16666666666666666,14.0,22.4,3.2819444444444446,21,118,-17.47231743672134,0.043010752688172046,0.0,0.027777777777777776
tle_starlink_24,delay_only,-1,12014,192,13,54,125,0.06770833333333333,0.28125,0.43333333333333335,9.307692307692308,20.999999999999993,3.0236111111111112,21,102,-16.59112371690842,0.04807692307692308,0.09433962264150944,0.08571428571428572
tle_starlink_24,delay_only,-1,12015,192,3,50,139,0.015625,0.2604166666666667,0.1,8.0,15.799999999999999,3.1125,22,117,-18.332458575852176,0.010752688172043012,0.03389830508474576,0.0
tle_starlink_24,delay_only,-1,12016,192,5,57,130,0.026041666666666668,0.296875,0.16666666666666666,4.2,8.399999999999999,2.986111111111111,25,133,-18.238746186191438,0.019801980198019802,0.02,0.04878048780487805
tle_starlink_24,delay_only,-1,12017,192,5,52,135,0.026041666666666668,0.2708333333333333,0.16666666666666666,9.8,24.799999999999997,3.0625,26,136,-18.33319799907726,0.052083333333333336,0.0,0.0
tle_starlink_24,delay_only,-1,12018,192,7,50,135,0.036458333333333336,0.2604166666666667,0.23333333333333334,6.857142857142857,14.499999999999996,3.0805555555555557,26,123,-17.864609958675008,0.042105263157894736,0.041666666666666664,0.02040816326530612
tle_starlink_24,delay_only,-1,12019,192,10,56,126,0.052083333333333336,0.2916666666666667,0.3333333333333333,5.6,16.65,3.0166666666666666,21,138,-17.32841659055721,0.03,0.10344827586206896,0.029411764705882353
tle_starlink_24,delay_only,-1,12020,192,10,49,133,0.052083333333333336,0.2552083333333333,0.3333333333333333,9.4,19.149999999999984,3.0444444444444443,25,102,-16.605620540515073,0.0625,0.04918032786885246,0.0392156862745098
tle_starlink_24,full_heuristic,-1,12001,192,21,51,120,0.109375,0.265625,0.7,8.428571428571429,16.0,2.8569444444444443,19,57,-13.209700817178437,0.11578947368421053,0.16071428571428573,0.024390243902439025
tle_starlink_24,full_heuristic,-1,12002,192,19,51,122,0.09895833333333333,0.265625,0.6333333333333333,9.368421052631579,23.299999999999994,2.938888888888889,24,52,-13.426089545682244,0.05825242718446602,0.14893617021276595,0.14285714285714285
tle_starlink_24,full_heuristic,-1,12003,192,19,53,120,0.09895833333333333,0.2760416666666667,0.6333333333333333,9.368421052631579,17.099999999999998,2.845833333333333,15,85,-13.853953207112069,0.07920792079207921,0.13559322033898305,0.09375
tle_starlink_24,full_heuristic,-1,12004,192,17,49,126,0.08854166666666667,0.2552083333333333,0.5666666666666667,7.882352941176471,20.799999999999994,2.9763888888888888,17,85,-14.281557894505701,0.08791208791208792,0.08955223880597014,0.08823529411764706
tle_starlink_24,full_heuristic,-1,12005,192,23,48,121,0.11979166666666667,0.25,0.7666666666666667,11.91304347826087,23.9,2.9763888888888888,17,67,-12.98870398707473,0.13,0.125,0.08333333333333333
tle_starlink_24,full_heuristic,-1,12006,192,22,52,118,0.11458333333333333,0.2708333333333333,0.7333333333333333,9.409090909090908,25.699999999999996,2.8319444444444444,19,54,-13.053986405171067,0.1414141414141414,0.05454545454545454,0.13157894736842105
tle_starlink_24,full_heuristic,-1,12007,192,25,35,132,0.13020833333333334,0.18229166666666666,0.8333333333333334,8.96,15.599999999999994,3.126388888888889,18,58,-11.61331064625706,0.09090909090909091,0.17142857142857143,0.14705882352941177
tle_starlink_24,full_heuristic,-1,12008,192,27,42,123,0.140625,0.21875,0.9,11.185185185185185,22.7,2.975,15,58,-11.850357973071143,0.13725490196078433,0.2033898305084746,0.03225806451612903
tle_starlink_24,full_heuristic,-1,12009,192,19,46,127,0.09895833333333333,0.23958333333333334,0.6333333333333333,8.894736842105264,20.299999999999994,3.1555555555555554,19,94,-13.607064156517474,0.022222222222222223,0.21666666666666667,0.09523809523809523
tle_starlink_24,full_heuristic,-1,12010,192,15,40,137,0.078125,0.20833333333333334,0.5,11.533333333333333,23.099999999999994,3.188888888888889,16,78,-13.147649445587207,0.045454545454545456,0.07272727272727272,0.14285714285714285
tle_starlink_24,full_heuristic,-1,12011,192,24,40,128,0.125,0.20833333333333334,0.8,7.458333333333333,17.699999999999996,2.9097222222222223,18,65,-11.731975042328502,0.16161616161616163,0.08928571428571429,0.08108108108108109
tle_starlink_24,full_heuristic,-1,12012,192,19,55,118,0.09895833333333333,0.2864583333333333,0.6333333333333333,7.105263157894737,14.099999999999998,2.8027777777777776,18,71,-13.938162824905529,0.07920792079207921,0.13333333333333333,0.0967741935483871
tle_starlink_24,full_heuristic,-1,12013,192,14,45,133,0.07291666666666667,0.234375,0.4666666666666667,10.928571428571429,23.7,3.1444444444444444,20,53,-13.636339618741452,0.053763440860215055,0.06349206349206349,0.1388888888888889
tle_starlink_24,full_heuristic,-1,12014,192,27,41,124,0.140625,0.21354166666666666,0.9,9.25925925925926,20.099999999999998,2.9166666666666665,15,57,-11.290103075118294,0.11538461538461539,0.18867924528301888,0.14285714285714285
tle_starlink_24,full_heuristic,-1,12015,192,17,46,129,0.08854166666666667,0.23958333333333334,0.5666666666666667,9.058823529411764,17.2,2.9555555555555557,18,59,-13.596053691452342,0.08602150537634409,0.11864406779661017,0.05
tle_starlink_24,full_heuristic,-1,12016,192,16,50,126,0.08333333333333333,0.2604166666666667,0.5333333333333333,6.0,15.5,2.8958333333333335,22,67,-13.60302972364037,0.06930693069306931,0.1,0.0975609756097561
tle_starlink_24,full_heuristic,-1,12017,192,16,46,130,0.08333333333333333,0.23958333333333334,0.5333333333333333,11.875,24.25,3.0416666666666665,22,86,-13.864952116623058,0.11458333333333333,0.037037037037037035,0.07142857142857142
tle_starlink_24,full_heuristic,-1,12018,192,15,41,136,0.078125,0.21354166666666666,0.5,9.066666666666666,19.799999999999994,3.0527777777777776,18,97,-13.408188497992683,0.07368421052631578,0.125,0.04081632653061224
tle_starlink_24,full_heuristic,-1,12019,192,22,54,116,0.11458333333333333,0.28125,0.7333333333333333,8.272727272727273,22.799999999999997,2.9611111111111112,19,85,-13.56109321084238,0.08,0.1724137931034483,0.11764705882352941
tle_starlink_24,full_heuristic,-1,12020,192,16,48,128,0.08333333333333333,0.25,0.5333333333333333,7.6875,19.0,2.8694444444444445,15,68,-13.549108689697748,0.1,0.03278688524590164,0.11764705882352941
tle_starlink_24,random,-1,12001,192,26,46,120,0.13541666666666666,0.23958333333333334,0.8666666666666667,8.615384615384615,19.5,2.7847222222222223,21,163,-15.467307617831873,0.14736842105263157,0.125,0.12195121951219512
tle_starlink_24,random,-1,12002,192,23,48,121,0.11979166666666667,0.25,0.7666666666666667,8.043478260869565,17.9,2.7958333333333334,17,181,-15.655884001869481,0.1262135922330097,0.10638297872340426,0.11904761904761904
tle_starlink_24,random,-1,12003,192,19,52,121,0.09895833333333333,0.2708333333333333,0.6333333333333333,9.263157894736842,20.599999999999987,2.8194444444444446,18,182,-16.58448992797693,0.07920792079207921,0.11864406779661017,0.125
tle_starlink_24,random,-1,12004,192,17,47,128,0.08854166666666667,0.24479166666666666,0.5666666666666667,10.588235294117647,23.0,2.984722222222222,23,174,-17.16302501082311,0.07692307692307693,0.11940298507462686,0.058823529411764705
tle_starlink_24,random,-1,12005,192,16,48,128,0.08333333333333333,0.25,0.5333333333333333,10.875,21.75,3.051388888888889,22,177,-16.93183746000187,0.1,0.05357142857142857,0.08333333333333333
tle_starlink_24,random,-1,12006,192,23,47,122,0.11979166666666667,0.24479166666666666,0.7666666666666667,9.391304347826088,17.799999999999997,2.776388888888889,27,163,-15.27223598544678,0.18181818181818182,0.07272727272727272,0.02631578947368421
tle_starlink_24,random,-1,12007,192,34,44,114,0.17708333333333334,0.22916666666666666,1.1333333333333333,10.794117647058824,25.0,2.775,22,173,-14.37066114519756,0.14772727272727273,0.18571428571428572,0.23529411764705882
tle_starlink_24,random,-1,12008,192,19,47,126,0.09895833333333333,0.24479166666666666,0.6333333333333333,8.631578947368421,21.099999999999998,2.9569444444444444,22,170,-16.344194620331212,0.12745098039215685,0.05084745762711865,0.0967741935483871
tle_starlink_24,random,-1,12009,192,23,49,120,0.11979166666666667,0.2552083333333333,0.7666666666666667,8.695652173913043,17.799999999999997,2.772222222222222,27,185,-16.206202105691194,0.12222222222222222,0.16666666666666666,0.047619047619047616
tle_starlink_24,random,-1,12010,192,19,45,128,0.09895833333333333,0.234375,0.6333333333333333,11.368421052631579,19.099999999999998,2.9625,27,185,-16.525585514267853,0.045454545454545456,0.12727272727272726,0.16326530612244897
tle_starlink_24,random,-1,12011,192,22,40,130,0.11458333333333333,0.20833333333333334,0.7333333333333333,9.136363636363637,20.9,2.952777777777778,21,164,-14.820794752632466,0.09090909090909091,0.14285714285714285,0.13513513513513514
tle_starlink_24,random,-1,12012,192,20,49,123,0.10416666666666667,0.2552083333333333,0.6666666666666666,10.05,22.05,2.951388888888889,21,167,-16.313842508584273,0.1188118811881188,0.08333333333333333,0.0967741935483871
tle_starlink_24,random,-1,12013,192,10,45,137,0.052083333333333336,0.234375,0.3333333333333333,9.6,17.199999999999996,3.2416666666666667,21,170,-17.338977320594367,0.08602150537634409,0.031746031746031744,0.0
tle_starlink_24,random,-1,12014,192,27,42,123,0.140625,0.21875,0.9,8.037037037037036,22.599999999999994,2.8,19,152,-14.078749149780622,0.1346153846153846,0.1509433962264151,0.14285714285714285
tle_starlink_24,random,-1,12015,192,26,43,123,0.13541666666666666,0.22395833333333334,0.8666666666666667,8.23076923076923,17.25,2.8680555555555554,24,157,-15.182860970835916,0.13978494623655913,0.15254237288135594,0.1
tle_starlink_24,random,-1,12016,192,22,37,133,0.11458333333333333,0.19270833333333334,0.7333333333333333,8.454545454545455,18.9,3.1125,23,153,-14.851604654346048,0.09900990099009901,0.14,0.12195121951219512
tle_starlink_24,random,-1,12017,192,15,43,134,0.078125,0.22395833333333334,0.5,8.8,17.599999999999998,2.9194444444444443,24,177,-16.5593188201752,0.11458333333333333,0.037037037037037035,0.047619047619047616
tle_starlink_24,random,-1,12018,192,19,42,131,0.09895833333333333,0.21875,0.6333333333333333,10.210526315789474,20.699999999999985,2.977777777777778,25,175,-15.649781402771978,0.12631578947368421,0.0625,0.08163265306122448
tle_starlink_24,random,-1,12019,192,26,48,118,0.13541666666666666,0.25,0.8666666666666667,9.23076923076923,19.5,2.798611111111111,26,159,-15.368971390448246,0.15,0.13793103448275862,0.08823529411764706
tle_starlink_24,random,-1,12020,192,20,56,116,0.10416666666666667,0.2916666666666667,0.6666666666666666,7.25,20.150000000000002,2.775,18,167,-16.711106127388547,0.1,0.08196721311475409,0.13725490196078433
