scenario,policy,policy_seed,workload_seed,generated,delivered,dropped,backlog,delivery_ratio,drop_rate,throughput_packets_per_slot,average_delay_slots,p95_delay_slots,mean_queue_packets,max_queue_packets,routing_switches,episode_reward,global_delay_cost,global_queue_cost,global_load_imbalance,global_switch_cost,global_throughput_reward,global_control_overhead_ratio,global_drop_cost,class_0_delivery_ratio,class_1_delivery_ratio,class_2_delivery_ratio
fr0.00,mappo,1024,19001,192,142,6,44,0.7395833333333334,0.03125,4.733333333333333,5.971830985915493,10.0,1.3180555555555555,11,31,8.73567619281479,0.1952458969320193,0.030277777777777782,0.7009739009828223,0.06389266907842758,0.3103320219225792,0.0549336744920471,0.010818713450292398,0.7816091954022989,0.6290322580645161,0.813953488372093
fr0.00,mappo,1024,19002,192,133,3,56,0.6927083333333334,0.015625,4.433333333333334,7.225563909774436,12.0,1.5944444444444446,10,41,6.313529752487528,0.2276100036757479,0.03679012345679013,0.7069782412416074,0.08290657112638537,0.286138255019834,0.054944735778972395,0.006004901960784314,0.696969696969697,0.6065573770491803,0.84375
fr0.00,mappo,1024,19003,192,149,3,40,0.7760416666666666,0.015625,4.966666666666667,5.697986577181208,11.0,1.2333333333333334,11,27,10.046893039715078,0.18574957648714527,0.0282716049382716,0.7094477721664786,0.05402007091635575,0.3217340343694833,0.05470086131284704,0.006492948056415549,0.7884615384615384,0.75,0.78125
fr0.00,mappo,1024,19004,192,146,1,45,0.7604166666666666,0.005208333333333333,4.866666666666666,5.739726027397261,10.0,1.2819444444444446,10,45,8.58390739620892,0.19278931516129022,0.02950617283950617,0.6792453339355004,0.09080849977908803,0.2989835083217437,0.05189616654260322,0.0020833333333333333,0.8484848484848485,0.7358490566037735,0.575
fr0.00,mappo,1024,19005,192,135,5,52,0.703125,0.026041666666666668,4.5,6.281481481481482,12.0,1.4111111111111112,12,31,7.13767977916674,0.2102418724304192,0.03259259259259259,0.7026316374796635,0.06300525855866414,0.2907169349971207,0.05419226685734065,0.009455911019378512,0.6868686868686869,0.7346938775510204,0.7045454545454546
fr0.00,mappo,1024,19006,192,148,4,40,0.7708333333333334,0.020833333333333332,4.933333333333334,6.25,11.0,1.3708333333333333,9,29,8.354813901308717,0.2201360844701456,0.03132716049382716,0.6836189321626926,0.05790983712423341,0.31255577827172254,0.05374721804414186,0.008050682261208577,0.8043478260869565,0.7538461538461538,0.7142857142857143
fr0.00,mappo,1024,19007,192,141,2,49,0.734375,0.010416666666666666,4.7,6.361702127659575,12.0,1.4472222222222222,9,35,8.219300435613128,0.2115720620646307,0.03330246913580247,0.694925564033042,0.07084569297804592,0.304384531590414,0.054166496215375746,0.0037500000000000003,0.6590909090909091,0.8035714285714286,0.7916666666666666
fr0.00,mappo,1024,19008,192,154,3,35,0.8020833333333334,0.015625,5.133333333333334,5.285714285714286,10.0,1.1472222222222221,8,24,11.568910883721522,0.1787115411600379,0.026203703703703698,0.6907917752672584,0.05225247791424261,0.3414664583782231,0.055656969945914146,0.006266339869281046,0.79,0.7368421052631579,0.9428571428571428
fr0.00,mappo,1024,19009,192,143,5,44,0.7447916666666666,0.026041666666666668,4.766666666666667,5.5524475524475525,11.0,1.2708333333333333,9,23,9.63343053494045,0.18435827858888112,0.029228395061728394,0.7053144482344941,0.04802170868347339,0.31845361882126594,0.05614517977854815,0.01115079365079365,0.7755102040816326,0.6551724137931034,0.8055555555555556
fr0.00,mappo,1024,19010,192,138,6,48,0.71875,0.03125,4.6,6.028985507246377,10.150000000000006,1.35,9,27,8.582184335968396,0.18845228225750496,0.03111111111111111,0.6816252194553961,0.05628582517127409,0.3029753037067278,0.054565780378679256,0.010830180025226463,0.7428571428571429,0.6666666666666666,0.7222222222222222
fr0.00,mappo,1024,19011,192,147,2,43,0.765625,0.010416666666666666,4.9,6.190476190476191,11.0,1.3458333333333334,10,30,9.217322951840334,0.20748264712054715,0.030864197530864206,0.6941623420722992,0.06274922632120775,0.3173287857653183,0.05430251264346908,0.00392156862745098,0.8021978021978022,0.7627118644067796,0.6904761904761905
fr0.00,mappo,1024,19012,192,147,5,40,0.765625,0.026041666666666668,4.9,5.510204081632653,10.699999999999989,1.226388888888889,10,38,9.989997429245296,0.19039502009047035,0.028117283950617286,0.6983963471523834,0.08024116664209545,0.3295313799261168,0.055797810430861065,0.010853174603174602,0.8214285714285714,0.7058823529411765,0.75
fr0.00,mappo,1024,19013,192,146,3,43,0.7604166666666666,0.015625,4.866666666666666,5.678082191780822,10.0,1.2444444444444445,8,34,8.85822196716429,0.19080253725193472,0.028611111111111108,0.6823370038055628,0.06775846888462987,0.3043656489709121,0.05348136939100265,0.006316137566137566,0.7878787878787878,0.7301587301587301,0.7333333333333333
fr0.00,mappo,1024,19014,192,145,3,44,0.7552083333333334,0.015625,4.833333333333333,6.110344827586207,10.799999999999983,1.3472222222222223,10,45,9.277015556535494,0.197144680045015,0.03092592592592592,0.6966083718281,0.09719344710443781,0.31889331643588614,0.05530796560765377,0.0060185185185185185,0.79,0.75,0.6666666666666666
