target_scale,n_sats,policy,metric,n,mean,ci95_low,ci95_high
n24,24,full_heuristic,delivery_ratio,20,0.34505208333333337,0.3302083333333333,0.35963541666666665
n24,24,full_heuristic,drop_rate,20,0.15989583333333335,0.14947916666666666,0.16979166666666667
n24,24,full_heuristic,throughput_packets_per_slot,20,2.2083333333333335,2.1133333333333333,2.3016666666666667
n24,24,full_heuristic,average_delay_slots,20,8.738345779929324,8.464949749700759,9.027457056368636
n24,24,full_heuristic,p95_delay_slots,20,18.919999999999995,18.189999999999994,19.714999999999993
n24,24,full_heuristic,mean_queue_packets,20,2.454027777777778,2.3969444444444448,2.510418402777778
n24,24,global_dijkstra,delivery_ratio,20,0.7328125000000001,0.7203125000000001,0.7447916666666667
n24,24,global_dijkstra,drop_rate,20,0.020572916666666666,0.016927083333333332,0.024218750000000004
n24,24,global_dijkstra,throughput_packets_per_slot,20,4.6899999999999995,4.610000000000001,4.766666666666667
n24,24,global_dijkstra,average_delay_slots,20,6.262707997917664,6.094782779074719,6.453163208848126
n24,24,global_dijkstra,p95_delay_slots,20,12.077499999999997,11.629937499999999,12.502500000000001
n24,24,global_dijkstra,mean_queue_packets,20,1.3939583333333334,1.3528472222222223,1.4387517361111113
n24,24,mappo_transfer_n24,delivery_ratio,160,0.7872721354166666,0.78408203125,0.79052734375
n24,24,mappo_transfer_n24,drop_rate,160,0.004361979166666667,0.003548177083333333,0.005240885416666665
n24,24,mappo_transfer_n24,throughput_packets_per_slot,160,5.038541666666666,5.018125,5.059375
n24,24,mappo_transfer_n24,average_delay_slots,160,5.772040475173259,5.723247730756823,5.820766010679814
n24,24,mappo_transfer_n24,p95_delay_slots,160,10.08,9.9609375,10.1996953125
n24,24,mappo_transfer_n24,mean_queue_packets,160,1.2250520833333334,1.213142144097222,1.2369707031250001
n66,66,full_heuristic,delivery_ratio,20,0.12076023391812865,0.11676169590643272,0.12495126705653017
n66,66,full_heuristic,drop_rate,20,0.2713450292397661,0.2658869395711501,0.27690058479532165
n66,66,full_heuristic,throughput_packets_per_slot,20,2.0650000000000004,1.9966249999999994,2.1366666666666663
n66,66,full_heuristic,average_delay_slots,20,10.566353805867596,10.248033394286125,10.887214577755454
n66,66,full_heuristic,p95_delay_slots,20,21.129999999999995,20.3925,21.902499999999996
n66,66,full_heuristic,mean_queue_packets,20,3.0181565656565654,3.0011868686868683,3.036212121212121
n66,66,global_dijkstra,delivery_ratio,20,0.3250487329434698,0.317056530214425,0.3329434697855751
n66,66,global_dijkstra,drop_rate,20,0.1709551656920078,0.16500730994152044,0.1766081871345029
n66,66,global_dijkstra,throughput_packets_per_slot,20,5.558333333333333,5.421666666666666,5.693333333333333
n66,66,global_dijkstra,average_delay_slots,20,9.589269297955154,9.476541719979597,9.710778914606689
n66,66,global_dijkstra,p95_delay_slots,20,20.422499999999996,20.104999999999997,20.784999999999997
n66,66,global_dijkstra,mean_queue_packets,20,2.525782828282828,2.500248106060606,2.552149621212121
n66,66,mappo_transfer_n24,delivery_ratio,160,0.3876218323586745,0.384880604288499,0.39031463206627676
n66,66,mappo_transfer_n24,drop_rate,160,0.13792641325536062,0.13578216374269006,0.14007066276803118
n66,66,mappo_transfer_n24,throughput_packets_per_slot,160,6.628333333333333,6.581458333333333,6.674380208333334
n66,66,mappo_transfer_n24,average_delay_slots,160,9.822281652498546,9.770106956367373,9.875933485389938
n66,66,mappo_transfer_n24,p95_delay_slots,160,19.670937499999997,19.534679687499995,19.8075078125
n66,66,mappo_transfer_n24,mean_queue_packets,160,2.352866161616162,2.3432887468434345,2.362457307449495
n110,110,full_heuristic,delivery_ratio,20,0.0718994413407821,0.06921648044692737,0.07469413407821228
n110,110,full_heuristic,drop_rate,20,0.29,0.2835195530726257,0.29608938547486036
n110,110,full_heuristic,throughput_packets_per_slot,20,2.145,2.064958333333333,2.2283749999999993
n110,110,full_heuristic,average_delay_slots,20,11.020092520604763,10.697682892927745,11.395275613900301
n110,110,full_heuristic,p95_delay_slots,20,22.684999999999995,21.837437499999997,23.517499999999995
n110,110,full_heuristic,mean_queue_packets,20,3.311272727272727,3.2944833333333334,3.328227272727273
n110,110,global_dijkstra,delivery_ratio,20,0.23798882681564248,0.233072625698324,0.2431298882681564
n110,110,global_dijkstra,drop_rate,20,0.20240223463687151,0.1958100558659218,0.20860335195530727
n110,110,global_dijkstra,throughput_packets_per_slot,20,7.1,6.953333333333331,7.253374999999999
n110,110,global_dijkstra,average_delay_slots,20,10.499096578614616,10.359691729409978,10.647336038539287
n110,110,global_dijkstra,p95_delay_slots,20,21.4625,21.1325,21.797499999999996
n110,110,global_dijkstra,mean_queue_packets,20,2.8992727272727272,2.8818632575757577,2.916470075757575
n110,110,mappo_transfer_n24,delivery_ratio,160,0.25105446927374303,0.24874301675977656,0.2534568784916201
n110,110,mappo_transfer_n24,drop_rate,160,0.1937430167597765,0.19110335195530728,0.19627810754189945
n110,110,mappo_transfer_n24,throughput_packets_per_slot,160,7.489791666666667,7.420833333333334,7.561463541666668
n110,110,mappo_transfer_n24,average_delay_slots,160,11.052130095655215,10.997340648619547,11.10824567560243
n110,110,mappo_transfer_n24,p95_delay_slots,160,22.141249999999996,21.987499999999994,22.292820312499998
n110,110,mappo_transfer_n24,mean_queue_packets,160,2.8550511363636364,2.847622537878788,2.862676183712121
n132,132,full_heuristic,delivery_ratio,20,0.05880681818181819,0.056581439393939406,0.06098484848484849
n132,132,full_heuristic,drop_rate,20,0.2967803030303031,0.2934647253787879,0.30028409090909086
n132,132,full_heuristic,throughput_packets_per_slot,20,2.0699999999999994,1.9916666666666671,2.1466666666666665
n132,132,full_heuristic,average_delay_slots,20,10.615684696208953,10.256226581402132,11.026813035617414
n132,132,full_heuristic,p95_delay_slots,20,22.022499999999997,21.0299375,23.092499999999994
n132,132,full_heuristic,mean_queue_packets,20,3.2813636363636363,3.2671335227272724,3.2951644570707077
n132,132,global_dijkstra,delivery_ratio,20,0.1892992424242424,0.1855587121212121,0.19299242424242422
n132,132,global_dijkstra,drop_rate,20,0.22769886363636363,0.2232481060606061,0.2321022727272727
n132,132,global_dijkstra,throughput_packets_per_slot,20,6.663333333333334,6.531666666666666,6.793333333333332
n132,132,global_dijkstra,average_delay_slots,20,11.231016969712233,11.04869610805268,11.414140430438263
n132,132,global_dijkstra,p95_delay_slots,20,23.127499999999998,22.612499999999994,23.6
n132,132,global_dijkstra,mean_queue_packets,20,2.98070707070707,2.9627642045454547,2.997803661616162
n132,132,mappo_transfer_n24,delivery_ratio,160,0.17885890151515152,0.17692338423295456,0.18080625591856062
n132,132,mappo_transfer_n24,drop_rate,160,0.23289535984848486,0.23120857007575762,0.2345763790246212
n132,132,mappo_transfer_n24,throughput_packets_per_slot,160,6.295833333333333,6.227703125,6.364380208333333
n132,132,mappo_transfer_n24,average_delay_slots,160,11.36916412715109,11.316277672754914,11.422562399419615
n132,132,mappo_transfer_n24,p95_delay_slots,160,22.7825,22.603421874999995,22.973437499999996
n132,132,mappo_transfer_n24,mean_queue_packets,160,2.9903835227272726,2.9837037563131314,2.997099550189394
