scenario,policy,policy_seed,workload_seed,generated,delivered,dropped,backlog,delivery_ratio,drop_rate,throughput_packets_per_slot,average_delay_slots,p95_delay_slots,mean_queue_packets,max_queue_packets,routing_switches,episode_reward,global_delay_cost,global_queue_cost,global_load_imbalance,global_switch_cost,global_throughput_reward,global_control_overhead_ratio,global_drop_cost,class_0_delivery_ratio,class_1_delivery_ratio,class_2_delivery_ratio
n24,mappo_transfer_n24,1024,16001,192,146,0,46,0.7604166666666666,0.0,4.866666666666666,5.8493150684931505,11.0,1.2680555555555555,9,28,9.992052531866179,0.19990207914168867,0.0292283950617284,0.6974694153913151,0.05860107470788584,0.3216935627152345,0.055667560298164484,0.0,0.7525773195876289,0.8461538461538461,0.6744186046511628
n24,mappo_transfer_n24,1024,16002,192,138,4,50,0.71875,0.020833333333333332,4.6,5.913043478260869,11.0,1.3458333333333334,10,42,8.245329576514925,0.19019181816830316,0.03108024691358025,0.7006951078135123,0.08724521049985445,0.29907721950678606,0.05434840288272606,0.007650355463822955,0.7352941176470589,0.62,0.8
n24,mappo_transfer_n24,1024,16003,192,138,6,48,0.71875,0.03125,4.6,6.268115942028985,11.0,1.4208333333333334,10,29,6.894695039243057,0.22022467834982365,0.032685185185185185,0.696398641392402,0.06213373901067399,0.29464973393765964,0.054198274231170955,0.012808517019043335,0.7682926829268293,0.7272727272727273,0.5757575757575758
n24,mappo_transfer_n24,1024,16004,192,141,8,43,0.734375,0.041666666666666664,4.7,5.858156028368795,10.0,1.3319444444444444,12,41,7.410680138431529,0.19521625617225677,0.030555555555555558,0.6840185407819382,0.08359245115050067,0.29528132328054923,0.05289012473369805,0.016734958940841295,0.75,0.6724137931034483,0.7857142857142857
n24,mappo_transfer_n24,1024,16005,192,134,6,52,0.6979166666666666,0.03125,4.466666666666667,6.559701492537314,12.349999999999994,1.5083333333333333,11,34,6.172878263175636,0.2045759475699854,0.03475308641975308,0.6757563296963326,0.06966966498700243,0.2739923810279848,0.05190322428078789,0.011571924091273937,0.7169811320754716,0.6444444444444445,0.7073170731707317
n24,mappo_transfer_n24,1024,16006,192,155,3,34,0.8072916666666666,0.015625,5.166666666666667,5.412903225806452,9.299999999999983,1.163888888888889,8,27,11.071718092835978,0.1927940399321682,0.026543209876543208,0.7028704138088836,0.06000429438122936,0.3418383547137417,0.05587810439573453,0.006357560568086884,0.8351648351648352,0.7727272727272727,0.8
n24,mappo_transfer_n24,1024,16007,192,142,3,47,0.7395833333333334,0.015625,4.733333333333333,6.316901408450704,11.0,1.3833333333333333,11,43,8.221496441388547,0.21074208023391836,0.03182098765432099,0.6996037268102534,0.0901351874532989,0.3077435607621367,0.05459020617773329,0.005895969498910675,0.7244897959183674,0.6949152542372882,0.8571428571428571
n24,mappo_transfer_n24,1024,16008,192,142,3,47,0.7395833333333334,0.015625,4.733333333333333,5.647887323943662,10.949999999999989,1.2513888888888889,11,31,9.875542070453976,0.1880114148639693,0.028888888888888888,0.7210779012284472,0.07184590736061325,0.32268611018611026,0.0573784706435098,0.006425070028011204,0.7326732673267327,0.6875,0.813953488372093
n24,mappo_transfer_n24,1024,16009,192,150,1,41,0.78125,0.005208333333333333,5.0,6.046666666666667,11.0,1.3277777777777777,9,27,9.118779438225753,0.1956756931167794,0.030401234567901232,0.6813542631980718,0.05272344886508973,0.30540788073295816,0.0514934696416268,0.0015151515151515152,0.8061224489795918,0.7142857142857143,0.8157894736842105
n24,mappo_transfer_n24,1024,16010,192,142,2,48,0.7395833333333334,0.010416666666666666,4.733333333333333,5.394366197183099,10.0,1.2,10,29,9.74910282598904,0.19713913538605304,0.027777777777777776,0.6984650417879107,0.06335763837698823,0.320435698345915,0.05655899957836137,0.004183006535947712,0.7282608695652174,0.7681159420289855,0.7096774193548387
