scenario,policy,policy_seed,workload_seed,generated,delivered,dropped,backlog,delivery_ratio,drop_rate,throughput_packets_per_slot,average_delay_slots,p95_delay_slots,mean_queue_packets,max_queue_packets,routing_switches,episode_reward,global_delay_cost,global_queue_cost,global_load_imbalance,global_switch_cost,global_throughput_reward,global_control_overhead_ratio,global_drop_cost,class_0_delivery_ratio,class_1_delivery_ratio,class_2_delivery_ratio
frequent_break,dqn_routing,7,11001,192,141,5,46,0.734375,0.026041666666666668,4.7,5.971631205673759,11.0,1.3194444444444444,12,65,8.737635822825236,0.19801529676826077,0.03037037037037037,0.6959316315231223,0.13987647758158595,0.3182007390327825,0.05631822652146983,0.009817538126361656,0.8068181818181818,0.6666666666666666,0.6818181818181818
frequent_break,dqn_routing,7,11002,192,148,2,42,0.7708333333333334,0.010416666666666666,4.933333333333334,5.648648648648648,11.0,1.2472222222222222,9,39,8.69890783338848,0.22052716935556588,0.028641975308641977,0.6674114906234195,0.08324454613154303,0.3150226527858107,0.05380532863838383,0.003935185185185185,0.7613636363636364,0.8142857142857143,0.7058823529411765
frequent_break,dqn_routing,7,11003,192,141,4,47,0.734375,0.020833333333333332,4.7,6.50354609929078,11.0,1.45,11,64,7.179175089885576,0.21933639626414833,0.03330246913580247,0.6773182980847864,0.13518988364576598,0.30057258373434853,0.05404878518951606,0.00784313725490196,0.7659574468085106,0.746268656716418,0.6129032258064516
frequent_break,dqn_routing,7,11004,192,150,2,40,0.78125,0.010416666666666666,5.0,5.8933333333333335,11.0,1.2680555555555555,9,50,10.468599269134804,0.1862914225693539,0.029043209876543206,0.6875305362440397,0.10894870566310196,0.3317571581039073,0.05563650580470305,0.004464285714285714,0.8504672897196262,0.6521739130434783,0.7435897435897436
frequent_break,dqn_routing,7,11005,192,141,1,50,0.734375,0.005208333333333333,4.7,6.624113475177305,12.0,1.4458333333333333,13,55,8.082436811322776,0.2101168898969791,0.03330246913580247,0.6737556348957431,0.11478048911872442,0.30336658167540526,0.05466171692539555,0.0023809523809523807,0.6972477064220184,0.7446808510638298,0.8333333333333334
frequent_break,dqn_routing,7,11006,192,155,3,34,0.8072916666666666,0.015625,5.166666666666667,5.7612903225806456,12.0,1.2430555555555556,13,62,10.319015769236946,0.18952318203673776,0.02830246913580247,0.6871302329766924,0.1352983861110796,0.3355895473349034,0.05534728257327327,0.006869658119658119,0.8468468468468469,0.7346938775510204,0.78125
frequent_break,dqn_routing,7,11007,192,150,0,42,0.78125,0.0,5.0,6.053333333333334,10.0,1.2972222222222223,10,66,8.962446317192608,0.20804508698169114,0.029753086419753084,0.6846164840965977,0.13527290133327285,0.31571720276054643,0.05322410154197873,0.0,0.8314606741573034,0.7666666666666667,0.6976744186046512
frequent_break,dqn_routing,7,11008,192,145,1,46,0.7552083333333334,0.005208333333333333,4.833333333333333,6.020689655172414,11.799999999999983,1.35,11,59,10.142302773347849,0.20089417331425938,0.031049382716049387,0.7097361688853726,0.13525964231846588,0.3358740034475329,0.057453562774747606,0.0020833333333333333,0.7551020408163265,0.7666666666666667,0.7352941176470589
frequent_break,dqn_routing,7,11009,192,145,3,44,0.7552083333333334,0.015625,4.833333333333333,6.303448275862069,12.799999999999983,1.398611111111111,14,77,8.806327850673263,0.20655699343917888,0.0320679012345679,0.6898078673793455,0.16462379396202925,0.3233136689019042,0.055932002845101254,0.006686507936507937,0.7684210526315789,0.6779661016949152,0.8421052631578947
frequent_break,dqn_routing,7,11010,192,139,8,45,0.7239583333333334,0.041666666666666664,4.633333333333334,6.0071942446043165,11.0,1.3180555555555555,11,69,6.864654730923615,0.21636737122607677,0.030308641975308644,0.6921174881279476,0.14417525313810142,0.3025180146077979,0.054305347282807795,0.016061292938227924,0.7261904761904762,0.7424242424242424,0.6904761904761905
