packet_id,delivered,delay_ms,drop_reason
1,1,8341.78,backlog
2,1,4345.78,backlog
3,1,3341.78,backlog
4,1,341.778,backlog
5,1,2341.78,backlog
6,1,345.778,backlog
7,1,2345.78,backlog
8,1,2341.78,backlog
9,1,1341.78,backlog
10,1,2345.78,backlog
11,1,4345.78,backlog
12,1,4341.78,backlog
13,1,4341.78,backlog
14,1,1345.78,backlog
15,1,3345.78,backlog
16,1,2341.78,backlog
17,1,3341.78,backlog
18,1,8341.78,backlog
19,1,2345.78,backlog
20,1,4341.78,backlog
21,1,10341.8,backlog
22,1,2341.78,backlog
23,1,5341.78,backlog
24,1,6341.78,backlog
25,1,2345.78,backlog
26,1,3341.78,backlog
27,1,345.778,backlog
28,1,5341.78,backlog
29,1,3341.78,backlog
30,1,1345.78,backlog
31,1,6341.78,backlog
32,1,3341.78,backlog
33,1,3341.78,backlog
34,1,5341.78,backlog
35,1,9341.78,backlog
36,1,7341.78,backlog
37,1,7341.78,backlog
38,1,8341.78,backlog
39,1,9341.78,backlog
40,1,2345.78,backlog
41,1,2345.78,backlog
42,1,3345.78,backlog
43,1,5341.78,backlog
44,1,1345.78,backlog
45,1,345.778,backlog
46,1,10341.8,backlog
47,1,4341.78,backlog
48,1,345.778,backlog
49,1,10341.8,backlog
50,1,3341.78,backlog
51,1,3341.78,backlog
52,1,13341.8,backlog
53,1,5341.78,backlog
54,1,1341.78,backlog
55,0,-1,deadline_exceeded
56,1,2345.78,backlog
57,1,3345.78,backlog
58,1,1345.78,backlog
59,1,13341.8,backlog
60,1,9341.78,backlog
61,1,10341.8,backlog
62,1,7341.78,backlog
63,1,9341.78,backlog
64,0,-1,deadline_exceeded
65,1,3345.78,backlog
66,1,1341.78,backlog
67,1,4341.78,backlog
68,1,3345.78,backlog
69,1,7341.78,backlog
70,1,1345.78,backlog
71,1,1345.78,backlog
72,0,-1,deadline_exceeded
73,1,8341.78,backlog
74,1,341.778,backlog
75,1,12341.8,backlog
76,1,4341.78,backlog
77,1,5341.78,backlog
78,1,3341.78,backlog
79,0,-1,deadline_exceeded
80,1,15341.8,backlog
81,0,-1,deadline_exceeded
82,1,1345.78,backlog
83,0,-1,deadline_exceeded
84,1,3345.78,backlog
85,1,5341.78,backlog
86,1,4345.78,backlog
87,1,5341.78,backlog
88,1,11341.8,backlog
89,1,4345.78,backlog
90,1,13341.8,backlog
91,1,14341.8,backlog
92,1,2345.78,backlog
93,1,6341.78,backlog
94,0,-1,deadline_exceeded
95,1,3345.78,backlog
96,1,11341.8,backlog
97,1,345.778,backlog
98,1,3345.78,backlog
99,1,1345.78,backlog
100,1,7341.78,backlog
101,1,4345.78,backlog
102,1,2341.78,backlog
103,1,12341.8,backlog
104,1,13345.8,backlog
105,1,3341.78,backlog
106,1,8345.78,backlog
107,1,6341.78,backlog
108,1,13341.8,backlog
109,1,2345.78,backlog
110,1,7345.78,backlog
111,1,3345.78,backlog
112,1,12341.8,backlog
113,0,-1,deadline_exceeded
114,1,7341.78,backlog
115,1,2341.78,backlog
116,1,14341.8,backlog
117,1,3345.78,backlog
118,0,-1,deadline_exceeded
119,1,13341.8,backlog
120,1,5341.78,backlog
121,1,1345.78,backlog
122,1,7341.78,backlog
123,1,11341.8,backlog
124,1,11341.8,backlog
125,1,345.778,backlog
126,1,4345.78,backlog
127,1,14341.8,backlog
128,1,7341.78,backlog
129,0,-1,deadline_exceeded
130,1,3345.78,backlog
131,1,2345.78,backlog
132,1,2345.78,backlog
133,1,7341.78,backlog
134,0,-1,deadline_exceeded
135,0,-1,deadline_exceeded
136,1,4345.78,backlog
137,1,10341.8,backlog
138,0,-1,deadline_exceeded
139,1,1341.78,backlog
140,1,345.778,backlog
141,1,1345.78,backlog
142,1,5345.78,backlog
143,0,-1,deadline_exceeded
144,1,3345.78,backlog
145,1,1341.78,backlog
146,1,3341.78,backlog
147,1,10341.8,backlog
148,1,13341.8,backlog
149,1,3345.78,backlog
150,1,11341.8,backlog
151,1,4345.78,backlog
152,0,-1,deadline_exceeded
153,1,11341.8,backlog
154,1,13341.8,backlog
155,1,4345.78,backlog
156,1,14341.8,backlog
157,0,-1,deadline_exceeded
158,1,14341.8,backlog
159,1,2341.78,backlog
160,1,12341.8,backlog
161,1,4345.78,backlog
162,1,9341.78,backlog
163,1,2341.78,backlog
164,1,7341.78,backlog
165,1,345.778,backlog
166,1,14341.8,backlog
167,1,3341.78,backlog
168,1,2345.78,backlog
169,1,2345.78,backlog
170,1,4345.78,backlog
171,1,345.778,backlog
172,1,14341.8,backlog
173,1,345.778,backlog
174,1,3341.78,backlog
175,1,4345.78,backlog
176,1,4345.78,backlog
177,1,7341.78,backlog
178,1,2345.78,backlog
179,1,3345.78,backlog
180,1,14341.8,backlog
181,1,9345.78,backlog
182,1,1345.78,backlog
183,1,7345.78,backlog
184,1,10345.8,backlog
185,1,2345.78,backlog
186,1,6345.78,backlog
187,1,3345.78,backlog
188,0,-1,deadline_exceeded
189,1,9341.78,backlog
190,1,7341.78,backlog
191,0,-1,deadline_exceeded
192,1,4345.78,backlog
1000001,1,4345.78,backlog
1000002,0,-1,deadline_exceeded
1000003,1,1345.78,backlog
1000004,1,6345.78,backlog
1000005,0,-1,deadline_exceeded
1000006,1,12341.8,backlog
1000007,1,12345.8,backlog
1000008,1,1341.78,backlog
1000009,0,-1,deadline_exceeded
1000010,1,11341.8,backlog
1000011,1,3345.78,backlog
1000012,1,5341.78,backlog
1000013,1,341.778,backlog
1000014,1,5345.78,backlog
1000015,1,345.778,backlog
1000016,1,5341.78,backlog
1000017,0,-1,deadline_exceeded
1000018,1,4341.78,backlog
1000019,0,-1,deadline_exceeded
1000020,1,14341.8,backlog
1000021,1,9345.78,backlog
1000022,1,4345.78,backlog
1000023,1,3345.78,backlog
1000024,1,21345.8,backlog
1000025,1,9341.78,backlog
1000026,0,-1,deadline_exceeded
1000027,1,345.778,backlog
1000028,1,11341.8,backlog
1000029,1,12341.8,backlog
1000030,1,341.778,backlog
1000031,1,18341.8,backlog
1000032,1,15341.8,backlog
