packet_id,delivered,delay_ms
1,1,341.778
2,1,341.778
3,1,1730.11
4,1,691.556
5,1,1033.33
6,1,1371.11
7,1,1688.89
8,1,2260.67
9,1,2510.67
10,1,687.556
11,1,691.556
12,1,1375.11
13,1,925.556
14,1,687.556
15,0,-1
16,1,1355.11
17,1,345.778
18,1,3357.78
19,1,2231.44
20,1,1468.11
21,1,2058.67
22,1,345.778
23,1,341.778
24,1,550.556
25,1,1113.11
26,1,1446.89
27,1,925.556
28,1,1009.33
29,1,341.778
30,0,-1
31,1,646.333
32,1,341.778
33,1,1029.33
34,1,1033.33
35,1,341.778
36,1,2315.22
37,1,341.778
38,1,521.333
39,1,1676.89
40,0,-1
41,1,1426.89
42,1,687.556
43,1,1079.89
44,1,1969.44
45,0,-1
46,1,884.333
47,1,1113.11
48,0,-1
49,0,-1
50,1,2512
51,0,-1
52,1,345.778
53,1,517.333
54,1,2762
55,0,-1
56,1,687.556
57,0,-1
58,0,-1
59,1,968.111
60,1,1147.67
61,1,2024
62,0,-1
63,1,687.556
64,1,3025.33
65,1,2178.22
66,0,-1
67,0,-1
68,1,1617.11
69,1,345.778
70,0,-1
71,1,1288.67
72,0,-1
73,1,2115.78
74,0,-1
75,1,1102.44
76,0,-1
77,1,454.889
78,1,1448.22
79,1,1009.44
80,1,2240.78
81,1,1247.44
82,1,1033.33
83,1,2992.11
84,1,2324.56
85,0,-1
86,0,-1
87,0,-1
88,0,-1
89,1,2763.33
90,1,2191.56
91,1,946.889
92,1,2408.33
93,0,-1
94,0,-1
95,1,1407
96,1,3222.11
97,1,1375.11
98,1,771.333
99,0,-1
100,0,-1
101,1,812.556
102,0,-1
103,1,3389.67
104,1,1371.11
105,0,-1
106,1,2742.11
107,1,2304.56
108,0,-1
109,0,-1
110,0,-1
111,0,-1
112,1,2930.89
113,0,-1
114,0,-1
115,0,-1
116,0,-1
117,0,-1
118,0,-1
119,1,2909.67
120,0,-1
121,0,-1
122,0,-1
123,1,691.556
124,1,646.333
125,0,-1
126,1,2776.67
127,1,852.444
128,0,-1
129,0,-1
130,0,-1
131,0,-1
132,0,-1
133,0,-1
134,1,593.111
135,0,-1
136,0,-1
137,0,-1
138,0,-1
139,0,-1
140,0,-1
141,0,-1
142,0,-1
143,1,2973.44
144,0,-1
145,1,1779.33
146,0,-1
147,0,-1
148,0,-1
149,0,-1
150,0,-1
151,0,-1
152,0,-1
153,0,-1
156,0,-1
157,0,-1
158,0,-1
160,1,760.667
161,0,-1
162,0,-1
163,0,-1
164,0,-1
165,0,-1
166,1,687.556
167,0,-1
168,1,948.222
169,0,-1
170,0,-1
172,1,691.556
173,0,-1
174,0,-1
175,0,-1
178,0,-1
179,0,-1
180,0,-1
181,0,-1
183,0,-1
186,0,-1
1000001,1,2861.78
1000002,0,-1
1000003,1,2619.78
1000004,0,-1
1000005,0,-1
1000006,0,-1
1000007,1,683.556
1000008,1,687.556
1000009,0,-1
1000010,0,-1
1000011,0,-1
1000012,0,-1
1000013,1,341.778
1000014,0,-1
1000015,1,1029.33
1000016,1,2953.56
1000017,0,-1
1000018,1,1200.89
1000019,1,687.556
1000020,0,-1
1000021,0,-1
1000022,0,-1
1000023,1,1146.33
1000024,0,-1
1000025,1,341.778
1000026,0,-1
1000027,0,-1
1000028,0,-1
1000029,1,476.111
1000030,1,1034.78
1000031,0,-1
1000032,1,1147.67
1000033,0,-1
1000034,0,-1
1000035,0,-1
1000036,1,2474.78
1000037,1,905.667
1000038,0,-1
1000039,1,1029.33
1000040,1,2787.33
1000041,0,-1
1000042,1,551.889
1000043,0,-1
1000044,0,-1
1000045,0,-1
1000046,1,1238.11
1000047,1,341.778
1000048,1,466.778
