episode,packet_id,src,dst,traffic_class,created_slot,delivered,delivery_slot,hop_count,delay_slots,delay_ms,path,drop_reason
0,1,6,5,1,1,1,1,1,1,9.43,6 5,
0,2,9,8,0,1,1,1,1,1,8.88,9 8,
0,3,13,5,2,1,1,4,4,4,39.82,13 18 17 23 5,
0,4,11,23,0,1,1,2,2,2,22.79,11 17 23,
0,5,14,1,0,1,1,3,3,3,33.52,14 20 2 1,
0,6,20,17,0,1,1,4,4,4,37.91,20 19 24 18 17,
0,7,22,9,0,1,1,3,3,3,33.01,22 16 10 9,
0,8,19,9,0,1,1,8,6,8,57.9,19 20 21 15 16 10 9,
0,9,18,9,0,1,1,5,4,5,39.48,18 12 7 8 9,
0,10,2,9,1,1,1,2,2,2,21.5,2 3 9,
0,11,15,3,1,1,1,2,2,2,23.59,15 21 3,
0,12,7,23,0,1,1,5,4,5,39.83,7 12 6 24 23,
0,13,7,9,1,1,1,3,2,3,18.18,7 8 9,
0,14,14,9,0,1,1,3,2,3,20.91,14 15 9,
0,15,4,1,1,1,1,5,3,5,28.03,4 5 6 1,
0,16,2,9,1,1,1,3,2,3,21.32,2 3 9,
0,17,15,9,1,1,1,2,1,2,12.21,15 9,
0,18,13,9,0,1,1,4,3,4,29.56,13 14 15 9,
0,19,1,9,2,2,1,5,3,4,29.92,1 2 3 9,
0,20,7,9,0,2,1,7,2,6,18.73,7 8 9,
0,21,8,24,0,2,1,10,6,9,55.51,8 7 12 18 17 23 24,
0,22,6,12,1,2,1,3,1,2,11.0,6 12,
0,23,10,9,0,2,1,4,1,3,9.49,10 9,
0,24,9,8,1,2,1,3,1,2,9.3,9 8,
0,25,13,9,0,3,1,8,3,6,29.98,13 14 8 9,
0,26,23,9,2,3,1,12,4,10,37.46,23 17 11 10 9,
0,27,11,9,1,3,1,5,2,3,18.98,11 10 9,
0,28,14,9,2,3,1,6,2,4,20.09,14 15 9,
0,29,8,9,0,3,1,6,1,4,9.49,8 9,
0,30,12,15,2,3,1,8,4,6,37.91,12 18 17 16 15,
0,31,15,9,0,4,1,7,1,4,10.38,15 9,
0,32,23,24,2,4,1,6,1,3,9.11,23 24,
0,33,12,2,0,4,1,9,5,6,46.84,12 6 5 4 3 2,
0,34,20,7,0,4,1,9,3,6,31.3,20 14 8 7,
0,35,9,10,2,4,1,5,1,2,9.49,9 10,
0,36,4,9,0,4,1,6,2,3,20.43,4 10 9,
0,37,10,9,1,5,1,7,1,3,9.3,10 9,
0,38,3,9,2,5,1,6,1,2,11.0,3 9,
0,39,11,9,2,5,1,9,2,5,18.18,11 10 9,
0,40,16,9,2,5,1,13,2,9,17.86,16 10 9,
0,41,2,9,0,5,1,7,2,3,20.15,2 3 9,
0,42,9,4,2,5,1,10,2,6,19.43,9 10 4,
0,43,17,21,2,6,1,11,3,6,27.66,17 16 15 21,
0,44,20,9,2,6,1,10,3,5,29.47,20 21 3 9,
0,45,18,9,1,6,1,15,4,10,35.61,18 17 16 15 9,
0,46,10,9,1,6,1,11,1,6,8.31,10 9,
0,47,12,2,0,6,1,9,3,4,27.65,12 6 1 2,
0,48,22,9,1,6,1,15,3,10,27.16,22 16 10 9,
0,49,23,9,0,7,1,20,4,14,38.16,23 17 16 15 9,
0,50,1,9,0,7,1,12,3,6,28.59,1 2 3 9,
0,51,18,9,0,7,1,24,4,18,36.66,18 17 16 15 9,
0,52,4,10,0,7,1,9,1,3,10.04,4 10,
0,53,22,21,0,7,1,8,1,2,9.11,22 21,
0,54,15,9,0,7,1,17,3,11,25.99,15 16 10 9,
0,55,24,9,1,8,1,16,5,9,46.36,24 23 22 21 15 9,
0,56,9,2,1,8,1,13,2,6,18.17,9 3 2,
0,57,14,9,1,8,0,-1,3,-1,28.72,14 15 16 10,deadline_exceeded
0,58,20,9,2,8,1,14,3,7,29.67,20 21 3 9,
0,59,10,9,0,8,1,14,1,7,7.39,10 9,
0,60,3,9,0,8,1,11,1,4,10.0,3 9,
0,61,4,9,0,9,1,16,2,8,16.89,4 10 9,
0,62,6,22,0,9,1,22,5,14,53.13,6 5 4 10 16 22,
0,63,21,2,1,9,1,12,2,4,18.99,21 20 2,
0,64,5,9,0,9,1,15,3,7,27.29,5 4 3 9,
0,65,16,9,0,9,1,13,2,5,18.38,16 15 9,
0,66,23,9,0,9,1,21,4,13,40.1,23 22 21 15 9,
0,67,17,9,1,10,0,-1,2,-1,13.9,17 16 15,deadline_exceeded
0,68,9,23,0,10,1,20,6,11,51.47,9 3 2 1 6 24 23,
0,69,2,20,1,10,1,11,1,2,10.17,2 20,
0,70,1,23,0,10,1,13,3,4,24.28,1 19 24 23,
0,71,7,3,0,10,1,22,7,13,61.97,7 1 6 12 11 10 9 3,
0,72,5,20,1,10,0,-1,5,-1,35.85,5 4 3 2 1 6,deadline_exceeded
0,73,14,9,0,11,1,13,2,3,18.04,14 8 9,
0,74,10,9,1,11,1,18,1,8,6.57,10 9,
0,75,2,15,2,11,1,15,3,5,27.77,2 8 14 15,
0,76,24,9,0,11,1,25,5,15,48.11,24 23 22 21 15 9,
0,77,16,17,0,11,1,16,1,6,6.7,16 17,
0,78,21,9,0,11,1,14,2,4,21.04,21 15 9,
0,79,16,11,0,12,1,24,2,13,20.01,16 10 11,
0,80,8,4,2,12,1,20,3,9,24.9,8 9 3 4,
0,81,20,16,1,12,1,17,3,6,24.77,20 14 15 16,
0,82,10,23,0,12,1,22,3,11,33.84,10 4 22 23,
0,83,22,9,0,12,1,23,3,12,33.01,22 21 15 9,
0,84,21,9,0,12,1,18,2,7,23.21,21 15 9,
0,85,19,5,1,13,1,16,3,4,23.81,19 1 6 5,
0,86,23,9,2,13,1,26,4,14,40.58,23 22 21 15 9,
0,87,20,9,1,13,1,17,3,5,28.55,20 14 8 9,
0,88,12,9,1,13,1,22,3,10,20.1,12 11 10 9,
0,89,2,9,0,13,1,16,2,4,17.29,2 8 9,
0,90,3,9,0,13,1,18,1,6,11.79,3 9,
0,91,19,14,0,14,1,16,2,3,18.05,19 13 14,
0,92,17,9,0,14,1,27,3,14,27.22,17 16 15 9,
0,93,2,9,2,14,1,28,8,15,71.51,2 1 7 12 6 5 4 3 9,
0,94,14,9,2,14,1,20,2,7,17.89,14 8 9,
0,95,15,9,2,14,1,19,1,6,12.62,15 9,
0,96,4,9,0,14,1,19,2,6,19.33,4 3 9,
0,97,15,5,0,15,0,-1,2,-1,27.24,15 9 3,
0,98,19,6,2,15,1,17,2,3,20.13,19 24 6,
0,99,17,9,1,15,0,-1,2,-1,13.27,17 16 15,deadline_exceeded
0,100,7,9,1,15,1,18,2,4,14.09,7 8 9,
0,101,11,18,1,15,1,18,2,4,19.13,11 17 18,
0,102,5,9,1,15,1,21,3,7,26.4,5 4 3 9,
0,103,2,9,0,16,1,23,2,8,18.08,2 8 9,
0,104,9,18,0,16,0,-1,4,-1,35.07,9 8 14 15 16,
0,105,1,9,1,16,1,24,3,9,27.45,1 2 3 9,
0,106,8,16,0,16,1,28,3,13,27.03,8 14 15 16,
0,107,10,9,0,16,1,23,1,8,6.89,10 9,
0,108,23,9,0,16,1,22,4,7,39.69,23 5 4 3 9,
0,109,11,9,1,17,1,25,2,9,13.9,11 10 9,
0,110,23,9,0,17,1,25,4,9,40.59,23 22 21 3 9,
0,111,24,9,2,17,1,28,5,12,45.5,24 19 13 7 8 9,
0,112,8,9,0,17,1,22,1,6,6.57,8 9,
