episode,packet_id,src,dst,traffic_class,created_slot,delivered,delivery_slot,hop_count,delay_slots,delay_ms,path,drop_reason
0,1,6,5,1,1,1,1,1,1,9.43,6 5,
0,2,9,8,0,1,1,1,1,1,8.88,9 8,
0,3,13,5,2,1,1,4,4,4,40.92,13 18 12 6 5,
0,4,11,23,0,1,1,2,2,2,22.79,11 17 23,
0,5,14,1,0,1,1,3,3,3,33.02,14 13 19 1,
0,6,20,17,0,1,1,4,4,4,39.59,20 21 15 16 17,
0,7,22,9,0,1,1,3,3,3,32.89,22 4 3 9,
0,8,19,9,0,1,1,5,4,5,42.51,19 20 2 8 9,
0,9,18,9,0,1,1,6,4,6,39.01,18 17 16 10 9,
0,10,2,9,1,1,1,2,2,2,21.5,2 3 9,
0,11,15,3,1,1,1,3,2,3,23.21,15 21 3,
0,12,7,23,0,1,1,4,4,4,40.37,7 12 11 17 23,
0,13,7,9,1,1,1,3,2,3,18.18,7 8 9,
0,14,14,9,0,1,1,4,2,4,20.5,14 15 9,
0,15,4,1,1,1,1,7,5,7,48.23,4 5 23 24 19 1,
0,16,2,9,1,1,1,4,2,4,20.91,2 3 9,
0,17,15,9,1,1,1,2,1,2,12.21,15 9,
0,18,13,9,0,1,1,8,5,8,49.76,13 14 15 21 3 9,
0,19,1,9,2,2,1,5,3,4,29.92,1 2 3 9,
0,20,7,9,0,2,1,6,2,5,18.61,7 8 9,
0,21,8,24,0,2,1,9,6,8,55.69,8 7 12 18 17 23 24,
0,22,6,12,1,2,1,3,1,2,11.0,6 12,
0,23,10,9,0,2,1,3,1,2,9.43,10 9,
0,24,9,8,1,2,1,3,1,2,9.3,9 8,
0,25,13,9,0,3,1,7,3,5,29.17,13 14 15 9,
0,26,23,9,2,3,1,9,4,7,39.2,23 22 21 15 9,
0,27,11,9,1,3,1,5,2,3,18.98,11 10 9,
0,28,14,9,2,3,1,8,2,6,20.68,14 8 9,
0,29,8,9,0,3,1,7,1,5,9.43,8 9,
0,30,12,15,2,3,1,10,6,8,59.93,12 7 13 19 20 21 15,
0,31,15,9,0,4,1,6,1,3,10.66,15 9,
0,32,23,24,2,4,1,6,1,3,9.11,23 24,
0,33,12,2,0,4,1,7,3,4,28.76,12 6 1 2,
0,34,20,7,0,4,1,8,3,5,31.09,20 19 13 7,
0,35,9,10,2,4,1,5,1,2,9.49,9 10,
0,36,4,9,0,4,1,6,2,3,20.49,4 3 9,
0,37,10,9,1,5,1,7,1,3,9.3,10 9,
0,38,3,9,2,5,1,7,1,3,10.66,3 9,
0,39,11,9,2,5,1,8,2,4,18.41,11 10 9,
0,40,16,9,2,5,1,11,4,7,39.51,16 15 21 3 9,
0,41,2,9,0,5,1,9,2,5,20.5,2 8 9,
0,42,9,4,2,5,1,9,2,5,19.88,9 3 4,
0,43,17,21,2,6,1,9,3,4,28.0,17 16 22 21,
0,44,20,9,2,6,1,10,3,5,29.65,20 14 8 9,
0,45,18,9,1,6,1,13,4,8,36.87,18 13 14 15 9,
0,46,10,9,1,6,1,9,1,4,8.88,10 9,
0,47,12,2,0,6,1,9,3,4,27.65,12 6 1 2,
0,48,22,9,1,6,1,11,3,6,28.97,22 16 15 9,
0,49,23,9,0,7,1,12,4,6,37.44,23 5 4 3 9,
0,50,1,9,0,7,1,11,3,5,28.91,1 7 8 9,
0,51,18,9,0,7,1,12,4,6,34.8,18 17 16 10 9,
0,52,4,10,0,7,1,8,1,2,10.17,4 10,
0,53,22,21,0,7,1,8,1,2,9.11,22 21,
0,54,15,9,0,7,1,15,3,9,26.11,15 16 10 9,
0,55,24,9,1,8,1,14,5,7,46.77,24 19 20 21 15 9,
0,56,9,2,1,8,1,12,2,5,19.11,9 8 2,
0,57,14,9,1,8,1,12,2,5,19.29,14 15 9,
0,58,20,9,2,8,1,13,3,6,28.0,20 14 8 9,
0,59,10,9,0,8,1,10,1,3,8.61,10 9,
0,60,3,9,0,8,1,10,1,3,10.04,3 9,
0,61,4,9,0,9,1,13,2,5,18.48,4 3 9,
0,62,6,22,0,9,1,24,11,16,96.89,6 5 4 3 2 1 7 12 11 10 16 22,
0,63,21,2,1,9,1,12,2,4,18.99,21 20 2,
0,64,5,9,0,9,1,14,3,6,26.69,5 4 3 9,
0,65,16,9,0,9,1,11,2,3,18.36,16 10 9,
0,66,23,9,0,9,1,17,4,9,37.12,23 5 4 3 9,
0,67,17,9,1,10,1,16,3,7,24.96,17 11 10 9,
0,68,9,23,0,10,1,15,4,6,39.29,9 10 11 17 23,
0,69,2,20,1,10,1,11,1,2,10.17,2 20,
0,70,1,23,0,10,1,22,7,13,67.02,1 6 5 4 10 11 17 23,
0,71,7,3,0,10,1,13,3,4,26.78,7 1 2 3,
0,72,5,20,1,10,1,20,6,11,48.24,5 6 1 2 3 21 20,
0,73,14,9,0,11,1,15,2,5,19.31,14 15 9,
0,74,10,9,1,11,1,14,1,4,7.39,10 9,
0,75,2,15,2,11,1,15,3,5,27.77,2 8 14 15,
0,76,24,9,0,11,1,24,7,14,61.79,24 23 22 21 20 14 15 9,
0,77,16,17,0,11,1,13,1,3,7.39,16 17,
0,78,21,9,0,11,1,16,2,6,22.04,21 15 9,
0,79,16,11,0,12,1,16,2,5,19.33,16 17 11,
0,80,8,4,2,12,1,18,3,7,24.96,8 9 3 4,
0,81,20,16,1,12,1,19,3,8,25.89,20 21 15 16,
0,82,10,23,0,12,1,20,3,9,33.4,10 11 17 23,
0,83,22,9,0,12,1,21,3,10,32.82,22 21 15 9,
0,84,21,9,0,12,1,17,2,6,22.79,21 15 9,
0,85,19,5,1,13,1,22,5,10,53.19,19 24 23 17 11 5,
0,86,23,9,2,13,1,21,4,9,40.57,23 22 21 3 9,
0,87,20,9,1,13,1,22,3,10,33.92,20 21 15 9,
0,88,12,9,1,13,1,17,3,5,21.27,12 7 8 9,
0,89,2,9,0,13,1,16,2,4,17.29,2 8 9,
0,90,3,9,0,13,1,16,1,4,11.0,3 9,
0,91,19,14,0,14,1,16,2,3,19.07,19 20 14,
0,92,17,9,0,14,1,23,3,10,26.97,17 16 15 9,
0,93,2,9,2,14,0,-1,9,-1,85.65,2 1 7 12 6 24 23 22 21 15,
0,94,14,9,2,14,1,18,2,5,17.7,14 8 9,
0,95,15,9,2,14,1,18,1,5,12.21,15 9,
0,96,4,9,0,14,1,19,2,6,17.89,4 10 9,
0,97,15,5,0,15,1,24,4,10,41.21,15 16 17 11 5,
0,98,19,6,2,15,1,17,2,3,20.13,19 24 6,
0,99,17,9,1,15,1,25,3,11,27.02,17 16 15 9,
0,100,7,9,1,15,1,19,2,5,13.96,7 8 9,
0,101,11,18,1,15,1,17,2,3,19.57,11 12 18,
0,102,5,9,1,15,1,20,3,6,26.02,5 4 3 9,
0,103,2,9,0,16,1,23,2,8,18.08,2 8 9,
0,104,9,18,0,16,1,24,4,9,34.46,9 8 14 13 18,
0,105,1,9,1,16,1,22,3,7,26.8,1 2 3 9,
0,106,8,16,0,16,1,24,3,9,27.08,8 9 10 16,
0,107,10,9,0,16,1,20,1,5,6.51,10 9,
0,108,23,9,0,16,1,23,4,8,39.97,23 5 4 3 9,
0,109,11,9,1,17,1,21,2,5,13.08,11 10 9,
0,110,23,9,0,17,1,28,6,12,54.69,23 22 21 20 2 8 9,
0,111,24,9,2,17,1,27,5,11,47.7,24 19 20 21 3 9,
0,112,8,9,0,17,1,22,1,6,6.57,8 9,
