packet_id,delivered,delay_ms
1,1,341.778
2,1,341.778
3,1,1375.11
4,1,691.556
5,1,1033.33
6,1,1371.11
7,1,1355.11
8,1,2018.67
9,1,1851.11
10,1,687.556
11,1,691.556
12,1,1375.11
13,1,683.556
14,1,687.556
15,1,1716.89
16,1,1021.33
17,1,345.778
18,1,2690.22
19,1,1772.67
20,1,1101.11
21,1,2058.67
22,1,345.778
23,1,341.778
24,1,425.556
25,1,1095.78
26,1,1429.56
27,1,683.556
28,1,1184.89
29,1,517.333
30,1,2062.67
31,1,345.778
32,1,613.111
33,1,1300.67
34,1,1033.33
35,1,341.778
36,1,1606.44
37,1,517.333
38,1,688.889
39,1,1518.67
40,1,2357.78
41,1,1352.44
42,1,687.556
43,1,1029.33
44,1,1436.22
45,1,1779.33
46,1,934.889
47,1,1134.44
48,1,1095.78
49,1,2525.33
50,1,1520
51,1,2687.56
52,1,345.778
53,1,341.778
54,1,1686.22
55,0,-1
56,1,687.556
57,1,929.556
58,1,1603.78
59,1,1102.44
60,1,1274
61,1,1691.56
62,1,4117.11
63,1,687.556
64,1,2692.89
65,1,1853.78
66,1,3026.67
67,1,2271.33
68,1,1375.11
69,1,345.778
70,1,2962.89
71,1,1091.78
72,1,2529.33
73,1,1196.89
74,1,1020
75,1,1033.33
76,1,4200.89
77,1,341.778
78,1,863.111
79,1,771.333
80,1,1625.11
81,1,1823.33
82,1,1208.89
83,1,2282
84,1,1280.67
85,1,1720.89
86,1,2360.44
87,0,-1
88,0,-1
89,1,1021.33
90,1,1359.11
91,1,687.556
92,1,2115.78
93,0,-1
94,1,1105.11
95,1,1114.44
96,1,1938.89
97,1,1554.67
98,1,687.556
99,1,2199.56
100,1,1522.67
101,1,937.556
102,1,2194.22
103,1,1940.22
104,1,1371.11
105,1,2278
106,1,1626.44
107,1,1105.11
108,1,3613.11
109,1,1522.67
110,1,4026.67
111,1,4364.44
112,1,1356.44
113,0,-1
114,1,2357.78
115,0,-1
116,1,3780.67
117,0,-1
118,0,-1
119,1,2117.11
120,0,-1
121,0,-1
122,1,1768.67
123,1,691.556
124,1,345.778
125,1,2191.56
126,1,1861.78
127,1,509.333
128,0,-1
129,1,1945.56
130,1,1798
131,0,-1
132,0,-1
133,0,-1
134,1,517.333
135,1,1524
136,0,-1
137,1,2029.33
138,0,-1
139,0,-1
140,0,-1
141,1,2446.89
142,1,3448.22
143,1,1775.33
144,0,-1
145,1,1925.56
146,1,2025.33
147,0,-1
148,0,-1
149,1,1859.11
150,0,-1
151,0,-1
152,0,-1
153,0,-1
156,1,1107.78
157,0,-1
158,0,-1
160,1,591.778
161,1,1859.11
162,0,-1
163,0,-1
164,0,-1
165,0,-1
166,1,687.556
167,1,941.556
168,1,863.111
169,1,759.333
170,0,-1
172,1,691.556
173,0,-1
174,0,-1
175,0,-1
178,0,-1
179,0,-1
180,0,-1
181,0,-1
183,0,-1
186,0,-1
1000001,1,1206.22
1000002,1,1476.22
1000003,1,687.556
1000004,1,1375.11
1000005,1,1194.22
1000006,1,1033.33
1000007,1,683.556
1000008,1,687.556
1000009,1,1532
1000010,1,1865.78
1000011,1,1142.44
1000012,1,1700.89
1000013,1,341.778
1000014,1,1017.33
1000015,1,1029.33
1000016,1,1367.11
1000017,1,2368.44
1000018,1,691.556
1000019,1,687.556
1000020,1,1945.56
1000021,1,1949.56
1000022,1,2452.22
1000023,1,1033.33
1000024,0,-1
1000025,1,341.778
1000026,1,2175.56
1000027,1,2700.89
1000028,1,1361.78
1000029,1,341.778
1000030,1,1187.56
1000031,1,1783.33
1000032,1,1029.33
1000033,1,2117.11
1000034,1,2113.11
1000035,1,1591.78
1000036,1,778
1000037,1,1042.67
