episode,policy,workload_seed,generated,delivered,dropped,delivery_ratio,throughput_per_slot,mean_delay_slots,p95_delay_slots
0,mappo,11001,192,142,1,0.7396,4.7333,5.754,11.0
1,mappo,11002,192,150,4,0.7812,5.0,5.393,9.55
2,mappo,11003,192,145,3,0.7552,4.8333,6.538,11.0
3,mappo,11004,192,147,4,0.7656,4.9,6.197,11.0
4,mappo,11005,192,144,1,0.75,4.8,6.382,11.0
5,mappo,11006,192,157,0,0.8177,5.2333,5.561,10.0
6,mappo,11007,192,148,2,0.7708,4.9333,6.074,11.65
7,mappo,11008,192,152,1,0.7917,5.0667,6.079,10.0
8,mappo,11009,192,148,3,0.7708,4.9333,6.007,12.0
9,mappo,11010,192,143,5,0.7448,4.7667,6.105,11.0
10,mappo,11011,192,151,1,0.7865,5.0333,5.49,11.0
11,mappo,11012,192,148,3,0.7708,4.9333,5.784,11.65
12,mappo,11013,192,150,2,0.7812,5.0,5.98,11.0
13,mappo,11014,192,137,3,0.7135,4.5667,6.453,12.2
14,mappo,11015,192,148,2,0.7708,4.9333,5.419,9.0
15,mappo,11016,192,139,1,0.724,4.6333,6.662,12.1
