episode,slot,u,v
0,1,1,2
0,1,4,3
0,1,22,21
0,2,1,7
0,2,3,2
0,2,8,2
0,2,9,15
0,2,18,24
0,2,21,22
0,3,3,4
0,3,8,2
0,3,14,13
0,3,18,12
0,3,18,24
0,4,3,4
0,4,5,6
0,4,7,1
0,5,12,11
0,5,12,18
0,5,13,14
0,5,15,9
0,5,21,22
0,6,1,2
0,6,5,6
0,6,13,19
0,7,2,8
0,7,7,8
0,7,8,7
0,7,10,4
0,7,13,14
0,7,18,24
0,7,21,22
0,7,22,23
0,7,23,22
0,8,2,3
0,8,3,4
0,8,13,14
0,8,15,9
0,8,18,12
0,8,19,13
0,8,24,18
0,9,18,12
0,9,23,22
0,10,1,7
0,10,2,1
0,10,2,3
0,10,5,6
0,10,12,18
0,10,15,9
0,10,18,12
0,10,22,21
0,11,2,1
0,11,3,4
0,11,7,8
0,11,9,15
0,11,14,13
0,11,18,24
0,12,2,3
0,12,5,6
0,12,18,12
0,12,18,24
0,12,21,22
0,13,2,1
0,13,6,5
0,13,9,15
0,13,19,13
0,13,24,18
0,14,4,10
0,14,6,5
0,14,7,8
0,14,12,18
0,14,18,24
0,15,2,3
0,15,2,8
0,15,11,12
0,15,21,22
0,15,24,18
0,16,4,3
0,16,5,6
0,16,8,2
0,16,12,11
0,16,18,12
0,16,23,22
0,17,5,6
0,17,6,5
0,17,7,8
0,17,10,4
0,17,21,22
0,17,23,22
0,18,1,7
0,18,2,3
0,18,5,6
0,18,10,4
0,18,11,12
0,18,12,11
0,18,24,18
0,19,2,8
0,19,3,2
0,19,4,10
0,19,6,5
0,19,7,1
0,19,18,12
0,19,22,23
0,20,1,2
0,20,1,7
0,20,2,8
0,20,3,2
0,20,4,3
0,20,4,10
0,20,18,12
0,20,18,24
0,20,23,22
0,21,4,3
0,21,8,2
0,21,8,7
0,21,12,18
0,21,19,13
0,22,2,1
0,22,2,3
0,22,3,2
0,22,7,1
0,22,13,14
0,22,14,13
0,23,2,3
0,23,8,2
0,23,11,12
0,23,13,19
0,23,21,22
0,23,24,18
0,24,4,3
0,24,7,8
0,24,13,14
0,24,18,24
0,25,1,2
0,25,2,3
0,25,4,3
0,25,4,10
0,25,6,5
0,25,7,1
0,25,7,8
0,25,12,18
0,25,18,12
0,26,4,10
0,26,7,1
0,26,12,18
0,27,2,8
0,27,5,6
0,27,7,1
0,27,7,8
0,27,9,15
0,28,1,7
0,28,2,3
0,28,12,11
0,28,12,18
0,28,21,22
0,29,2,3
0,29,3,4
0,29,4,10
0,29,8,7
0,29,12,18
0,29,13,19
0,29,15,9
0,29,22,21
0,30,2,1
0,30,3,2
0,30,12,18
0,30,18,24
0,30,22,23
1,1,5,11
1,1,9,10
1,1,16,15
1,1,24,23
1,2,10,9
1,2,14,15
1,3,1,19
1,3,14,13
1,3,16,15
1,4,5,6
1,4,6,24
1,4,7,12
1,4,9,10
1,4,11,5
1,4,16,15
1,4,19,1
1,4,24,23
1,5,5,11
1,5,6,24
1,5,13,14
1,5,23,24
1,6,5,6
1,6,6,24
1,6,10,9
1,6,10,16
1,6,17,11
1,6,24,23
1,7,1,19
1,7,11,17
1,7,12,7
1,7,13,14
1,7,16,10
1,8,5,11
1,8,7,12
1,8,10,9
1,8,13,14
1,9,19,1
1,10,5,6
1,10,5,11
1,10,7,12
1,10,19,1
1,11,9,10
1,11,14,13
1,11,14,15
1,11,16,10
1,12,5,6
1,12,9,10
1,12,11,17
1,12,17,11
1,12,23,24
1,13,6,5
1,13,9,10
1,13,10,16
1,13,11,5
1,13,11,17
1,13,19,1
1,13,23,24
1,14,1,19
1,14,6,5
1,14,10,9
1,14,23,24
1,15,9,10
1,15,14,15
1,15,24,23
1,16,5,6
1,16,11,5
1,16,11,17
1,16,12,7
1,17,5,6
1,17,6,5
1,17,12,7
1,17,16,10
1,17,23,24
1,17,24,6
1,17,24,23
1,18,5,6
1,18,5,11
1,18,10,16
1,18,12,7
1,18,14,15
1,18,24,6
1,19,6,5
1,19,11,17
1,20,10,9
1,20,14,15
1,20,17,11
1,20,24,23
1,21,7,12
1,21,9,10
1,21,11,17
1,21,15,16
1,22,1,19
1,22,6,12
1,22,10,16
1,22,11,5
1,22,11,17
1,22,13,14
1,22,14,13
1,22,23,24
1,23,1,19
1,23,7,12
1,23,15,14
1,23,16,15
1,23,24,23
1,24,11,17
1,24,13,14
1,24,14,15
1,24,19,1
1,24,23,24
1,25,6,5
1,25,16,10
1,25,17,11
1,25,24,23
1,26,16,10
1,26,19,1
1,27,5,6
1,27,5,11
1,27,6,12
1,27,10,16
1,27,11,5
1,28,14,15
1,28,15,16
1,28,16,15
1,28,17,11
1,28,19,1
1,29,6,12
1,29,7,12
1,29,24,6
1,30,11,5
1,30,14,15
2,1,5,11
2,1,9,10
2,1,16,15
2,1,24,23
2,2,3,21
2,2,10,9
2,2,13,7
2,2,18,17
2,2,18,24
2,3,16,15
2,3,18,12
2,3,18,24
2,4,5,6
2,4,7,12
2,4,9,10
2,4,11,5
2,4,13,7
2,4,16,15
2,4,18,17
2,4,24,23
2,5,5,11
2,5,12,18
2,5,20,21
2,5,23,24
2,6,5,6
2,6,10,9
2,6,10,16
2,6,17,18
2,6,24,23
2,7,5,23
2,7,10,4
2,7,12,7
2,7,16,10
2,7,18,24
2,7,23,5
2,8,5,11
2,8,7,12
2,8,10,9
2,8,18,12
2,8,18,17
2,8,23,5
2,8,24,18
2,8,24,19
2,9,18,12
2,9,20,21
2,10,5,6
2,10,5,11
2,10,7,12
2,10,12,18
2,10,18,12
2,10,23,5
2,11,7,13
2,11,9,10
2,11,16,10
2,11,18,24
2,12,5,6
2,12,9,10
2,12,18,12
2,12,18,17
2,12,18,24
2,12,21,3
2,12,23,24
2,13,6,5
2,13,9,10
2,13,10,16
2,13,11,5
2,13,17,18
2,13,23,24
2,13,24,18
2,14,4,10
2,14,6,5
2,14,10,9
2,14,12,18
2,14,18,24
2,14,23,24
2,15,9,10
2,15,17,18
2,15,24,18
2,15,24,23
2,16,5,6
2,16,11,5
2,16,12,7
2,16,18,12
2,16,20,21
2,17,5,6
2,17,6,5
2,17,10,4
2,17,12,7
2,17,16,10
2,17,20,21
2,17,23,24
2,17,24,23
2,18,5,6
2,18,5,11
2,18,10,4
2,18,10,16
2,18,12,7
2,18,17,18
2,18,18,17
2,18,19,24
2,18,20,21
2,18,21,20
2,18,24,18
2,19,3,21
2,19,4,10
2,19,6,5
2,19,17,18
2,19,18,12
2,19,23,5
2,20,4,10
2,20,10,9
2,20,18,12
2,20,18,24
2,20,21,3
2,20,24,23
2,21,7,12
2,21,9,10
2,21,12,18
2,21,15,16
2,21,18,17
2,22,6,12
2,22,10,16
2,22,11,5
2,22,13,7
2,22,19,24
2,22,23,5
2,22,23,24
2,22,24,19
2,23,7,12
2,23,7,13
2,23,16,15
2,23,18,17
2,23,21,20
2,23,24,18
2,23,24,19
2,23,24,23
2,24,18,24
2,24,19,24
2,24,23,24
2,25,4,10
2,25,6,5
2,25,12,18
2,25,13,7
2,25,16,10
2,25,18,12
2,25,21,20
2,25,24,19
2,25,24,23
2,26,4,10
2,26,5,23
2,26,7,13
2,26,12,18
2,26,16,10
2,26,19,24
2,27,3,21
2,27,5,6
2,27,5,11
2,27,6,12
2,27,7,13
2,27,10,16
2,27,11,5
2,27,20,21
