episode,packet_id,src,dst,traffic_class,created_slot,delivered,delivery_slot,hop_count,delay_slots,delay_ms,path,drop_reason
0,1,6,5,1,1,1,7,5,7,50.6,6 1 19 24 23 5,
0,2,9,8,0,1,1,1,1,1,8.88,9 8,
0,3,13,5,2,1,1,4,4,4,40.98,13 18 17 11 5,
0,4,11,23,0,1,0,-1,3,-1,32.22,11 17 16 22,no_route
0,5,14,1,0,1,0,-1,2,-1,24.41,14 20 2,no_route
0,6,20,17,0,1,1,6,6,6,58.6,20 19 24 23 5 11 17,
0,7,22,9,0,1,1,3,3,3,33.01,22 16 10 9,
0,8,19,9,0,1,1,9,6,9,57.66,19 20 21 15 16 10 9,
0,9,18,9,0,1,1,16,10,16,98.34,18 13 7 12 6 1 19 20 14 8 9,
0,10,2,9,1,1,1,6,4,6,43.02,2 20 21 3 9,
0,11,15,3,1,1,1,2,2,2,23.59,15 21 3,
0,12,7,23,0,1,1,5,4,5,40.35,7 12 6 24 23,
0,13,7,9,1,1,1,12,8,12,78.07,7 12 6 1 19 20 14 8 9,
0,14,14,9,0,1,1,6,4,6,38.63,14 15 16 10 9,
0,15,4,1,1,1,1,8,5,8,47.46,4 5 23 24 6 1,
0,16,2,9,1,1,0,-1,5,-1,50.96,2 20 21 15 16 10,deadline_exceeded
0,17,15,9,1,1,1,5,3,5,29.79,15 16 10 9,
0,18,13,9,0,1,0,-1,7,-1,70.81,13 7 12 6 1 19 20 2,no_route
0,19,1,9,2,2,0,-1,7,-1,59.94,1 6 12 7 13 18 17 16,deadline_exceeded
0,20,7,9,0,2,1,17,8,16,74.28,7 12 6 1 19 20 14 8 9,
0,21,8,24,0,2,1,8,4,7,41.39,8 14 20 19 24,
0,22,6,12,1,2,1,4,1,3,10.66,6 12,
0,23,10,9,0,2,1,4,1,3,9.49,10 9,
0,24,9,8,1,2,1,3,1,2,9.3,9 8,
0,25,13,9,0,3,0,-1,4,-1,37.96,13 7 12 6 1,no_route
0,26,23,9,2,3,1,17,4,15,35.48,23 5 11 10 9,
0,27,11,9,1,3,1,7,2,5,18.73,11 10 9,
0,28,14,9,2,3,1,6,2,4,20.87,14 8 9,
0,29,8,9,0,3,1,4,1,2,9.43,8 9,
0,30,12,15,2,3,1,16,6,14,51.94,12 7 13 18 17 16 15,
0,31,15,9,0,4,1,14,3,11,26.86,15 16 10 9,
0,32,23,24,2,4,1,8,1,5,8.61,23 24,
0,33,12,2,0,4,0,-1,11,-1,115.02,12 6 1 19 20 14 8 9 3 21 15 16,
0,34,20,7,0,4,1,25,9,22,87.25,20 14 8 9 10 11 17 18 13 7,
0,35,9,10,2,4,1,5,1,2,9.49,9 10,
0,36,4,9,0,4,1,15,4,12,35.81,4 5 11 10 9,
0,37,10,9,1,5,1,8,1,4,9.11,10 9,
0,38,3,9,2,5,1,7,1,3,10.66,3 9,
0,39,11,9,2,5,1,12,2,8,17.11,11 10 9,
0,40,16,9,2,5,1,13,2,9,17.86,16 10 9,
0,41,2,9,0,5,1,24,6,20,57.62,2 20 21 15 16 10 9,
0,42,9,4,2,5,1,15,4,11,35.01,9 10 11 5 4,
0,43,17,21,2,6,1,12,3,7,28.11,17 16 15 21,
0,44,20,9,2,6,1,11,3,6,29.29,20 21 3 9,
0,45,18,9,1,6,0,-1,3,-1,27.19,18 17 11 10,deadline_exceeded
0,46,10,9,1,6,1,11,1,6,8.31,10 9,
0,47,12,2,0,6,0,-1,8,-1,64.82,12 7 13 18 17 16 15 14 20,
0,48,22,9,1,6,0,-1,4,-1,37.36,22 16 15 14 8,deadline_exceeded
0,49,23,9,0,7,0,-1,2,-1,18.69,23 5 4,no_route
0,50,1,9,0,7,0,-1,8,-1,68.99,1 6 12 7 13 18 17 16 10,
0,51,18,9,0,7,1,23,6,17,50.64,18 17 16 15 14 8 9,
0,52,4,10,0,7,1,11,3,5,26.88,4 5 11 10,
0,53,22,21,0,7,1,14,3,8,29.0,22 16 15 21,
0,54,15,9,0,7,1,21,3,15,26.35,15 16 10 9,
0,55,24,9,1,8,0,-1,3,-1,26.66,24 23 5 4,no_route
0,56,9,2,1,8,0,-1,4,-1,36.05,9 3 21 20 19,deadline_exceeded
0,57,14,9,1,8,0,-1,3,-1,30.04,14 15 16 10,deadline_exceeded
0,58,20,9,2,8,1,13,3,6,28.09,20 14 8 9,
0,59,10,9,0,8,1,16,1,9,6.89,10 9,
0,60,3,9,0,8,1,9,1,2,10.17,3 9,
0,61,4,9,0,9,1,22,4,14,32.79,4 5 11 10 9,
0,62,6,22,0,9,0,-1,7,-1,67.24,6 1 19 20 21 3 9 10,
0,63,21,2,1,9,0,-1,4,-1,37.14,21 20 19 24 6,deadline_exceeded
0,64,5,9,0,9,0,-1,1,-1,8.0,5 4,no_route
0,65,16,9,0,9,1,26,4,18,34.55,16 15 14 8 9,
0,66,23,9,0,9,0,-1,10,-1,82.38,23 24 19 1 6 12 7 13 18 17 16,
0,67,17,9,1,10,0,-1,3,-1,21.02,17 16 15 14,deadline_exceeded
0,68,9,23,0,10,1,25,6,16,50.92,9 3 21 20 19 24 23,
0,69,2,20,1,10,1,11,1,2,10.17,2 20,
0,70,1,23,0,10,1,15,3,6,23.57,1 19 24 23,
0,71,7,3,0,10,0,-1,3,-1,24.63,7 12 6 1,no_route
0,72,5,20,1,10,0,-1,1,-1,7.12,5 4,no_route
0,73,14,9,0,11,1,15,2,5,17.56,14 8 9,
0,74,10,9,1,11,1,19,1,9,6.51,10 9,
0,75,2,15,2,11,1,20,3,10,28.68,2 20 14 15,
0,76,24,9,0,11,0,-1,1,-1,7.12,24 23,no_route
0,77,16,17,0,11,1,20,1,10,6.57,16 17,
0,78,21,9,0,11,0,-1,3,-1,31.78,21 15 16 10,
0,79,16,11,0,12,1,28,2,17,22.23,16 10 11,
0,80,8,4,2,12,0,-1,2,-1,18.35,8 9 3,no_route
0,81,20,16,1,12,0,-1,2,-1,18.91,20 14 15,deadline_exceeded
0,82,10,23,0,12,0,-1,3,-1,31.52,10 16 17 18,
0,83,22,9,0,12,0,-1,4,-1,38.23,22 16 15 14 8,
0,84,21,9,0,12,0,-1,3,-1,31.96,21 15 14 8,
0,85,19,5,1,13,1,18,3,6,26.63,19 24 23 5,
0,86,23,9,2,13,0,-1,6,-1,56.5,23 24 19 1 6 12 7,
0,87,20,9,1,13,0,-1,1,-1,12.62,20 14,deadline_exceeded
0,88,12,9,1,13,0,-1,5,-1,36.67,12 7 13 18 17 16,deadline_exceeded
0,89,2,9,0,13,0,-1,0,-1,0.0,2,no_route
0,90,3,9,0,13,1,14,1,2,10.38,3 9,
0,91,19,14,0,14,1,23,2,10,20.53,19 20 14,
0,92,17,9,0,14,0,-1,2,-1,20.66,17 16 10,
0,93,2,9,2,14,0,-1,0,-1,0.0,2,no_route
0,94,14,9,2,14,1,19,2,6,17.96,14 8 9,
0,95,15,9,2,14,1,25,3,12,27.0,15 14 8 9,
0,96,4,9,0,14,1,25,4,12,32.81,4 5 11 10 9,
0,97,15,5,0,15,0,-1,2,-1,15.62,15 16 17,
0,98,19,6,2,15,1,21,2,7,20.84,19 24 6,
0,99,17,9,1,15,0,-1,2,-1,20.4,17 16 10,deadline_exceeded
0,100,7,9,1,15,0,-1,3,-1,26.21,7 12 6 1,no_route
0,101,11,18,1,15,1,19,2,5,18.78,11 17 18,
0,102,5,9,1,15,0,-1,1,-1,6.7,5 4,no_route
0,103,2,9,0,16,0,-1,0,-1,0.0,2,no_route
0,104,9,18,0,16,0,-1,4,-1,35.5,9 8 14 15 16,
0,105,1,9,1,16,0,-1,5,-1,50.29,1 6 12 7 13 18,deadline_exceeded
0,106,8,16,0,16,1,25,3,10,26.07,8 14 15 16,
0,107,10,9,0,16,1,23,1,8,6.89,10 9,
0,108,23,9,0,16,0,-1,2,-1,19.85,23 5 4,no_route
0,109,11,9,1,17,1,26,2,10,14.2,11 10 9,
0,110,23,9,0,17,1,29,4,13,42.48,23 5 11 10 9,
0,111,24,9,2,17,0,-1,5,-1,50.92,24 19 1 6 12 7,
0,112,8,9,0,17,1,21,1,5,6.51,8 9,
0,113,5,9,0,17,0,-1,1,-1,6.51,5 4,no_route
0,114,7,9,0,17,0,-1,5,-1,49.96,7 12 6 1 19 20,
0,115,18,9,1,18,0,-1,5,-1,49.55,18 13 7 12 6 1,deadline_exceeded
0,116,6,9,0,18,1,30,6,13,62.29,6 1 19 20 21 3 9,
