packet_id,delivered,delay_ms
1,1,2686.22
2,1,1716.89
3,1,1712.89
4,1,3353.78
5,1,1017.33
6,1,345.778
7,1,2352.44
8,1,1700.89
9,1,683.556
10,1,1029.33
11,1,1696.89
12,1,2062.67
13,1,1684.89
14,1,345.778
15,1,1363.11
16,1,2018.67
17,1,1351.11
18,1,4688.89
19,1,3355.11
20,1,1046.67
21,0,-1
22,1,1396.44
23,1,3021.33
24,1,2020
25,1,730.222
26,1,1033.33
27,0,-1
28,0,-1
29,1,1687.56
30,0,-1
31,1,2022.67
32,1,687.556
33,1,1033.33
34,1,2054.67
35,0,-1
36,1,2356.44
37,1,2024
38,1,1690.22
39,1,2691.56
40,1,345.778
41,1,2357.78
42,1,1679.56
43,1,1375.11
44,1,1013.33
45,1,1029.33
46,1,2025.33
47,1,2025.33
48,1,345.778
49,1,2392.44
50,1,687.556
51,1,1029.33
52,1,1033.33
53,1,1033.33
54,1,683.556
55,0,-1
56,0,-1
57,0,-1
58,1,1029.33
59,1,1375.11
60,1,692.889
61,1,1042.67
62,0,-1
63,1,708.889
64,0,-1
65,1,691.556
66,0,-1
67,0,-1
68,0,-1
69,0,-1
70,0,-1
71,0,-1
72,0,-1
73,0,-1
74,0,-1
75,0,-1
76,1,1712.89
77,1,1375.11
78,1,1375.11
79,0,-1
80,0,-1
81,1,1046.67
82,1,704.889
83,1,1033.33
84,0,-1
85,0,-1
86,0,-1
87,1,1716.89
88,0,-1
89,0,-1
90,0,-1
91,0,-1
92,0,-1
93,0,-1
94,0,-1
95,0,-1
96,1,341.778
97,1,345.778
98,0,-1
99,1,1720.89
100,0,-1
101,0,-1
102,0,-1
103,0,-1
104,0,-1
105,0,-1
106,0,-1
107,1,1375.11
108,0,-1
109,0,-1
110,0,-1
111,0,-1
112,0,-1
113,0,-1
114,0,-1
115,1,1029.33
116,0,-1
117,0,-1
119,0,-1
120,0,-1
121,1,687.556
122,0,-1
123,0,-1
124,0,-1
125,1,345.778
126,1,1033.33
127,0,-1
128,0,-1
130,0,-1
131,0,-1
132,0,-1
133,0,-1
134,0,-1
135,0,-1
136,0,-1
137,0,-1
138,1,687.556
139,0,-1
140,1,345.778
141,0,-1
142,0,-1
143,0,-1
144,0,-1
145,0,-1
146,0,-1
148,0,-1
149,0,-1
150,1,687.556
151,0,-1
152,0,-1
154,0,-1
155,0,-1
156,0,-1
157,0,-1
158,0,-1
159,0,-1
161,0,-1
162,0,-1
163,0,-1
165,1,345.778
166,0,-1
167,0,-1
170,0,-1
171,1,345.778
172,0,-1
173,1,345.778
174,0,-1
175,0,-1
180,0,-1
184,0,-1
1000001,1,1029.33
1000002,1,687.556
1000003,1,345.778
1000004,1,687.556
1000005,1,2363.11
1000006,1,1021.33
1000007,1,1021.33
1000008,1,683.556
1000009,1,1355.11
1000010,1,683.556
1000011,1,687.556
1000012,0,-1
1000013,0,-1
1000014,1,345.778
1000015,1,1029.33
1000016,1,1371.11
1000017,1,1688.89
1000018,1,1704.89
1000019,1,1050.67
1000020,1,1029.33
1000021,1,1029.33
1000022,1,696.889
1000023,0,-1
1000024,1,1734.22
1000025,1,687.556
1000026,0,-1
1000027,1,1029.33
1000028,1,1371.11
1000029,1,696.889
1000030,1,341.778
1000031,1,1033.33
1000032,1,2058.67
1000033,0,-1
1000034,1,1033.33
1000035,1,687.556
1000036,1,687.556
1000037,1,1375.11
1000038,0,-1
1000039,1,687.556
1000040,1,1029.33
1000041,1,683.556
1000042,1,1025.33
1000043,1,1375.11
1000044,0,-1
1000045,1,1029.33
1000046,1,1375.11
1000047,1,687.556
1000048,0,-1
1000049,1,341.778
1000050,1,1025.33
1000051,0,-1
1000052,0,-1
1000053,1,341.778
1000054,1,1716.89
1000055,1,1716.89
1000056,1,345.778
1000057,1,1720.89
1000058,1,1371.11
1000059,1,687.556
1000060,1,704.889
1000061,1,687.556
1000062,1,1392.44
1000063,1,1050.67
1000064,1,1679.56
1000065,1,2058.67
1000066,0,-1
1000067,1,687.556
1000068,1,341.778
1000069,1,1392.44
1000070,1,1029.33
1000071,1,687.556
1000072,1,1029.33
1000073,0,-1
1000074,1,687.556
1000075,0,-1
1000076,1,1033.33
1000077,1,1025.33
1000078,0,-1
1000079,1,1033.33
1000080,1,341.778
1000081,1,1033.33
1000082,0,-1
1000083,0,-1
1000084,1,687.556
1000085,1,2066.67
1000086,1,1712.89
1000087,1,341.778
1000088,1,367.111
1000089,1,341.778
1000090,0,-1
1000091,0,-1
1000092,1,1679.56
1000093,1,341.778
1000094,1,1375.11
1000095,1,687.556
1000096,1,345.778
1000097,0,-1
1000098,1,683.556
1000099,1,1375.11
1000100,1,345.778
1000101,0,-1
1000102,0,-1
1000103,1,1025.33
1000104,1,1029.33
1000105,1,1033.33
1000106,1,1029.33
1000107,0,-1
1000108,1,1375.11
1000109,1,1375.11
1000110,1,683.556
1000111,1,341.778
1000112,1,341.778
1000113,1,2062.67
1000114,1,1033.33
1000115,0,-1
1000116,0,-1
1000117,1,345.778
1000118,1,1375.11
1000119,1,687.556
1000120,1,1033.33
1000121,0,-1
1000122,1,341.778
1000123,1,687.556
1000124,1,1679.56
1000125,0,-1
1000126,1,1021.33
1000127,0,-1
1000128,1,691.556
1000129,1,341.778
1000130,1,1029.33
1000131,1,345.778
1000132,1,345.778
1000133,1,1025.33
1000134,1,2021.33
1000135,0,-1
1000136,0,-1
1000137,1,341.778
1000138,0,-1
1000139,0,-1
1000140,0,-1
1000141,1,687.556
1000142,1,683.556
1000143,0,-1
1000144,0,-1
1000145,0,-1
1000146,1,1025.33
1000147,0,-1
1000148,1,345.778
1000149,0,-1
1000151,0,-1
1000152,0,-1
1000153,0,-1
1000154,1,687.556
1000155,0,-1
1000156,0,-1
1000157,0,-1
1000158,0,-1
1000159,0,-1
1000160,0,-1
1000161,1,341.778
1000162,0,-1
1000163,1,1029.33
1000164,0,-1
1000165,0,-1
1000167,0,-1
1000168,1,687.556
1000169,0,-1
1000171,0,-1
1000172,0,-1
1000173,0,-1
1000174,0,-1
1000176,0,-1
1000177,0,-1
1000178,0,-1
1000180,0,-1
1000181,1,345.778
1000184,0,-1
2000001,1,345.778
2000002,1,687.556
2000003,1,687.556
2000004,1,687.556
2000005,0,-1
2000006,1,341.778
2000007,1,683.556
2000009,1,1029.33
2000011,1,1029.33
2000012,1,1375.11
2000013,1,3080
2000014,1,341.778
2000016,1,1708.89
2000017,1,341.778
2000018,1,1375.11
2000019,1,683.556
2000020,1,708.889
2000021,1,708.889
2000023,1,1375.11
2000024,1,1375.11
2000026,0,-1
2000027,1,2767.56
2000029,1,341.778
2000030,1,1029.33
2000031,1,1029.33
2000032,1,1033.33
2000033,1,1371.11
2000034,1,1716.89
2000035,1,687.556
2000036,1,1716.89
2000037,0,-1
2000038,1,341.778
2000039,1,687.556
2000041,1,1716.89
2000042,1,345.778
2000044,1,1371.11
2000045,1,345.778
2000046,0,-1
2000047,1,687.556
2000048,1,1704.89
2000049,1,1029.33
2000050,1,341.778
2000051,1,341.778
2000052,1,1029.33
2000053,1,1679.56
2000054,1,1375.11
2000055,1,1029.33
2000056,1,341.778
2000057,1,1029.33
2000058,1,345.778
2000059,1,687.556
2000060,1,341.778
2000061,0,-1
2000062,1,687.556
2000063,0,-1
2000064,1,687.556
2000065,1,341.778
2000066,1,1021.33
2000067,0,-1
2000068,1,687.556
2000069,0,-1
2000071,1,1029.33
2000072,1,345.778
2000074,1,341.778
2000075,1,1025.33
2000076,1,1371.11
2000077,0,-1
2000078,1,687.556
2000079,0,-1
2000080,1,687.556
2000081,1,1021.33
2000082,1,1371.11
2000084,1,1392.44
2000085,0,-1
2000086,1,1371.11
2000087,1,687.556
2000088,0,-1
2000089,1,704.889
2000090,0,-1
2000091,1,1371.11
2000092,0,-1
2000093,0,-1
2000094,1,341.778
2000096,1,1033.33
2000097,0,-1
2000098,0,-1
2000099,1,683.556
2000100,0,-1
2000101,1,687.556
2000102,1,345.778
2000103,1,345.778
2000104,0,-1
2000106,1,2392.44
2000107,1,341.778
2000108,1,1371.11
2000110,1,1029.33
2000111,0,-1
2000112,1,341.778
2000113,0,-1
2000114,1,341.778
2000115,1,1029.33
2000116,0,-1
2000117,0,-1
2000118,1,687.556
2000119,1,687.556
2000120,1,687.556
2000121,1,687.556
2000122,0,-1
2000123,1,1375.11
2000124,0,-1
2000126,0,-1
2000127,0,-1
2000128,0,-1
2000129,1,341.778
2000130,0,-1
2000131,1,683.556
2000132,1,341.778
2000133,1,687.556
2000134,0,-1
2000135,1,687.556
2000137,0,-1
2000138,0,-1
2000139,0,-1
2000140,0,-1
2000141,1,341.778
2000142,0,-1
2000143,1,1029.33
2000144,1,341.778
2000145,1,1371.11
2000147,0,-1
2000148,1,687.556
2000149,1,1029.33
2000150,0,-1
2000151,1,1029.33
2000152,0,-1
2000153,0,-1
2000154,0,-1
2000156,0,-1
2000157,0,-1
2000158,0,-1
2000160,0,-1
2000161,1,687.556
2000162,0,-1
2000163,0,-1
2000164,0,-1
2000165,0,-1
2000166,0,-1
2000167,0,-1
2000168,0,-1
2000170,1,687.556
2000171,0,-1
2000172,0,-1
2000173,0,-1
2000174,0,-1
2000175,0,-1
2000177,0,-1
2000179,0,-1
2000181,1,341.778
2000182,0,-1
3000001,0,-1
3000002,0,-1
3000003,0,-1
3000004,1,687.556
3000005,1,1700.89
3000006,1,1029.33
3000007,0,-1
3000008,1,2368.44
3000009,0,-1
3000010,0,-1
3000011,1,1367.11
3000012,1,687.556
3000013,0,-1
3000014,0,-1
3000015,1,341.778
3000016,0,-1
3000017,1,3369.78
3000018,1,687.556
3000019,0,-1
3000020,1,1698.22
3000021,0,-1
3000022,1,1034.67
3000023,1,2036
3000024,1,1702.22
3000025,1,1703.56
3000026,0,-1
3000027,1,345.778
3000028,0,-1
3000029,0,-1
3000030,1,1379.11
3000031,0,-1
3000032,1,2062.67
3000033,0,-1
3000035,0,-1
3000036,0,-1
3000037,0,-1
3000038,0,-1
3000039,0,-1
3000040,0,-1
3000041,1,1696.89
3000042,1,1029.33
3000043,1,687.556
3000044,1,1371.11
3000045,0,-1
3000046,0,-1
3000047,0,-1
3000048,0,-1
3000049,0,-1
3000050,0,-1
3000051,0,-1
3000052,1,1033.33
3000053,0,-1
3000054,0,-1
3000055,0,-1
3000057,0,-1
3000058,1,1033.33
3000059,1,1396.44
3000060,0,-1
3000061,0,-1
3000062,0,-1
3000063,1,1029.33
3000064,1,341.778
3000065,0,-1
3000066,0,-1
3000067,0,-1
3000068,0,-1
3000069,0,-1
3000070,0,-1
3000071,0,-1
3000072,0,-1
3000073,0,-1
3000074,0,-1
3000075,0,-1
3000076,1,687.556
3000077,0,-1
3000078,1,1033.33
3000079,0,-1
3000080,0,-1
3000081,1,687.556
3000082,0,-1
3000083,0,-1
3000084,0,-1
3000085,0,-1
3000086,0,-1
3000087,0,-1
3000088,0,-1
3000089,1,687.556
3000090,1,1029.33
3000091,1,683.556
3000092,1,1029.33
3000093,0,-1
3000095,0,-1
3000096,0,-1
3000097,1,691.556
3000098,0,-1
3000099,0,-1
3000100,1,363.111
3000101,0,-1
3000102,1,1679.56
3000103,0,-1
3000104,1,341.778
3000105,1,345.778
3000106,0,-1
3000107,0,-1
3000108,0,-1
3000109,0,-1
3000110,0,-1
3000111,0,-1
3000112,0,-1
3000113,0,-1
3000114,0,-1
3000115,0,-1
3000116,0,-1
3000117,0,-1
3000118,0,-1
3000120,0,-1
3000121,0,-1
3000122,0,-1
3000123,0,-1
3000126,0,-1
3000127,0,-1
3000128,0,-1
3000129,0,-1
3000130,0,-1
3000131,0,-1
3000132,0,-1
3000133,0,-1
3000134,0,-1
3000135,1,1029.33
3000137,0,-1
3000138,0,-1
3000140,0,-1
3000142,0,-1
3000143,1,363.111
3000144,1,345.778
3000145,0,-1
3000146,0,-1
3000147,0,-1
3000148,0,-1
3000149,0,-1
3000150,0,-1
3000151,0,-1
3000152,1,345.778
3000153,0,-1
3000154,0,-1
3000155,0,-1
3000156,0,-1
3000158,0,-1
3000159,0,-1
3000163,0,-1
3000166,0,-1
3000168,0,-1
3000173,0,-1
3000176,1,341.778
3000177,0,-1
3000179,0,-1
3000184,0,-1
3000186,0,-1
4000001,1,341.778
4000002,1,1029.33
4000003,1,1029.33
4000004,1,1029.33
4000005,1,341.778
4000006,1,1029.33
4000007,1,687.556
4000008,1,683.556
4000009,1,687.556
4000010,1,1363.11
4000011,1,691.556
4000012,1,345.778
4000013,1,1021.33
4000014,1,1363.11
4000015,0,-1
4000016,1,2367.11
4000017,1,1375.11
4000018,1,1696.89
4000019,1,1030.67
4000020,1,1371.11
4000021,1,1029.33
4000022,0,-1
4000023,1,1030.67
4000024,1,687.556
4000025,1,1679.56
4000026,1,345.778
4000027,1,1029.33
4000028,1,1029.33
4000029,1,1046.67
