packet_id,delivered,delay_ms
1,0,-1
2,1,1783.33
3,1,1091.78
4,1,341.778
5,1,687.556
6,1,345.778
7,1,691.556
8,1,687.556
9,1,925.556
10,1,2026.67
11,0,-1
12,1,2022.67
13,1,1259.33
14,1,345.778
15,1,2143.67
16,1,1142.33
17,1,1593.11
18,0,-1
19,1,896.333
20,1,1033.33
21,0,-1
22,1,683.556
23,0,-1
24,1,1801.89
25,1,775.333
26,1,1033.33
27,1,345.778
28,0,-1
29,1,341.778
30,1,687.556
31,1,1313.89
32,1,687.556
33,1,1696.89
34,1,1371.11
35,0,-1
36,1,1885.67
37,1,2978.78
38,1,1192.89
39,1,2524
40,1,345.778
41,1,855.111
42,0,-1
43,1,1852.44
44,1,851.111
45,1,345.778
46,1,2303.22
47,1,1300.56
48,1,734.111
49,1,1700.89
50,1,687.556
51,1,1276.67
52,1,3613.11
53,1,1033.33
54,1,843.111
55,0,-1
56,1,1819.22
57,0,-1
58,0,-1
59,1,3150.33
60,1,2387
61,0,-1
62,0,-1
63,1,2929.56
64,0,-1
65,1,1690.22
66,1,738.111
67,1,684.889
68,0,-1
69,0,-1
70,1,1686.22
71,0,-1
72,0,-1
73,0,-1
74,1,341.778
75,0,-1
76,0,-1
77,1,2058.67
78,0,-1
79,0,-1
80,0,-1
81,1,1033.33
82,1,687.556
83,0,-1
84,1,2437.56
85,1,1645
86,1,1202.22
87,1,2355.11
88,0,-1
89,0,-1
90,0,-1
91,0,-1
92,0,-1
93,0,-1
94,0,-1
95,1,1300.56
96,1,341.778
97,1,1945.56
98,1,1607.78
99,0,-1
100,0,-1
101,0,-1
102,1,1029.33
103,0,-1
104,1,1730.11
105,1,1300.56
106,0,-1
107,0,-1
108,0,-1
109,0,-1
110,0,-1
111,1,3147.67
112,0,-1
113,0,-1
114,0,-1
115,1,2680.89
116,0,-1
117,1,1566.56
118,0,-1
119,1,3235.44
120,0,-1
121,1,687.556
122,0,-1
123,1,683.556
124,0,-1
125,1,345.778
126,1,1050.67
127,0,-1
128,0,-1
129,0,-1
130,1,2317.89
131,1,1271.44
132,0,-1
133,1,2973.44
134,0,-1
135,0,-1
136,0,-1
137,0,-1
138,0,-1
139,1,892.333
