episode,packet_id,src,dst,traffic_class,created_slot,delivered,delivery_slot,hop_count,delay_slots,delay_ms,path,drop_reason
0,1,23,9,1,1,1,5,4,5,40.98,23 22 21 15 9,
0,2,3,18,0,1,1,5,5,5,48.02,3 2 1 6 12 18,
0,3,24,2,0,1,1,4,3,4,31.0,24 19 1 2,
0,4,8,9,1,1,1,1,1,1,8.88,8 9,
0,5,4,9,2,1,1,2,2,2,21.73,4 3 9,
0,6,16,22,1,1,1,1,1,1,11.79,16 22,
0,7,21,9,1,1,1,2,2,2,24.42,21 15 9,
0,8,18,11,0,1,1,2,2,2,20.81,18 17 11,
0,9,11,9,1,1,1,2,2,2,18.6,11 10 9,
0,10,13,9,0,1,1,3,3,3,29.52,13 14 15 9,
0,11,19,9,1,1,1,6,4,6,39.39,19 20 21 15 9,
0,12,6,9,2,1,1,4,4,4,40.07,6 5 4 3 9,
0,13,4,9,0,1,1,3,2,3,21.64,4 10 9,
0,14,3,21,0,1,1,3,1,3,11.0,3 21,
0,15,13,9,2,1,1,4,3,4,31.54,13 7 8 9,
0,16,12,9,1,1,1,5,3,5,28.28,12 7 8 9,
0,17,11,9,0,1,1,4,2,4,18.92,11 10 9,
0,18,24,9,2,1,1,8,5,8,49.31,24 23 17 16 15 9,
0,19,2,9,0,2,1,5,2,4,20.68,2 3 9,
0,20,15,2,2,2,1,6,3,5,30.81,15 14 20 2,
0,21,23,9,1,2,1,9,4,8,39.41,23 22 21 15 9,
0,22,7,9,0,2,1,6,2,5,18.92,7 8 9,
0,23,5,9,1,2,1,6,3,5,30.3,5 11 10 9,
0,24,4,9,0,2,1,7,2,6,20.68,4 10 9,
0,25,14,9,0,3,1,7,2,5,19.81,14 15 9,
0,26,20,7,1,3,1,6,3,4,32.06,20 19 13 7,
0,27,24,18,1,3,1,4,1,2,10.17,24 18,
0,28,6,9,1,3,1,8,4,6,37.91,6 5 11 10 9,
0,29,10,9,1,3,1,5,1,3,9.49,10 9,
0,30,22,17,0,3,1,6,2,4,19.96,22 16 17,
0,31,4,9,0,4,1,6,2,3,20.49,4 3 9,
0,32,14,19,2,4,1,8,2,5,19.87,14 13 19,
0,33,18,1,0,4,1,8,3,5,29.95,18 13 19 1,
0,34,23,2,1,4,1,8,4,5,37.72,23 24 19 20 2,
0,35,6,9,1,4,1,14,6,11,58.42,6 1 2 3 21 15 9,
0,36,16,9,0,4,1,9,2,6,19.05,16 10 9,
0,37,12,9,0,5,1,8,3,4,27.67,12 7 8 9,
0,38,16,9,1,5,1,11,2,7,19.16,16 15 9,
0,39,5,9,0,5,1,10,3,6,28.27,5 4 3 9,
0,40,8,14,1,5,1,7,1,3,10.66,8 14,
0,41,3,9,0,5,1,7,1,3,10.66,3 9,
0,42,19,9,0,5,1,12,4,8,39.27,19 1 7 8 9,
0,43,7,9,0,6,1,11,2,6,18.04,7 8 9,
0,44,14,9,2,6,1,9,2,4,19.78,14 8 9,
0,45,18,12,2,6,1,7,1,2,10.0,18 12,
0,46,22,9,2,6,1,10,3,5,28.65,22 4 10 9,
0,47,24,16,0,6,1,9,3,4,27.54,24 23 17 16,
0,48,15,9,1,6,1,10,1,5,10.0,15 9,
0,49,4,8,0,7,1,14,3,8,26.78,4 3 2 8,
0,50,21,2,0,7,1,11,2,5,18.61,21 3 2,
0,51,16,20,1,7,1,12,3,6,26.97,16 22 21 20,
0,52,22,9,0,7,1,12,3,6,29.29,22 21 15 9,
0,53,8,19,0,7,1,12,3,6,28.96,8 2 20 19,
0,54,13,15,2,7,1,10,2,4,18.18,13 14 15,
0,55,7,16,1,8,1,14,4,7,34.06,7 12 11 10 16,
0,56,14,9,0,8,1,13,2,6,19.5,14 15 9,
0,57,1,9,0,8,1,14,3,7,27.23,1 7 8 9,
0,58,3,9,2,8,1,15,3,8,32.32,3 21 15 9,
0,59,23,9,0,8,1,15,4,8,37.36,23 5 4 3 9,
0,60,11,9,0,8,1,11,2,4,16.92,11 10 9,
0,61,4,9,2,9,1,13,2,5,17.73,4 10 9,
0,62,7,9,2,9,1,16,2,8,15.73,7 8 9,
0,63,11,9,0,9,1,12,2,4,16.31,11 10 9,
0,64,5,9,1,9,1,15,3,7,24.68,5 11 10 9,
0,65,21,9,0,9,1,14,2,6,20.76,21 3 9,
0,66,24,1,1,9,1,11,2,3,17.73,24 19 1,
0,67,8,9,1,10,1,13,1,4,8.0,8 9,
0,68,2,9,2,10,1,20,4,11,33.5,2 3 4 10 9,
0,69,12,9,0,10,1,18,3,9,22.13,12 7 8 9,
0,70,14,9,0,10,1,15,2,6,17.39,14 8 9,
0,71,4,23,1,10,0,-1,5,-1,35.12,4 5 6 1 2 3,deadline_exceeded
0,72,24,9,1,10,1,16,5,7,45.45,24 23 22 21 15 9,
0,73,12,9,1,11,1,20,3,10,21.39,12 7 8 9,
0,74,17,16,0,11,1,12,1,2,7.69,17 16,
0,75,23,9,0,11,1,20,4,10,39.3,23 22 21 15 9,
0,76,18,22,1,11,1,18,5,8,42.82,18 13 14 15 16 22,
0,77,9,19,0,11,1,21,6,11,54.02,9 8 2 1 6 24 19,
0,78,19,11,1,11,1,16,4,6,38.65,19 24 23 17 11,
0,79,24,9,1,12,1,22,5,11,47.33,24 19 20 21 15 9,
0,80,23,9,0,12,1,23,4,12,40.45,23 22 21 15 9,
0,81,9,22,1,12,1,17,3,6,32.1,9 10 16 22,
0,82,14,21,0,12,1,14,2,3,18.07,14 20 21,
0,83,22,9,1,12,1,18,3,7,30.98,22 21 15 9,
0,84,3,9,0,12,1,25,3,14,25.79,3 2 8 9,
0,85,8,9,0,13,1,19,1,7,6.57,8 9,
0,86,3,15,1,13,1,19,2,7,24.41,3 9 15,
0,87,12,21,0,13,1,24,5,12,45.76,12 11 17 16 15 21,
