u,v,is_cross,delay_ms
1,2,0,8.0
1,6,0,8.0
1,7,1,12.0
1,19,1,12.0
2,3,0,8.0
2,8,1,12.0
2,20,1,12.0
3,4,0,8.0
3,9,1,12.0
3,21,1,12.0
4,5,0,8.0
4,10,1,12.0
4,22,1,12.0
5,6,0,8.0
5,11,1,12.0
5,23,1,12.0
6,12,1,12.0
6,24,1,12.0
7,8,0,8.0
7,12,0,8.0
7,13,1,12.0
8,9,0,8.0
8,14,1,12.0
9,10,0,8.0
9,15,1,12.0
10,11,0,8.0
10,16,1,12.0
11,12,0,8.0
11,17,1,12.0
12,18,1,12.0
13,14,0,8.0
13,18,0,8.0
13,19,1,12.0
14,15,0,8.0
14,20,1,12.0
15,16,0,8.0
15,21,1,12.0
16,17,0,8.0
16,22,1,12.0
17,18,0,8.0
17,23,1,12.0
18,24,1,12.0
19,20,0,8.0
19,24,0,8.0
20,21,0,8.0
21,22,0,8.0
22,23,0,8.0
23,24,0,8.0
