packet_id,delivered,delay_ms
1,1,2686.22
2,1,1716.89
3,1,1029.33
4,1,341.778
5,1,1017.33
6,1,345.778
7,1,691.556
8,1,687.556
9,1,683.556
10,1,1029.33
11,1,1696.89
12,1,1692.89
13,1,1684.89
14,1,345.778
15,1,1363.11
16,1,1025.33
17,1,1351.11
18,1,3353.78
19,1,687.556
20,1,1033.33
21,1,3855.11
22,1,859.111
23,1,2520
24,1,1852.44
25,1,1030.67
26,1,1033.33
27,1,345.778
28,1,1368.44
29,1,1018.67
30,1,1392.44
31,1,2187.56
32,1,687.556
33,1,1363.11
34,1,1371.11
35,1,1202.22
36,1,2521.33
37,1,4024
38,1,2688.89
39,1,3022.67
40,1,345.778
41,1,345.778
42,1,1521.33
43,1,683.556
44,1,687.556
45,1,1029.33
46,1,2856.44
47,1,1179.56
48,1,345.778
49,1,3032
50,1,687.556
51,1,1029.33
52,1,1033.33
53,1,1033.33
54,1,683.556
55,1,1175.56
56,1,867.111
57,1,1029.33
58,1,345.778
59,1,1534.67
60,1,2857.78
61,1,3025.33
62,1,683.556
63,1,2691.56
64,1,1029.33
65,1,700.889
66,1,687.556
67,1,517.333
68,1,863.111
69,1,2859.11
70,1,851.111
71,1,2230.22
72,1,1716.89
73,1,683.556
74,1,341.778
75,1,1884.44
76,1,1029.33
77,1,1375.11
78,1,1375.11
79,1,2355.11
80,1,1718.22
81,1,1033.33
82,1,687.556
83,1,1050.67
84,1,345.778
85,1,341.778
86,1,691.556
87,1,1716.89
88,1,687.556
89,1,1175.56
90,1,1692.89
91,1,1688.89
92,1,1029.33
93,1,341.778
94,1,687.556
95,1,1029.33
96,1,341.778
97,1,552
98,1,521.333
99,1,1029.33
100,1,1204.89
101,1,1196.89
102,1,1050.67
103,1,2032
104,1,1371.11
105,1,1025.33
106,1,2699.56
107,1,1030.67
108,1,1029.33
109,1,1343.11
110,1,1375.11
111,1,522.667
112,1,2010.67
113,1,856.444
114,1,864.444
115,1,1176.89
116,1,1363.11
117,1,690.222
118,1,341.778
119,1,1029.33
120,1,698.222
121,1,687.556
122,1,865.778
123,1,683.556
124,1,687.556
125,1,345.778
126,1,1033.33
127,1,855.111
128,1,1186.22
129,1,687.556
130,1,696.889
131,1,1029.33
132,1,521.333
133,1,1542.67
134,1,867.111
135,1,1033.33
136,1,691.556
137,1,341.778
138,1,687.556
139,1,683.556
140,1,345.778
141,1,1675.56
142,1,1200.89
143,1,1034.67
144,1,1371.11
145,1,683.556
146,1,1175.56
147,1,522.667
148,1,1175.56
149,1,367.111
150,1,687.556
151,1,345.778
152,1,687.556
153,1,341.778
154,1,1033.33
155,1,1371.11
156,1,1050.67
157,1,683.556
158,1,691.556
159,1,1033.33
160,1,521.333
161,1,1371.11
162,1,1033.33
163,1,687.556
165,1,345.778
166,1,359.111
167,1,341.778
168,1,1179.56
169,1,341.778
170,1,367.111
171,1,345.778
172,1,345.778
173,1,345.778
174,1,345.778
175,1,687.556
179,1,345.778
180,1,341.778
181,1,341.778
182,1,341.778
184,1,341.778
1000001,1,1029.33
1000002,1,687.556
1000003,1,345.778
1000004,1,687.556
1000005,1,2022.67
1000006,1,1021.33
1000007,1,1021.33
1000008,1,683.556
1000009,1,1355.11
1000010,1,683.556
1000011,1,687.556
1000012,1,1371.11
1000013,1,341.778
1000014,1,345.778
1000015,1,345.778
1000016,1,1371.11
1000017,1,1688.89
1000018,1,687.556
1000019,1,1856.44
1000020,1,2190.22
1000021,1,1029.33
1000022,1,863.111
1000023,1,1716.89
1000024,1,1029.33
1000025,1,687.556
1000026,1,2546.67
1000027,1,345.778
1000028,1,2357.78
1000029,1,2024
1000030,1,341.778
1000031,1,2191.56
1000032,1,3192.89
1000033,1,1025.33
1000034,1,1033.33
1000035,1,687.556
1000036,1,687.556
1000037,1,1375.11
1000038,1,1025.33
1000039,1,2359.11
1000040,1,1029.33
1000041,1,2025.33
1000042,1,3694.22
1000043,1,1375.11
1000044,1,3528
1000045,1,3202.22
1000046,1,683.556
1000047,1,2526.67
1000048,1,869.778
1000049,1,341.778
1000050,1,1175.56
1000051,1,1371.11
1000052,1,3361.78
1000053,1,341.778
1000054,1,1716.89
1000055,1,1716.89
1000056,1,345.778
1000057,1,1179.56
1000058,1,687.556
1000059,1,687.556
1000060,1,708.889
1000061,1,687.556
1000062,1,1550.67
1000063,1,1033.33
1000064,1,1375.11
1000065,1,859.111
1000066,1,1029.33
1000067,1,863.111
1000069,1,1384.44
1000070,1,1029.33
1000071,1,687.556
1000072,1,1029.33
1000073,1,1029.33
1000074,1,696.889
1000075,1,1030.67
1000076,1,1033.33
1000077,1,1695.56
1000078,1,1885.78
1000079,1,1719.56
1000080,1,363.111
1000081,1,1060
1000082,1,1029.33
1000083,1,1371.11
1000084,1,696.889
1000085,1,1375.11
1000086,1,345.778
1000087,1,530.667
1000088,1,552
1000089,1,1029.33
1000090,1,345.778
1000091,1,1029.33
1000092,1,2054.67
1000093,1,341.778
1000094,1,1542.67
1000095,1,1387.11
1000096,1,1053.33
1000097,1,687.556
1000098,1,683.556
1000099,1,708.889
1000100,1,1220.89
1000101,1,1702.22
1000102,1,687.556
1000103,1,1025.33
1000104,1,1029.33
1000105,1,1033.33
1000106,1,1544
1000107,1,1679.56
1000108,1,1210.22
1000109,1,1029.33
1000110,1,683.556
1000111,1,341.778
1000112,1,376.444
1000113,1,2045.33
1000114,1,1513.33
1000115,1,1029.33
1000116,1,1375.11
1000117,1,345.778
1000118,1,863.111
1000119,1,877.778
1000120,1,1347.11
1000121,1,1542.67
1000122,1,711.556
1000123,1,863.111
1000124,1,538.667
1000125,1,1380.44
1000126,1,1514.67
1000127,1,708.889
1000128,1,1348.44
1000129,1,341.778
1000130,1,1029.33
1000131,1,680.889
1000132,1,345.778
1000133,1,876.444
1000134,1,367.111
1000135,1,700.889
1000136,1,687.556
1000137,1,379.111
1000138,1,1182.22
1000140,1,1029.33
1000141,1,687.556
1000142,1,683.556
1000143,1,1029.33
1000144,1,710.222
1000145,1,691.556
1000146,1,341.778
1000147,1,1371.11
1000150,1,1029.33
1000151,1,687.556
1000152,1,1033.33
1000153,1,345.778
1000154,1,345.778
1000155,1,341.778
1000156,1,691.556
1000157,1,687.556
1000158,1,341.778
1000159,1,1021.33
1000160,1,704.889
1000163,1,683.556
1000164,1,1025.33
1000165,1,345.778
1000167,1,341.778
1000169,1,687.556
1000170,1,345.778
1000171,1,341.778
1000172,1,341.778
1000173,1,1029.33
1000174,1,1029.33
1000176,1,683.556
1000177,1,687.556
1000178,1,687.556
1000179,1,341.778
1000180,1,691.556
1000184,1,341.778
1000185,1,341.778
1000186,1,341.778
2000001,1,345.778
2000002,1,687.556
2000003,1,687.556
2000004,1,687.556
2000005,1,1696.89
2000006,1,341.778
2000007,1,683.556
2000008,1,1684.89
2000009,1,1029.33
2000010,1,1355.11
2000011,1,1029.33
2000012,1,683.556
2000013,1,687.556
2000014,1,341.778
2000015,1,1371.11
2000016,1,1375.11
2000017,1,341.778
2000018,1,1021.33
2000019,1,683.556
2000020,1,863.111
2000021,1,1188.89
2000022,1,1522.67
2000023,1,863.111
2000024,1,683.556
2000025,1,1025.33
2000026,1,1696.89
2000027,1,687.556
2000028,1,1364.44
2000029,1,341.778
2000030,1,1029.33
2000031,1,1530.67
2000032,1,521.333
2000033,1,1864.44
2000034,1,1867.11
2000035,1,863.111
2000036,1,2202.22
2000037,1,1029.33
2000038,1,359.111
2000039,1,1368.44
2000040,1,2365.78
2000041,1,1867.11
2000042,1,345.778
2000043,1,341.778
2000044,1,2368.44
2000045,1,345.778
2000046,1,1033.33
2000047,1,1198.22
2000048,1,683.556
2000049,1,1534.67
2000050,1,341.778
2000051,1,1032
2000052,1,1029.33
2000053,1,2033.33
2000054,1,1200.89
2000055,1,1029.33
2000056,1,341.778
2000057,1,1029.33
2000058,1,345.778
2000059,1,687.556
2000060,1,1199.56
2000061,1,863.111
2000062,1,1202.22
2000063,1,1675.56
2000064,1,863.111
2000065,1,341.778
2000066,1,863.111
2000067,1,1375.11
2000068,1,696.889
2000069,1,1851.11
2000070,1,1200.89
2000071,1,1030.67
2000072,1,696.889
2000073,1,1034.67
2000074,1,367.111
2000075,1,1025.33
2000076,1,1371.11
2000077,1,683.556
2000078,1,1017.33
2000079,1,1855.11
2000080,1,1184.89
2000081,1,1518.67
2000082,1,1521.33
2000083,1,1192.89
2000084,1,1852.44
2000085,1,1021.33
2000086,1,1688.89
2000087,1,687.556
2000088,1,683.556
2000089,1,687.556
2000090,1,1208.89
2000091,1,1679.56
2000092,1,1371.11
2000093,1,1853.78
2000094,1,1186.22
2000095,1,2855.11
2000096,1,1033.33
2000097,1,2688.89
2000098,1,1513.33
2000099,1,1361.78
2000100,1,1029.33
2000101,1,1687.56
2000102,1,345.778
2000103,1,345.778
2000104,1,1179.56
2000105,1,1025.33
2000106,1,1521.33
2000107,1,1521.33
2000108,1,863.111
2000109,1,687.556
2000110,1,1029.33
2000111,1,691.556
2000112,1,341.778
2000113,1,696.889
2000114,1,2022.67
2000115,1,1029.33
2000116,1,1175.56
2000117,1,1029.33
2000118,1,687.556
2000119,1,341.778
2000120,1,345.778
2000121,1,687.556
2000122,1,1033.33
2000123,1,355.111
2000124,1,1033.33
2000125,1,683.556
2000126,1,1204.89
2000127,1,1372.44
2000128,1,345.778
2000129,1,341.778
2000130,1,345.778
2000131,1,859.111
2000132,1,341.778
2000133,1,687.556
2000134,1,691.556
2000135,1,687.556
2000136,1,1033.33
2000137,1,538.667
2000138,1,345.778
2000139,1,1033.33
2000140,1,1375.11
2000141,1,341.778
2000142,1,341.778
2000143,1,1029.33
2000144,1,341.778
2000145,1,1371.11
2000146,1,1033.33
2000147,1,1375.11
2000148,1,863.111
2000149,1,1029.33
2000150,1,691.556
2000151,1,1208.89
2000152,1,1029.33
2000153,1,1033.33
2000154,1,687.556
2000155,1,683.556
2000156,1,1017.33
2000157,1,851.111
2000158,1,341.778
2000160,1,1179.56
2000161,1,687.556
2000162,1,1033.33
2000163,1,687.556
2000164,1,1033.33
2000165,1,341.778
2000166,1,1025.33
2000167,1,341.778
2000168,1,683.556
2000169,1,341.778
2000170,1,687.556
2000171,1,687.556
2000172,1,345.778
2000173,1,341.778
2000174,1,683.556
2000175,1,345.778
2000178,1,345.778
2000179,1,683.556
2000180,1,345.778
2000181,1,341.778
2000183,1,345.778
2000185,1,341.778
3000001,1,1675.56
3000002,1,687.556
3000003,1,2698.22
3000004,1,687.556
3000005,1,2030.67
3000006,1,1029.33
3000007,1,1033.33
3000008,1,691.556
3000009,1,687.556
3000010,1,1025.33
3000011,1,683.556
3000012,1,687.556
3000013,1,1696.89
3000014,1,1525.33
3000015,1,341.778
3000016,1,2009.33
3000017,1,341.778
3000018,1,687.556
3000019,1,1864.44
3000020,1,1371.11
3000021,1,1029.33
3000022,1,863.111
3000023,1,1843.11
3000024,1,691.556
3000025,1,859.111
3000026,1,1375.11
3000027,1,345.778
3000028,1,687.556
3000029,1,341.778
3000030,1,687.556
3000031,1,1865.78
3000032,1,1371.11
3000033,1,687.556
3000034,1,521.333
3000035,1,1176.89
3000036,1,1029.33
3000037,1,1373.78
3000038,1,1029.33
3000039,1,708.889
3000040,1,1042.67
3000041,1,1010.67
3000042,1,1699.56
3000043,1,687.556
3000044,1,1521.33
3000045,1,1029.33
3000046,1,1375.11
3000047,1,1033.33
3000048,1,341.778
3000049,1,1371.11
3000050,1,2372.44
3000051,1,1379.11
3000052,1,1033.33
3000053,1,1700.89
3000054,1,1704.89
3000055,1,1538.67
3000056,1,363.111
3000057,1,1872.44
3000058,1,1033.33
3000059,1,2540
3000060,1,1029.33
3000061,1,1029.33
3000062,1,341.778
3000063,1,1706.22
3000064,1,367.111
3000065,1,1371.11
3000066,1,1029.33
3000067,1,1029.33
3000068,1,1033.33
3000069,1,2207.56
3000070,1,683.556
3000071,1,1175.56
3000072,1,1909.78
3000073,1,1029.33
3000074,1,1025.33
3000075,1,1052
3000076,1,687.556
3000077,1,1373.78
3000078,1,1033.33
3000079,1,1875.11
3000080,1,1029.33
3000081,1,885.778
3000082,1,1712.89
3000083,1,687.556
3000084,1,687.556
3000085,1,1025.33
3000086,1,687.556
3000087,1,1518.67
3000088,1,1542.67
3000089,1,1041.33
3000090,1,2042.67
3000091,1,859.111
3000092,1,2210.22
3000093,1,687.556
3000094,1,345.778
3000095,1,1355.11
3000096,1,1716.89
3000097,1,691.556
3000098,1,1884.44
3000099,1,521.333
3000100,1,708.889
3000101,1,1371.11
3000102,1,691.556
3000103,1,1033.33
3000104,1,341.778
3000105,1,876.444
3000106,1,1546.67
3000107,1,683.556
3000108,1,1050.67
3000109,1,696.889
3000110,1,1029.33
3000111,1,345.778
3000112,1,683.556
3000113,1,867.111
3000114,1,1025.33
3000115,1,1368.44
