packet_id,delivered,delay_ms
1,1,2690.22
2,1,1716.89
3,1,1267.33
4,1,341.778
5,1,687.556
6,1,345.778
7,1,691.556
8,1,687.556
9,1,925.556
10,1,2026.67
11,1,2360.44
12,1,2356.44
13,1,1259.33
14,1,679.556
15,1,2811.22
16,1,1142.33
17,1,1593.11
18,1,4029.33
19,1,896.333
20,1,1275.33
21,1,2569.22
22,1,683.556
23,1,2469.44
24,1,1563.89
25,1,775.333
26,1,1033.33
27,1,345.778
28,1,2227.44
29,1,341.778
30,1,687.556
31,1,1551.89
32,1,687.556
33,1,1033.33
34,1,1997.44
35,1,3888.33
36,1,1317.89
37,1,2645
38,1,1760.67
39,1,2762
40,1,345.778
41,1,855.111
42,1,4530.67
43,1,1518.67
44,1,851.111
45,1,345.778
46,1,2736.78
47,1,1300.56
48,1,734.111
49,1,1296.67
50,1,984.111
51,1,1610.44
52,1,2945.56
53,1,1033.33
54,1,843.111
55,1,1718.11
56,1,2153
57,1,3938.89
58,1,1147.67
59,1,4485.44
60,1,2053.22
61,1,3359.11
62,1,3146.33
63,1,2595.78
64,1,3930.89
65,1,2024
66,1,742.111
67,1,684.889
68,1,2566.56
69,0,-1
70,1,3571.89
71,1,2746.22
72,1,5240.78
73,1,4231.44
74,1,341.778
75,0,-1
76,1,1359.11
77,1,2821.89
78,1,1525.33
79,1,5992.11
80,0,-1
81,1,1033.33
82,1,687.556
83,1,4323.22
84,1,1982.78
85,1,1978.78
86,1,2871.11
87,1,2460.22
88,1,3526.67
89,0,-1
90,1,4098.44
91,1,5074.56
92,1,3739.44
93,1,2187.56
94,1,2304.56
95,1,1029.33
96,1,341.778
97,1,2613.11
98,1,2942.89
99,1,345.778
100,1,1262
101,1,4282
102,1,1029.33
103,0,-1
104,1,1396.33
105,1,1025.33
106,1,4486.78
107,0,-1
108,0,-1
109,0,-1
110,1,4040
111,0,-1
112,1,4482.78
113,1,3264.67
114,1,4149
115,1,1046.67
116,1,3903
117,0,-1
118,1,2472.11
119,0,-1
120,1,2355.11
121,1,687.556
122,1,2897.67
123,1,683.556
124,0,-1
125,1,345.778
126,1,1146.33
127,1,4558.56
128,0,-1
129,0,-1
130,0,-1
131,1,1033.33
132,0,-1
133,1,1371.11
134,0,-1
135,0,-1
136,1,4863.11
137,0,-1
138,0,-1
139,1,1226.11
140,1,345.778
141,1,687.556
142,0,-1
143,1,3307.22
144,0,-1
145,1,683.556
146,1,1050.56
147,0,-1
148,0,-1
149,0,-1
150,0,-1
151,0,-1
152,1,3391
153,0,-1
154,0,-1
155,1,1029.33
156,0,-1
157,1,1396.33
158,0,-1
159,1,1033.33
160,0,-1
161,0,-1
162,0,-1
163,1,1079.89
164,1,2690.22
166,0,-1
167,1,759.333
168,1,4025.33
169,0,-1
171,1,345.778
172,0,-1
174,0,-1
175,0,-1
176,0,-1
180,0,-1
181,0,-1
182,0,-1
184,0,-1
185,0,-1
1000001,0,-1
1000002,0,-1
1000003,0,-1
1000004,1,3279.33
1000005,1,4948.22
1000006,0,-1
1000007,1,3950.89
1000008,1,784.667
1000009,1,4284.67
1000010,1,683.556
1000011,1,3283.33
1000012,1,3537.33
1000013,1,655.667
1000014,1,2945.56
1000015,1,345.778
1000016,1,2010.67
1000017,1,4618.44
1000018,1,1940.22
1000019,1,5161
1000020,1,4059.89
1000021,1,3942.89
1000022,0,-1
1000023,1,1033.33
1000024,1,1559.89
1000025,1,687.556
1000026,1,1716.89
1000027,1,345.778
1000028,1,4485.44
1000029,1,3267.33
1000030,1,341.778
1000031,0,-1
1000032,1,4477.44
1000033,1,1642.33
1000034,1,2244.78
1000035,1,3037.33
1000036,1,3359.11
1000037,1,1375.11
1000038,1,1025.33
1000039,0,-1
1000040,1,1113.11
1000041,0,-1
1000042,0,-1
1000043,0,-1
1000044,1,3989.44
1000045,1,3567.89
1000046,0,-1
1000047,1,3321.89
1000048,0,-1
1000049,1,425.556
1000050,1,1928.22
1000051,0,-1
1000052,1,3530.67
1000053,1,550.556
1000054,1,1950.89
1000055,1,5078.56
1000056,0,-1
1000057,1,2137
1000058,1,896.333
1000059,1,3526.67
1000060,1,3643.67
1000061,1,1018.67
1000062,1,4736.78
1000063,1,1033.33
1000064,1,1917.67
1000065,1,1274
1000066,0,-1
1000067,0,-1
1000068,0,-1
1000069,1,4494.78
1000070,1,1029.33
1000071,0,-1
1000072,0,-1
1000073,1,1196.89
1000074,1,4032
1000075,1,4270
1000076,1,1716.89
1000077,0,-1
1000078,0,-1
1000079,0,-1
1000080,0,-1
1000081,1,1033.33
1000082,1,4240.78
1000083,1,5029.33
1000084,0,-1
1000085,1,5121.11
1000086,1,1712.89
1000087,0,-1
1000088,0,-1
1000089,0,-1
1000090,1,1033.33
1000091,1,4324.56
1000092,0,-1
1000093,1,425.556
1000094,0,-1
1000095,1,3327.22
1000096,0,-1
1000097,1,946.889
1000098,1,3436.22
1000099,0,-1
1000100,0,-1
1000101,0,-1
1000102,1,980.111
1000103,1,5530.67
1000104,1,1146.33
1000105,0,-1
1000106,0,-1
1000107,0,-1
1000108,1,4195.56
1000109,1,1579.89
1000110,1,683.556
1000111,1,384.333
1000112,0,-1
1000113,1,5288.67
1000114,0,-1
1000115,0,-1
1000116,1,1375.11
1000117,0,-1
1000118,1,3977.56
1000119,0,-1
1000120,0,-1
1000121,0,-1
1000122,0,-1
1000123,0,-1
1000124,0,-1
1000125,1,1579.89
1000126,1,4037.33
1000127,0,-1
1000128,0,-1
1000129,0,-1
1000130,1,4146.33
1000131,0,-1
1000132,1,488.111
1000133,0,-1
1000134,1,3783.33
1000135,1,1419
1000136,1,1885.78
1000137,1,2903
1000138,1,3687.56
1000139,1,1271.33
1000140,1,4563.89
1000141,0,-1
1000142,1,683.556
1000143,1,4230.11
1000144,1,4446.89
1000145,0,-1
1000146,0,-1
1000147,0,-1
1000148,0,-1
1000149,0,-1
1000151,1,929.556
1000152,1,1242.11
1000153,0,-1
1000154,0,-1
1000155,1,1686.22
1000156,0,-1
1000157,0,-1
1000158,0,-1
1000159,0,-1
1000160,0,-1
1000161,1,2853.78
1000163,0,-1
1000164,0,-1
1000165,1,345.778
1000167,0,-1
1000169,1,687.556
1000171,0,-1
1000172,0,-1
1000173,0,-1
1000174,0,-1
1000176,0,-1
1000178,0,-1
1000179,0,-1
1000180,0,-1
1000181,1,532
1000184,0,-1
1000186,0,-1
2000001,1,2867.11
2000002,1,3200.89
2000003,1,3534.67
2000004,0,-1
2000005,1,5537.33
2000006,1,401.667
2000007,1,726.111
2000008,1,2488.11
2000009,1,4206.22
2000010,1,3989.44
2000011,1,5875.11
2000012,0,-1
2000013,1,804.556
2000014,1,2988.11
2000015,0,-1
2000016,1,1645.11
2000017,1,341.778
2000018,1,3204.89
2000019,1,683.556
2000020,0,-1
2000021,0,-1
2000022,1,5533.33
2000023,0,-1
2000024,1,5199.56
2000025,1,6075.89
2000026,1,3952.22
2000027,1,888.333
2000028,0,-1
2000029,1,341.778
2000030,0,-1
2000031,0,-1
2000032,1,341.778
2000033,1,6167.67
2000034,1,1738.11
2000035,1,3397.67
2000036,1,4498.78
2000037,1,1029.33
2000038,0,-1
2000039,1,687.556
2000040,0,-1
2000041,1,7377.78
2000042,0,-1
2000043,1,853.778
2000044,0,-1
2000045,1,345.778
2000046,0,-1
2000047,0,-1
2000048,1,5367.11
2000049,0,-1
2000050,1,661
2000051,0,-1
2000052,1,1029.33
2000053,0,-1
2000054,1,3122.44
2000055,1,6452.22
2000056,1,341.778
2000057,1,3565.22
2000058,1,2993.44
2000059,1,5333.89
2000060,0,-1
2000061,1,687.556
2000062,1,3540
2000063,1,1375.11
2000064,1,3323.22
2000065,1,488.111
2000066,0,-1
2000067,0,-1
2000068,1,5751.44
2000069,0,-1
2000070,0,-1
2000071,1,3411
2000072,0,-1
2000073,1,6744.78
2000074,1,2856.44
2000075,1,1025.33
2000076,1,1371.11
2000077,0,-1
2000078,0,-1
2000079,0,-1
2000080,0,-1
2000081,1,5835.22
2000082,1,6953.56
2000083,1,3399
2000084,0,-1
2000085,0,-1
2000086,1,4041.33
2000087,1,3707.56
2000088,1,683.556
2000089,0,-1
2000090,1,1638.33
2000091,1,7371.11
2000092,1,1371.11
2000093,0,-1
2000094,0,-1
2000095,0,-1
2000096,1,3526.67
2000097,0,-1
2000098,0,-1
2000099,1,3248.78
2000100,1,1113.11
2000101,0,-1
2000102,1,696.889
2000103,1,2994.78
2000104,0,-1
2000105,1,6787.33
2000106,1,4562.56
2000107,0,-1
2000108,1,687.556
