policy,bw_kbps,qsize,sent,delivered,delivery_ratio,queue_drops,mean_delay_ms,p50_delay_ms,p95_delay_ms,load_imbalance,links_active
mappo,12,64,880,880,1,0,3747.88,3033.33,9024,0.710079,48
dijkstra,12,64,882,882,1,0,3781.71,3036,9046.67,0.649608,45
mappo,18,64,880,880,1,0,1978.01,2026.67,4010.67,0.710079,48
dijkstra,18,64,882,882,1,0,2019.76,2026.67,4363.11,0.649608,45
mappo,24,64,880,880,1,0,1378.79,1518,2551.33,0.710079,48
dijkstra,24,64,882,882,1,0,1378.6,1034.67,2554,0.649608,45
mappo,30,64,880,880,1,0,1080.29,1042.67,2038.67,0.710079,48
dijkstra,30,64,882,882,1,0,1053.15,1030.67,2018.67,0.649608,45
mappo,36,64,880,880,1,0,891.537,708.889,1700.89,0.710079,48
dijkstra,36,64,882,882,1,0,855.557,696.889,1679.56,0.649608,45
mappo,48,64,880,880,1,0,663.854,534,1283.67,0.710079,48
dijkstra,48,64,882,882,1,0,634.815,524.667,1041.33,0.649608,45
mappo,60,64,880,880,1,0,532.992,424.533,1033.33,0.710079,48
dijkstra,60,64,882,882,1,0,508.675,424.533,841.067,0.649608,45
mappo,72,64,880,880,1,0,447.855,357.778,866.444,0.710079,48
dijkstra,72,64,882,882,1,0,426.853,353.778,707.556,0.649608,45
mappo,96,64,880,880,1,0,341.563,274.333,657.833,0.710079,48
dijkstra,96,64,882,882,1,0,325.717,270.333,540.667,0.649608,45
mappo,144,64,880,880,1,0,235.455,190.889,449.222,0.710079,48
dijkstra,144,64,882,882,1,0,224.581,186.889,373.778,0.649608,45
mappo,288,64,880,880,1,0,129.348,107.444,240.611,0.710079,48
dijkstra,288,64,882,882,1,0,123.445,103.444,206.889,0.649608,45
