episode,policy,workload_seed,generated,delivered,dropped,delivery_ratio,throughput_per_slot,mean_delay_slots,p95_delay_slots
0,dijkstra,21001,192,142,3,0.7396,4.7333,6.218,12.0
1,dijkstra,21002,192,131,6,0.6823,4.3667,7.038,15.0
2,dijkstra,21003,192,151,3,0.7865,5.0333,5.377,11.0
3,dijkstra,21004,192,143,5,0.7448,4.7667,6.252,11.0
4,dijkstra,21005,192,132,7,0.6875,4.4,6.629,14.0
5,dijkstra,21006,192,134,3,0.6979,4.4667,5.873,13.0
6,dijkstra,21007,192,146,3,0.7604,4.8667,6.096,14.0
7,dijkstra,21008,192,147,1,0.7656,4.9,6.435,11.0
8,dijkstra,21009,192,143,0,0.7448,4.7667,6.434,11.0
9,dijkstra,21010,192,135,7,0.7031,4.5,6.659,15.0
10,dijkstra,21011,192,139,6,0.724,4.6333,5.921,12.0
11,dijkstra,21012,192,136,5,0.7083,4.5333,6.199,13.0
12,dijkstra,21013,192,135,7,0.7031,4.5,6.444,15.0
13,dijkstra,21014,192,149,2,0.776,4.9667,6.0,11.0
14,dijkstra,21015,192,138,6,0.7188,4.6,6.174,13.15
15,dijkstra,21016,192,141,5,0.7344,4.7,6.645,12.0
