episode,policy,workload_seed,generated,delivered,dropped,delivery_ratio,throughput_per_slot,mean_delay_slots,p95_delay_slots
0,mappo,21001,192,153,0,0.7969,5.1,5.346,10.4
1,mappo,21002,192,150,0,0.7812,5.0,6.02,10.55
2,mappo,21003,192,155,2,0.8073,5.1667,5.819,12.3
3,mappo,21004,192,146,4,0.7604,4.8667,6.37,11.0
4,mappo,21005,192,148,1,0.7708,4.9333,5.405,10.65
5,mappo,21006,192,146,2,0.7604,4.8667,5.788,11.0
6,mappo,21007,192,157,3,0.8177,5.2333,5.459,10.0
7,mappo,21008,192,155,2,0.8073,5.1667,5.445,10.0
8,mappo,21009,192,147,1,0.7656,4.9,6.286,11.0
9,mappo,21010,192,146,1,0.7604,4.8667,5.822,9.75
10,mappo,21011,192,146,3,0.7604,4.8667,5.712,11.0
11,mappo,21012,192,149,0,0.776,4.9667,5.745,10.0
12,mappo,21013,192,153,0,0.7969,5.1,5.797,10.0
13,mappo,21014,192,152,1,0.7917,5.0667,5.842,10.0
14,mappo,21015,192,149,2,0.776,4.9667,6.268,11.6
15,mappo,21016,192,150,2,0.7812,5.0,5.907,10.55
