episode,packet_id,src,dst,traffic_class,created_slot,delivered,delivery_slot,hop_count,delay_slots,delay_ms,path,drop_reason
0,1,23,9,1,1,1,4,4,4,41.39,23 22 21 3 9,
0,2,3,18,0,1,1,6,5,6,49.88,3 21 22 23 24 18,
0,3,24,2,0,1,1,3,3,3,30.82,24 19 1 2,
0,4,8,9,1,1,1,1,1,1,8.88,8 9,
0,5,4,9,2,1,1,2,2,2,21.73,4 3 9,
0,6,16,22,1,1,1,1,1,1,11.79,16 22,
0,7,21,9,1,1,1,2,2,2,24.42,21 15 9,
0,8,18,11,0,1,1,2,2,2,20.81,18 17 11,
0,9,11,9,1,1,1,2,2,2,18.6,11 10 9,
0,10,13,9,0,1,1,3,3,3,29.52,13 14 15 9,
0,11,19,9,1,1,1,5,4,5,39.72,19 20 21 15 9,
0,12,6,9,2,1,1,5,4,5,39.66,6 5 4 3 9,
0,13,4,9,0,1,1,3,2,3,21.64,4 10 9,
0,14,3,21,0,1,1,3,1,3,11.0,3 21,
0,15,13,9,2,1,1,4,3,4,30.52,13 14 8 9,
0,16,12,9,1,1,1,5,3,5,28.1,12 7 8 9,
0,17,11,9,0,1,1,4,2,4,18.92,11 10 9,
0,18,24,9,2,1,1,7,5,7,49.52,24 23 22 21 15 9,
0,19,2,9,0,2,1,6,2,5,20.3,2 3 9,
0,20,15,2,2,2,1,6,3,5,30.81,15 14 20 2,
0,21,23,9,1,2,1,9,4,8,39.28,23 17 16 15 9,
0,22,7,9,0,2,1,6,2,5,18.79,7 8 9,
0,23,5,9,1,2,1,6,3,5,30.3,5 11 10 9,
0,24,4,9,0,2,1,7,2,6,20.15,4 3 9,
0,25,14,9,0,3,1,6,2,4,20.09,14 15 9,
0,26,20,7,1,3,1,6,3,4,32.06,20 19 13 7,
0,27,24,18,1,3,1,4,1,2,10.17,24 18,
0,28,6,9,1,3,1,8,4,6,39.41,6 1 2 8 9,
0,29,10,9,1,3,1,5,1,3,9.49,10 9,
0,30,22,17,0,3,1,7,2,5,19.5,22 16 17,
0,31,4,9,0,4,1,7,2,4,20.3,4 10 9,
