scenario,policy,policy_seed,workload_seed,generated,delivered,dropped,backlog,delivery_ratio,drop_rate,throughput_packets_per_slot,average_delay_slots,p95_delay_slots,mean_queue_packets,max_queue_packets,routing_switches,episode_reward,global_delay_cost,global_queue_cost,global_load_imbalance,global_switch_cost,global_throughput_reward,global_control_overhead_ratio,global_drop_cost,class_0_delivery_ratio,class_1_delivery_ratio,class_2_delivery_ratio
low_load,mappo,7,11001,66,49,3,14,0.7424242424242424,0.045454545454545456,1.6333333333333333,4.73469387755102,10.199999999999989,0.375,3,4,4.0494152240922,0.23023807206186678,0.008580246913580248,0.7912924796362422,0.016456228956228957,0.24366883116883115,0.11352910038839863,0.01074074074074074,0.8823529411764706,0.47058823529411764,0.7333333333333333
low_load,mappo,7,11002,66,53,2,11,0.803030303030303,0.030303030303030304,1.7666666666666666,6.018867924528302,11.799999999999997,0.4513888888888889,3,2,0.49357730680785594,0.28677971802618407,0.010185185185185186,0.7615098608420461,0.007500000000000001,0.2052489177489177,0.09671534550831679,0.005897435897435898,0.7931034482758621,0.8,0.8333333333333334
low_load,mappo,7,11003,66,51,3,12,0.7727272727272727,0.045454545454545456,1.7,4.313725490196078,9.5,0.3611111111111111,3,6,1.6398307357341197,0.24779539287437247,0.008209876543209874,0.7902260453662321,0.03007936507936508,0.21632275132275133,0.10804928681817626,0.013888888888888888,0.9032258064516129,0.5555555555555556,0.7647058823529411
low_load,mappo,7,11004,66,61,1,4,0.9242424242424242,0.015151515151515152,2.033333333333333,5.049180327868853,11.0,0.37222222222222223,3,0,6.47447869570547,0.2301110489484251,0.008209876543209876,0.7676401263378614,0.0,0.272979242979243,0.10638960557585028,0.0030303030303030303,0.9428571428571428,0.9047619047619048,0.9
low_load,mappo,7,11005,66,53,2,11,0.803030303030303,0.030303030303030304,1.7666666666666666,4.867924528301887,10.399999999999999,0.3861111111111111,4,2,5.417871630135842,0.22525056554514808,0.008734567901234568,0.787376035553108,0.006944444444444444,0.25758038258038257,0.11516571162140925,0.005341880341880341,0.8108108108108109,0.8571428571428571,0.625
low_load,mappo,7,11006,66,56,1,9,0.8484848484848485,0.015151515151515152,1.8666666666666667,4.267857142857143,8.5,0.30972222222222223,2,0,7.30339589494278,0.19244146388522868,0.006975308641975309,0.798859692455572,0.0,0.27067941317941313,0.11671283149700871,0.004166666666666667,0.8529411764705882,0.9,0.75
low_load,mappo,7,11007,66,50,3,13,0.7575757575757576,0.045454545454545456,1.6666666666666667,4.16,9.0,0.3388888888888889,3,2,6.167515997864117,0.18377418323184033,0.007746913580246912,0.7875328811415196,0.00787037037037037,0.25376984126984126,0.11656739659948022,0.010000000000000002,0.7142857142857143,0.8,0.8181818181818182
low_load,mappo,7,11008,66,54,2,10,0.8181818181818182,0.030303030303030304,1.8,4.462962962962963,9.0,0.3388888888888889,3,0,5.904561325922074,0.20559588811169163,0.0076543209876543195,0.7903680337625705,0.0,0.256525974025974,0.11403014835732675,0.007037037037037037,0.8387096774193549,0.8421052631578947,0.75
low_load,mappo,7,11009,66,53,3,10,0.803030303030303,0.045454545454545456,1.7666666666666666,4.509433962264151,8.799999999999997,0.3638888888888889,3,0,6.041480771029434,0.1859061214462415,0.008209876543209874,0.8075048180208887,0.0,0.2552910052910053,0.11451004207654952,0.012261904761904762,0.7631578947368421,0.875,0.8333333333333334
low_load,mappo,7,11010,66,51,5,10,0.7727272727272727,0.07575757575757576,1.7,5.0588235294117645,11.0,0.42916666666666664,3,4,1.8862301513067947,0.2301439416174621,0.009660493827160494,0.748622413396556,0.015178571428571427,0.20649003774003774,0.09613222576399694,0.01236111111111111,0.8484848484848485,0.7272727272727273,0.6363636363636364
low_load,mappo,7,11011,66,55,2,9,0.8333333333333334,0.030303030303030304,1.8333333333333333,4.672727272727273,10.0,0.3625,3,5,4.26215947261521,0.21208663730010274,0.008148148148148147,0.7799613846191237,0.01787037037037037,0.23481481481481478,0.10451061923298005,0.008465608465608464,0.8918918918918919,0.6111111111111112,1.0
low_load,mappo,7,11012,66,52,2,12,0.7878787878787878,0.030303030303030304,1.7333333333333334,4.1923076923076925,7.0,0.33611111111111114,2,2,5.341416189233161,0.2029904162223742,0.00765432098765432,0.7922768390026341,0.01111111111111111,0.24775493025493026,0.11898875067105098,0.007500000000000001,0.9722222222222222,0.6666666666666666,0.4166666666666667
low_load,mappo,7,11013,66,49,4,13,0.7424242424242424,0.06060606060606061,1.6333333333333333,5.142857142857143,9.0,0.41388888888888886,3,13,2.5962914805841093,0.2297082627975264,0.009413580246913578,0.7730969184401733,0.037456247456247455,0.21995134495134497,0.10240651140641038,0.01053946053946054,0.8260869565217391,0.7142857142857143,0.6818181818181818
low_load,mappo,7,11014,66,55,1,10,0.8333333333333334,0.015151515151515152,1.8333333333333333,4.945454545454545,11.0,0.35833333333333334,3,0,5.03211706944397,0.235118327850781,0.008086419753086419,0.7881436353150663,0.0,0.25267195767195766,0.1114424645042015,0.0030303030303030303,0.7878787878787878,0.8571428571428571,0.9166666666666666
