scenario,policy,staleness,metric,n,mean,ci95_low,ci95_high
medium_load,dijkstra_stale1,1,delivery_ratio,50,0.7349999999999999,0.7278098958333332,0.7423958333333333
medium_load,dijkstra_stale3,3,delivery_ratio,50,0.7402083333333332,0.7322916666666666,0.7480208333333335
medium_load,dijkstra_stale5,5,delivery_ratio,50,0.73625,0.7275,0.7447942708333335
medium_load,dijkstra_stale10,10,delivery_ratio,50,0.7240625,0.7160416666666666,0.7322916666666667
frequent_break,dijkstra_stale1,1,delivery_ratio,50,0.70625,0.6973958333333334,0.7142708333333332
frequent_break,dijkstra_stale3,3,delivery_ratio,50,0.7026041666666666,0.693125,0.7120859375
frequent_break,dijkstra_stale5,5,delivery_ratio,50,0.7023958333333333,0.6929166666666667,0.7118776041666668
frequent_break,dijkstra_stale10,10,delivery_ratio,50,0.6910416666666666,0.6820833333333333,0.7
fault_links,dijkstra_stale1,1,delivery_ratio,50,0.7150000000000002,0.7036432291666666,0.7263541666666665
fault_links,dijkstra_stale3,3,delivery_ratio,50,0.7157291666666665,0.7026041666666667,0.728125
fault_links,dijkstra_stale5,5,delivery_ratio,50,0.7171875,0.7053098958333333,0.7282317708333333
fault_links,dijkstra_stale10,10,delivery_ratio,50,0.7055208333333334,0.6933333333333332,0.7168776041666667
