scenario,policy,mappo_minus_stale,wilcoxon_p
medium_load,dijkstra_stale1,0.05298177083333333,7.550097219539461e-10
medium_load,dijkstra_stale3,0.047773437500000016,7.550097219539461e-10
medium_load,dijkstra_stale5,0.05173177083333335,7.546683182364461e-10
medium_load,dijkstra_stale10,0.06391927083333333,7.544976683806673e-10
frequent_break,dijkstra_stale1,0.052317708333333324,7.544976683806673e-10
frequent_break,dijkstra_stale3,0.05596354166666666,7.548390027588035e-10
frequent_break,dijkstra_stale5,0.05617187499999999,7.544976683806673e-10
frequent_break,dijkstra_stale10,0.06752604166666666,7.550097219539461e-10
fault_links,dijkstra_stale1,0.04835937500000002,7.538154154994468e-10
fault_links,dijkstra_stale3,0.047630208333333354,7.546683182364461e-10
fault_links,dijkstra_stale5,0.046171875000000015,7.543270531852816e-10
fault_links,dijkstra_stale10,0.05783854166666668,7.548390027588035e-10
