fault_point,policy,metric,n,mean,ci95_low,ci95_high
fr0.00,full_heuristic,delivery_ratio,15,0.3850694444444444,0.3722222222222222,0.39826388888888886
fr0.00,full_heuristic,drop_rate,15,0.1284722222222222,0.12118055555555557,0.13576388888888888
fr0.00,full_heuristic,throughput_packets_per_slot,15,2.464444444444444,2.3822222222222225,2.548888888888889
fr0.00,full_heuristic,average_delay_slots,15,8.612103034420041,8.405664636827373,8.810984716897845
fr0.00,full_heuristic,p95_delay_slots,15,19.006666666666664,18.29,19.726666666666667
fr0.00,full_heuristic,mean_queue_packets,15,2.3621296296296292,2.322222222222222,2.401391203703704
fr0.00,global_dijkstra,delivery_ratio,15,0.7357638888888889,0.7197916666666668,0.7489583333333335
fr0.00,global_dijkstra,drop_rate,15,0.02152777777777777,0.017361111111111112,0.025694444444444447
fr0.00,global_dijkstra,throughput_packets_per_slot,15,4.70888888888889,4.606666666666667,4.793333333333334
fr0.00,global_dijkstra,average_delay_slots,15,6.084917132641177,5.857535320394534,6.328249810745603
fr0.00,global_dijkstra,p95_delay_slots,15,12.496666666666666,11.752833333333331,13.460166666666662
fr0.00,global_dijkstra,mean_queue_packets,15,1.3785185185185183,1.3205532407407408,1.4412083333333334
fr0.00,mappo,delivery_ratio,120,0.7899739583333333,0.785329861111111,0.7943576388888888
fr0.00,mappo,drop_rate,120,0.005164930555555556,0.004123263888888889,0.006293402777777777
fr0.00,mappo,throughput_packets_per_slot,120,5.055833333333334,5.026111111111111,5.083888888888889
fr0.00,mappo,average_delay_slots,120,5.7535789999738025,5.68189289556984,5.828317722196885
fr0.00,mappo,p95_delay_slots,120,10.255416666666665,10.09998958333333,10.41333333333333
fr0.00,mappo,mean_queue_packets,120,1.2214467592592593,1.204537037037037,1.2391435185185182
fr0.04,full_heuristic,delivery_ratio,15,0.36666666666666664,0.3569444444444444,0.3763888888888889
fr0.04,full_heuristic,drop_rate,15,0.14305555555555557,0.13229166666666664,0.15416666666666667
fr0.04,full_heuristic,throughput_packets_per_slot,15,2.3466666666666667,2.2844444444444445,2.408888888888889
fr0.04,full_heuristic,average_delay_slots,15,8.410641344700885,8.210964080318202,8.619538747420952
fr0.04,full_heuristic,p95_delay_slots,15,18.369999999999997,17.729999999999997,19.119999999999997
fr0.04,full_heuristic,mean_queue_packets,15,2.3744444444444444,2.331569444444445,2.413150462962963
