episode,phase,scenario,status,delivered,dropped,hops,total_reward,control_overhead_ratio
1,train,low_load,ttl_exceeded,0,1,12,-17.21745385142863,0.01064
2,train,medium_load,delivered,1,0,12,-10.394850256781222,0.01064
3,train,hotspot_high_load,ttl_exceeded,0,1,12,-17.506929926750693,0.01064
4,train,frequent_break,delivered,1,0,12,-10.15169063470966,0.01064
5,train,fault_links,delivered,1,0,4,-2.792148175183674,0.010752
6,train,low_load,ttl_exceeded,0,1,12,-16.839591523959342,0.01064
7,train,medium_load,ttl_exceeded,0,1,12,-15.04852255569731,0.01064
8,train,hotspot_high_load,delivered,1,0,6,-5.523158298294277,0.010752
9,train,frequent_break,no_valid_action,0,1,5,-6.371669324284394,0.010752
10,train,fault_links,ttl_exceeded,0,1,12,-18.0878883732939,0.01064
11,train,low_load,delivered,1,0,12,-10.475153070946956,0.01064
12,train,medium_load,delivered,1,0,3,-1.0965409913476527,0.010752
13,train,hotspot_high_load,ttl_exceeded,0,1,12,-17.44908712201876,0.01064
14,train,frequent_break,delivered,1,0,8,-7.491617310491252,0.010752
15,train,fault_links,ttl_exceeded,0,1,12,-17.736061409703485,0.01064
16,train,low_load,delivered,1,0,12,-13.422199824552754,0.01064
17,train,medium_load,delivered,1,0,4,-2.6429621959357137,0.010752
18,train,hotspot_high_load,delivered,1,0,12,-10.538733767172435,0.01064
19,train,frequent_break,no_valid_action,0,1,1,-1.885,0.010752
20,train,fault_links,ttl_exceeded,0,1,12,-16.005668270701577,0.01064
21,train,low_load,ttl_exceeded,0,1,12,-17.188094244974423,0.01064
22,train,medium_load,delivered,1,0,6,-4.230488841418575,0.010752
23,train,hotspot_high_load,delivered,1,0,8,-8.345066134588428,0.010752
24,train,frequent_break,no_valid_action,0,1,6,-8.117834425790795,0.010752
25,train,fault_links,ttl_exceeded,0,1,12,-18.069118245978085,0.01064
26,train,low_load,ttl_exceeded,0,1,12,-16.632217276087943,0.01064
27,train,medium_load,ttl_exceeded,0,1,12,-17.37857463774973,0.01064
28,train,hotspot_high_load,ttl_exceeded,0,1,12,-16.488270474360064,0.01064
29,train,frequent_break,no_valid_action,0,1,11,-11.334817492713803,0.010690909090909091
30,train,fault_links,delivered,1,0,11,-10.149571297821296,0.010690909090909091
31,train,low_load,delivered,1,0,3,-2.3407360429938655,0.010752
32,train,medium_load,ttl_exceeded,0,1,12,-15.093510293378475,0.01064
33,train,hotspot_high_load,delivered,1,0,4,-3.5693718804540095,0.010752
34,train,frequent_break,no_valid_action,0,1,10,-11.23015891047906,0.0107296
35,train,fault_links,no_valid_action,0,1,11,-11.585008628976771,0.010690909090909091
36,train,low_load,delivered,1,0,9,-7.822285788167396,0.010752
37,train,medium_load,delivered,1,0,7,-6.982785971905046,0.010752
38,train,hotspot_high_load,delivered,1,0,10,-10.256807521846941,0.0107296
39,train,frequent_break,no_valid_action,0,1,1,-0.74660679586921,0.010752
40,train,fault_links,no_valid_action,0,1,11,-13.554337422934122,0.010690909090909091
41,train,low_load,ttl_exceeded,0,1,12,-17.24585331267579,0.01064
42,train,medium_load,delivered,1,0,9,-6.601354598771795,0.010752
43,train,hotspot_high_load,ttl_exceeded,0,1,12,-17.22559911735882,0.01064
44,train,frequent_break,no_valid_action,0,1,5,-5.935507373364885,0.010752
45,train,fault_links,delivered,1,0,5,-3.971723246877849,0.010752
46,train,low_load,delivered,1,0,4,-1.8035278892481064,0.010752
47,train,medium_load,ttl_exceeded,0,1,12,-17.396303802931897,0.01064
48,train,hotspot_high_load,ttl_exceeded,0,1,12,-14.238213524103909,0.01064
49,train,frequent_break,delivered,1,0,1,1.3708711561140938,0.010752
50,train,fault_links,ttl_exceeded,0,1,12,-16.473443887870996,0.01064
51,train,low_load,ttl_exceeded,0,1,12,-15.957389295865934,0.01064
52,train,medium_load,delivered,1,0,6,-5.00430845583091,0.010752
53,train,hotspot_high_load,delivered,1,0,1,0.6650760222723293,0.010752
54,train,frequent_break,delivered,1,0,8,-7.026178238332045,0.010752
55,train,fault_links,ttl_exceeded,0,1,12,-16.161031473037564,0.01064
56,train,low_load,delivered,1,0,4,-3.188587580046301,0.010752
57,train,medium_load,delivered,1,0,1,0.565,0.010752
58,train,hotspot_high_load,ttl_exceeded,0,1,12,-17.005801522346477,0.01064
59,train,frequent_break,ttl_exceeded,0,1,12,-17.733416263550758,0.01064
60,train,fault_links,delivered,1,0,4,-2.1695630019808694,0.010752
61,train,low_load,delivered,1,0,9,-8.554405314542313,0.010752
62,train,medium_load,delivered,1,0,12,-10.704899279580701,0.01064
63,train,hotspot_high_load,no_valid_action,0,1,11,-13.00310273963182,0.010690909090909091
64,train,frequent_break,no_valid_action,0,1,9,-11.637939434961512,0.010752
65,train,fault_links,delivered,1,0,1,0.6650760222723293,0.010752
66,train,low_load,delivered,1,0,12,-13.421696143931594,0.01064
67,train,medium_load,delivered,1,0,7,-6.637726861520074,0.010752
68,train,hotspot_high_load,ttl_exceeded,0,1,12,-17.347172283450387,0.01064
69,train,frequent_break,no_valid_action,0,1,1,-0.6604308609287524,0.010752
70,train,fault_links,no_valid_action,0,1,10,-11.771746548871645,0.0107296
71,train,low_load,delivered,1,0,9,-8.306005704709204,0.010752
72,train,medium_load,ttl_exceeded,0,1,12,-16.2664527903706,0.01064
73,train,hotspot_high_load,ttl_exceeded,0,1,12,-16.9660546653561,0.01064
74,train,frequent_break,no_valid_action,0,1,4,-5.050814242610995,0.010752
75,train,fault_links,delivered,1,0,6,-4.773263248329729,0.010752
76,train,low_load,ttl_exceeded,0,1,12,-17.268386754684546,0.01064
77,train,medium_load,delivered,1,0,5,-3.3446411585808002,0.010752
78,train,hotspot_high_load,ttl_exceeded,0,1,12,-16.693319438705334,0.01064
79,train,frequent_break,delivered,1,0,5,-3.9470389152382226,0.010752
80,train,fault_links,delivered,1,0,6,-5.47019899488888,0.010752
81,train,low_load,delivered,1,0,4,-2.9324686871540484,0.010752
82,train,medium_load,delivered,1,0,10,-10.47041935400727,0.0107296
83,train,hotspot_high_load,no_valid_action,0,1,11,-13.474503784187746,0.010690909090909091
84,train,frequent_break,delivered,1,0,10,-11.748017047585487,0.0107296
85,train,fault_links,delivered,1,0,8,-7.025202764703682,0.010752
86,train,low_load,no_valid_action,0,1,10,-12.781914815790953,0.0107296
87,train,medium_load,delivered,1,0,2,0.5446323287817596,0.010752
88,train,hotspot_high_load,no_valid_action,0,1,9,-11.714541629276072,0.010752
89,train,frequent_break,no_valid_action,0,1,5,-4.792510607307239,0.010752
90,train,fault_links,delivered,1,0,9,-9.12223692023133,0.010752
91,train,low_load,ttl_exceeded,0,1,12,-16.190665971170407,0.01064
92,train,medium_load,ttl_exceeded,0,1,12,-16.986356709234194,0.01064
93,train,hotspot_high_load,delivered,1,0,6,-5.01419803000041,0.010752
94,train,frequent_break,no_valid_action,0,1,11,-12.06826334430395,0.010690909090909091
95,train,fault_links,ttl_exceeded,0,1,12,-17.66883249697481,0.01064
96,train,low_load,ttl_exceeded,0,1,12,-19.0482190659133,0.01064
97,train,medium_load,ttl_exceeded,0,1,12,-16.553191722340703,0.01064
98,train,hotspot_high_load,no_valid_action,0,1,9,-11.926975297026614,0.010752
99,train,frequent_break,delivered,1,0,3,-1.0359243874652697,0.010752
100,train,fault_links,no_valid_action,0,1,5,-6.968965028004445,0.010752
100,eval,low_load,ttl_exceeded,0,1,12,-14.953404733837985,0.01064
100,eval,medium_load,ttl_exceeded,0,1,12,-14.953404733837985,0.01064
100,eval,hotspot_high_load,ttl_exceeded,0,1,12,-14.953404733837985,0.01064
100,eval,frequent_break,delivered,1,0,5,-4.764493062846443,0.010752
100,eval,fault_links,ttl_exceeded,0,1,12,-14.949441478542447,0.01064
101,train,low_load,delivered,1,0,4,-2.7031067657972008,0.010752
102,train,medium_load,ttl_exceeded,0,1,12,-16.57230339321824,0.01064
103,train,hotspot_high_load,delivered,1,0,3,-1.4209122539709007,0.010752
104,train,frequent_break,no_valid_action,0,1,0,0.0,0.0
105,train,fault_links,ttl_exceeded,0,1,12,-16.52540420527407,0.01064
106,train,low_load,ttl_exceeded,0,1,12,-17.120887104922183,0.01064
107,train,medium_load,delivered,1,0,11,-10.238279153660764,0.010690909090909091
108,train,hotspot_high_load,ttl_exceeded,0,1,12,-17.80424100916742,0.01064
109,train,frequent_break,no_valid_action,0,1,5,-5.350148819949215,0.010752
110,train,fault_links,ttl_exceeded,0,1,12,-15.267328686402836,0.01064
111,train,low_load,delivered,1,0,6,-4.60056868495986,0.010752
112,train,medium_load,delivered,1,0,7,-5.635818960701519,0.010752
113,train,hotspot_high_load,ttl_exceeded,0,1,12,-16.276181806064606,0.01064
114,train,frequent_break,no_valid_action,0,1,9,-11.13709462102849,0.010752
115,train,fault_links,delivered,1,0,1,1.3708711561140938,0.010752
116,train,low_load,delivered,1,0,10,-9.360804358106465,0.0107296
117,train,medium_load,delivered,1,0,6,-5.066828558012998,0.010752
118,train,hotspot_high_load,delivered,1,0,7,-5.563383652554829,0.010752
119,train,frequent_break,no_valid_action,0,1,6,-7.406619582011432,0.010752
120,train,fault_links,delivered,1,0,5,-3.0865537036350696,0.010752
121,train,low_load,ttl_exceeded,0,1,12,-18.36228863765191,0.01064
122,train,medium_load,ttl_exceeded,0,1,12,-15.984924631584768,0.01064
123,train,hotspot_high_load,delivered,1,0,10,-9.54495619066764,0.0107296
124,train,frequent_break,no_valid_action,0,1,1,-0.7604308609287525,0.010752
125,train,fault_links,delivered,1,0,7,-6.278227146157098,0.010752
126,train,low_load,delivered,1,0,8,-6.573227286894307,0.010752
127,train,medium_load,delivered,1,0,7,-5.084981131486821,0.010752
128,train,hotspot_high_load,ttl_exceeded,0,1,12,-16.757386637130466,0.01064
129,train,frequent_break,delivered,1,0,10,-9.80913146891618,0.0107296
130,train,fault_links,delivered,1,0,2,-0.195354838656423,0.010752
131,train,low_load,ttl_exceeded,0,1,12,-17.057757005915498,0.01064
132,train,medium_load,delivered,1,0,6,-4.503479014368757,0.010752
133,train,hotspot_high_load,ttl_exceeded,0,1,12,-16.541346513897494,0.01064
134,train,frequent_break,no_valid_action,0,1,10,-10.728088993240233,0.0107296
135,train,fault_links,no_valid_action,0,1,5,-5.0740434048722,0.010752
136,train,low_load,delivered,1,0,9,-8.380082671324175,0.010752
137,train,medium_load,delivered,1,0,5,-3.3843885220926855,0.010752
138,train,hotspot_high_load,delivered,1,0,11,-11.167972250061545,0.010690909090909091
139,train,frequent_break,ttl_exceeded,0,1,12,-15.707197668135239,0.01064
140,train,fault_links,no_valid_action,0,1,5,-6.23253331766208,0.010752
141,train,low_load,ttl_exceeded,0,1,12,-18.28551586058412,0.01064
142,train,medium_load,ttl_exceeded,0,1,12,-16.243027255502156,0.01064
143,train,hotspot_high_load,delivered,1,0,6,-4.885263403777595,0.010752
144,train,frequent_break,ttl_exceeded,0,1,12,-17.01891235040698,0.01064
145,train,fault_links,delivered,1,0,4,-2.318021735061426,0.010752
146,train,low_load,delivered,1,0,3,-0.9225376411613264,0.010752
147,train,medium_load,delivered,1,0,5,-4.944926828637932,0.010752
148,train,hotspot_high_load,delivered,1,0,12,-12.63171676229872,0.01064
149,train,frequent_break,no_valid_action,0,1,1,-0.7748867162319337,0.010752
150,train,fault_links,delivered,1,0,4,-2.924453910305245,0.010752
151,train,low_load,ttl_exceeded,0,1,12,-15.320520197128229,0.01064
152,train,medium_load,ttl_exceeded,0,1,12,-15.847914771854658,0.01064
153,train,hotspot_high_load,delivered,1,0,12,-12.557081296332743,0.01064
154,train,frequent_break,ttl_exceeded,0,1,12,-17.55111091912588,0.01064
155,train,fault_links,delivered,1,0,9,-7.10554240719013,0.010752
156,train,low_load,delivered,1,0,6,-4.241628038966041,0.010752
157,train,medium_load,delivered,1,0,7,-6.797883844885742,0.010752
158,train,hotspot_high_load,ttl_exceeded,0,1,12,-16.325455102185536,0.01064
159,train,frequent_break,delivered,1,0,6,-5.2320150175492905,0.010752
160,train,fault_links,delivered,1,0,3,-1.7362983757731505,0.010752
161,train,low_load,delivered,1,0,10,-9.19870107678621,0.0107296
162,train,medium_load,delivered,1,0,3,-0.3644464210465921,0.010752
163,train,hotspot_high_load,delivered,1,0,10,-10.174015984656068,0.0107296
164,train,frequent_break,no_valid_action,0,1,3,-4.019440144839178,0.010752
165,train,fault_links,ttl_exceeded,0,1,12,-17.390468263479367,0.01064
166,train,low_load,ttl_exceeded,0,1,12,-15.155308030104909,0.01064
167,train,medium_load,delivered,1,0,2,0.5446323287817596,0.010752
168,train,hotspot_high_load,delivered,1,0,3,-1.7258515041067324,0.010752
169,train,frequent_break,delivered,1,0,8,-8.148233744721153,0.010752
170,train,fault_links,delivered,1,0,3,-0.9906729916625632,0.010752
171,train,low_load,delivered,1,0,8,-9.000518428657898,0.010752
172,train,medium_load,ttl_exceeded,0,1,12,-15.641167653717496,0.01064
173,train,hotspot_high_load,ttl_exceeded,0,1,12,-15.813844251095633,0.01064
174,train,frequent_break,no_valid_action,0,1,3,-2.940814242610995,0.010752
175,train,fault_links,delivered,1,0,2,-0.2529593450254519,0.010752
176,train,low_load,delivered,1,0,10,-10.183386779276523,0.0107296
177,train,medium_load,ttl_exceeded,0,1,12,-16.98018066586148,0.01064
178,train,hotspot_high_load,ttl_exceeded,0,1,12,-17.193704568321266,0.01064
179,train,frequent_break,no_valid_action,0,1,4,-5.189816683783658,0.010752
180,train,fault_links,delivered,1,0,3,-2.1698669534343176,0.010752
181,train,low_load,delivered,1,0,12,-12.309165377941742,0.01064
182,train,medium_load,delivered,1,0,8,-7.852147999406351,0.010752
183,train,hotspot_high_load,delivered,1,0,10,-8.21765661581464,0.0107296
184,train,frequent_break,no_valid_action,0,1,11,-13.965968518761784,0.010690909090909091
185,train,fault_links,delivered,1,0,5,-3.80012569053674,0.010752
186,train,low_load,ttl_exceeded,0,1,12,-17.989523475786356,0.01064
187,train,medium_load,ttl_exceeded,0,1,12,-15.030167006617905,0.01064
188,train,hotspot_high_load,ttl_exceeded,0,1,12,-17.004578469495705,0.01064
189,train,frequent_break,delivered,1,0,7,-6.494747391838667,0.010752
190,train,fault_links,ttl_exceeded,0,1,12,-17.816079495003205,0.01064
191,train,low_load,ttl_exceeded,0,1,12,-15.962079846275913,0.01064
192,train,medium_load,no_valid_action,0,1,10,-10.23459775748569,0.0107296
193,train,hotspot_high_load,delivered,1,0,1,0.565,0.010752
194,train,frequent_break,ttl_exceeded,0,1,12,-17.149681496264762,0.01064
195,train,fault_links,delivered,1,0,10,-10.290681680964038,0.0107296
196,train,low_load,ttl_exceeded,0,1,12,-17.7199683066468,0.01064
197,train,medium_load,delivered,1,0,4,-1.8337092526025376,0.010752
198,train,hotspot_high_load,delivered,1,0,8,-7.243310732899351,0.010752
199,train,frequent_break,no_valid_action,0,1,5,-6.514385671182424,0.010752
200,train,fault_links,delivered,1,0,3,-1.2499292957684873,0.010752
200,eval,low_load,delivered,1,0,3,-1.0965409913476527,0.010752
200,eval,medium_load,delivered,1,0,3,-1.0965409913476527,0.010752
200,eval,hotspot_high_load,delivered,1,0,3,-1.0965409913476527,0.010752
200,eval,frequent_break,delivered,1,0,3,-1.0965409913476527,0.010752
200,eval,fault_links,delivered,1,0,3,-1.0965409913476527,0.010752
201,train,low_load,delivered,1,0,3,-2.0919003645507095,0.010752
202,train,medium_load,delivered,1,0,7,-5.6951753001188585,0.010752
203,train,hotspot_high_load,ttl_exceeded,0,1,12,-17.196075952850663,0.01064
204,train,frequent_break,ttl_exceeded,0,1,12,-16.208536901576593,0.01064
205,train,fault_links,ttl_exceeded,0,1,12,-17.76886738699842,0.01064
206,train,low_load,no_valid_action,0,1,11,-13.401750992045518,0.010690909090909091
207,train,medium_load,no_valid_action,0,1,11,-12.055845817581968,0.010690909090909091
208,train,hotspot_high_load,delivered,1,0,1,1.3533932041307901,0.010752
209,train,frequent_break,delivered,1,0,12,-11.912954142346369,0.01064
210,train,fault_links,delivered,1,0,8,-7.822005324440134,0.010752
211,train,low_load,delivered,1,0,9,-8.639315787335331,0.010752
212,train,medium_load,delivered,1,0,10,-9.537018494954406,0.0107296
213,train,hotspot_high_load,delivered,1,0,4,-2.56845500588957,0.010752
214,train,frequent_break,no_valid_action,0,1,5,-5.201375028946491,0.010752
215,train,fault_links,ttl_exceeded,0,1,12,-17.52525079887804,0.01064
216,train,low_load,ttl_exceeded,0,1,12,-16.042947984196154,0.01064
217,train,medium_load,ttl_exceeded,0,1,12,-17.717254031801822,0.01064
218,train,hotspot_high_load,delivered,1,0,6,-4.637471450916232,0.010752
219,train,frequent_break,no_valid_action,0,1,10,-11.062036675503991,0.0107296
220,train,fault_links,no_valid_action,0,1,9,-10.779447536905131,0.010752
221,train,low_load,delivered,1,0,6,-4.812904565849953,0.010752
222,train,medium_load,ttl_exceeded,0,1,12,-16.869195445417926,0.01064
223,train,hotspot_high_load,ttl_exceeded,0,1,12,-17.14457015558267,0.01064
224,train,frequent_break,ttl_exceeded,0,1,12,-16.801003633731934,0.01064
225,train,fault_links,ttl_exceeded,0,1,12,-17.71498630479844,0.01064
226,train,low_load,delivered,1,0,4,-2.945505822514937,0.010752
227,train,medium_load,delivered,1,0,11,-10.92437093139479,0.010690909090909091
228,train,hotspot_high_load,ttl_exceeded,0,1,12,-16.439525921170066,0.01064
229,train,frequent_break,delivered,1,0,4,-2.924453910305245,0.010752
230,train,fault_links,delivered,1,0,3,-1.5517888975531453,0.010752
231,train,low_load,ttl_exceeded,0,1,12,-17.300697065351827,0.01064
232,train,medium_load,delivered,1,0,6,-5.43840397142027,0.010752
233,train,hotspot_high_load,ttl_exceeded,0,1,12,-17.448829316440964,0.01064
234,train,frequent_break,delivered,1,0,5,-3.9120535818539772,0.010752
235,train,fault_links,ttl_exceeded,0,1,12,-18.291288565123427,0.01064
236,train,low_load,delivered,1,0,11,-10.361901444566204,0.010690909090909091
237,train,medium_load,delivered,1,0,1,0.6650760222723293,0.010752
238,train,hotspot_high_load,ttl_exceeded,0,1,12,-16.290438379177623,0.01064
239,train,frequent_break,no_valid_action,0,1,4,-3.909823706520685,0.010752
240,train,fault_links,delivered,1,0,11,-12.479016975653012,0.010690909090909091
241,train,low_load,ttl_exceeded,0,1,12,-15.229574508635483,0.01064
242,train,medium_load,delivered,1,0,3,-1.5517888975531453,0.010752
243,train,hotspot_high_load,delivered,1,0,10,-10.63376356239471,0.0107296
244,train,frequent_break,delivered,1,0,9,-8.793411449051039,0.010752
245,train,fault_links,ttl_exceeded,0,1,12,-15.995857933561126,0.01064
