timeSlot,policyId,policy,delivered,dropped,maxQueue,avgQueue,jainLoad,invalidActions,candidateActions,avgLocalReward
1,0,P0_delay_only,17,0,1,0.0833333333333333,0.720526315789475,0,1632,-0.789044995330066
2,0,P0_delay_only,15,0,3,0.125,0.702111587982833,0,1440,-0.604577422745789
3,0,P0_delay_only,16,0,1,0.0416666666666667,0.662437657981878,0,1536,-0.960732405910431
4,0,P0_delay_only,16,0,5,0.25,0.526676452638386,0,1536,-0.904606844019036
5,0,P0_delay_only,17,0,6,0.333333333333333,0.450065129876812,0,1632,-0.776132417216856
6,0,P0_delay_only,17,0,10,0.583333333333333,0.464809686440195,0,1632,-0.851521343904253
7,0,P0_delay_only,18,0,14,0.791666666666667,0.452962250473924,0,1728,-0.669205174791037
8,0,P0_delay_only,18,0,19,1.125,0.416436385190629,0,1728,-0.733329480990804
9,0,P0_delay_only,16,0,19,1.29166666666667,0.445091457254891,0,1536,-0.617711051494661
10,0,P0_delay_only,18,0,20,1.375,0.411675213287405,0,1692,-0.619794708064835
11,0,P0_delay_only,17,0,19,1.45833333333333,0.496339381206765,0,1564,-0.581576502418211
12,0,P0_delay_only,18,0,16,1.33333333333333,0.509177497823474,0,1620,-0.692779864341971
13,0,P0_delay_only,17,0,14,1.29166666666667,0.474876688618502,0,1496,-0.693912996046402
14,0,P0_delay_only,17,0,13,1.29166666666667,0.480947933691338,0,1462,-0.665031976052994
15,0,P0_delay_only,18,0,11,1.25,0.470023317186239,0,1512,-0.725342424915256
16,0,P0_delay_only,18,0,10,1.125,0.470001221136999,0,1548,-0.659920308643857
17,0,P0_delay_only,17,0,10,1.125,0.501250520381115,0,1496,-0.576967261669543
18,0,P0_delay_only,18,0,11,1.08333333333333,0.516327538422007,0,1620,-0.861933075938816
19,0,P0_delay_only,17,0,13,1.08333333333333,0.445132427329186,0,1564,-0.870631797675361
20,0,P0_delay_only,14,0,15,0.916666666666667,0.411248551755438,0,1316,-0.571974777520785
21,0,P0_delay_only,17,0,19,0.958333333333333,0.368001112733609,0,1632,-0.824331049438454
22,0,P0_delay_only,18,0,21,1.20833333333333,0.384482492461557,0,1728,-0.52019284486062
23,0,P0_delay_only,18,0,24,1.5,0.332729236322741,0,1728,-0.811386054307917
24,0,P0_delay_only,17,0,28,1.54166666666667,0.355339706503392,0,1632,-0.7589026179291
25,0,P0_delay_only,18,0,31,1.66666666666667,0.344992228973149,0,1728,-0.751946205158438
26,0,P0_delay_only,18,0,32,1.83333333333333,0.42175815822264,0,1728,-0.925089983284453
27,0,P0_delay_only,18,0,30,1.66666666666667,0.476216268460269,0,1728,-0.856611105285628
28,0,P0_delay_only,16,0,29,1.625,0.442693342655439,0,1536,-0.689514447726296
29,0,P0_delay_only,18,0,30,1.83333333333333,0.420439683155416,0,1728,-0.865914719147904
30,0,P0_delay_only,17,0,30,1.875,0.424087767676111,0,1632,-0.998536102434226
1,1,P1_queue_load,17,0,0,0,0.776077097505669,0,1632,-0.793543271910604
2,1,P1_queue_load,15,0,0,0,0.702429585035476,0,1440,-0.655108460612836
3,1,P1_queue_load,16,0,0,0,0.643411060770548,0,1536,-0.855073114387189
4,1,P1_queue_load,16,0,1,0.0416666666666667,0.607075325680585,0,1536,-0.878216938162554
5,1,P1_queue_load,17,0,1,0.0416666666666667,0.569647333547458,0,1632,-0.675726944237734
6,1,P1_queue_load,17,0,0,0,0.63846081070763,0,1632,-0.714248155819592
7,1,P1_queue_load,18,0,1,0.0416666666666667,0.63386277826559,0,1728,-0.607849345227301
8,1,P1_queue_load,18,0,1,0.125,0.628795601578262,0,1728,-0.784571397095683
9,1,P1_queue_load,16,0,0,0,0.660541510344897,0,1536,-0.655616852334026
10,1,P1_queue_load,18,0,1,0.0416666666666667,0.616024628111532,0,1692,-0.48563510396304
11,1,P1_queue_load,17,0,1,0.0833333333333333,0.558554972854146,0,1564,-0.565301290810064
12,1,P1_queue_load,18,0,1,0.0416666666666667,0.630337025730678,0,1620,-0.576234725271766
13,1,P1_queue_load,17,0,1,0.0416666666666667,0.60215568890755,0,1496,-0.522972875224627
14,1,P1_queue_load,17,0,1,0.0416666666666667,0.618405874044943,0,1462,-0.549805718137569
15,1,P1_queue_load,18,0,1,0.0416666666666667,0.623540719163909,0,1512,-0.615578431696323
16,1,P1_queue_load,18,0,0,0,0.568615156957462,0,1548,-0.506206368711408
17,1,P1_queue_load,17,0,0,0,0.567013177270097,0,1496,-0.486112182963357
18,1,P1_queue_load,18,0,0,0,0.565280127297957,0,1620,-0.693797795191287
19,1,P1_queue_load,17,0,0,0,0.532514609500418,0,1564,-0.675882882538113
20,1,P1_queue_load,14,0,0,0,0.514557086560403,0,1316,-0.449209876653084
21,1,P1_queue_load,17,0,1,0.0416666666666667,0.544689138998698,0,1632,-0.766972521902027
22,1,P1_queue_load,18,0,1,0.125,0.564996851236803,0,1728,-0.59781357195342
23,1,P1_queue_load,18,0,2,0.208333333333333,0.488719547486626,0,1728,-0.45799445224577
24,1,P1_queue_load,17,0,1,0.0833333333333333,0.548598771154842,0,1632,-0.866842642710784
25,1,P1_queue_load,18,0,1,0.0416666666666667,0.567250194593337,0,1728,-0.553511427899804
26,1,P1_queue_load,18,0,1,0.0833333333333333,0.61679881219849,0,1728,-0.822399186743063
27,1,P1_queue_load,18,0,0,0,0.601251174111704,0,1728,-0.810926714750274
28,1,P1_queue_load,16,0,0,0,0.570183860404063,0,1536,-0.791966230949025
29,1,P1_queue_load,18,0,1,0.0416666666666667,0.562453559779781,0,1728,-0.822767435109996
30,1,P1_queue_load,17,0,1,0.0416666666666667,0.539725840559955,0,1632,-0.816455013532818
1,2,P2_queue_load_lifetime_mask,17,0,1,0.0416666666666667,0.821603128054741,102,1632,-0.646838731298469
2,2,P2_queue_load_lifetime_mask,15,0,2,0.0833333333333333,0.760060099098299,90,1440,-0.521370567664481
3,2,P2_queue_load_lifetime_mask,16,0,4,0.25,0.559350644855921,96,1536,-0.646459957300637
4,2,P2_queue_load_lifetime_mask,16,0,9,0.5,0.459716163962057,96,1536,-0.727843557506991
5,2,P2_queue_load_lifetime_mask,17,0,12,0.541666666666667,0.441931744480767,102,1632,-0.6739788346136
