t,pid,name,src,dst,cur,act,hop,nCand,masked,qAct,delayAct,rhoAct,relAct,tremAct,reward,done,failCode
1,0,global_dijkstra,4,18,4,5,1,96,0,0,9.17274722370204,0,0.995,999,-0.166289012836754,0,0
1,0,global_dijkstra,7,13,7,13,1,96,0,0,13.5061429320072,0,0.995,5,2.28869285339964,1,0
1,0,global_dijkstra,1,23,1,6,1,96,0,1,9.42658477444273,0,0.995,999,-0.206758668151566,0,0
1,0,global_dijkstra,22,1,22,4,1,96,0,0,11.910270339299,0,0.995,2,-0.851513516964949,0,0
1,0,global_dijkstra,23,4,23,5,1,96,0,1,11.5549581320874,0,0.995,3,-0.861525684382146,0,0
1,0,global_dijkstra,7,15,7,8,1,96,0,0,8.52706223612201,0,0.995,999,-0.134004763457752,0,0
1,0,global_dijkstra,23,9,23,5,1,96,0,2,11.5549581320874,0.01,0.9938,3,-0.899243462159924,0,0
1,0,global_dijkstra,21,9,21,3,1,96,0,1,12.2684665316353,0,0.995,9,-0.530534437692877,0,0
1,0,global_dijkstra,1,9,1,2,1,96,0,1,8.52706223612201,0.01,0.9938,999,-0.17172254123553,0,0
1,0,global_dijkstra,13,9,13,14,1,96,0,0,8.52706223612201,0,0.995,999,-0.134004763457752,0,0
1,0,global_dijkstra,14,9,14,15,1,96,0,1,8.76934891610886,0.01,0.9938,999,-0.183836875234872,0,0
1,0,global_dijkstra,12,9,12,7,1,96,0,0,9.42658477444273,0,0.995,999,-0.178980890373788,0,0
1,0,global_dijkstra,19,9,19,20,1,96,0,0,8.52706223612201,0,0.995,999,-0.134004763457752,0,0
1,0,global_dijkstra,4,9,4,10,1,96,0,1,12.947737324946,0,0.995,7,-0.616878929739363,0,0
1,0,global_dijkstra,19,9,19,20,1,96,0,1,8.52706223612201,0.01,0.9938,999,-0.17172254123553,0,0
1,0,global_dijkstra,1,9,1,2,1,96,0,2,8.52706223612201,0.02,0.9926,999,-0.209440319013308,0,0
1,0,global_dijkstra,4,9,4,10,1,96,0,2,12.947737324946,0.01,0.9938,7,-0.654596707517141,0,0
1,0,global_dijkstra,3,9,3,9,1,96,0,1,13.2469796037175,0.05,0.989,6,2.27917324203635,1,0
2,0,global_dijkstra,8,17,8,7,1,96,0,0,8.76934891610886,0.011,0.99368,999,-0.157053097457095,0,0
2,0,global_dijkstra,12,20,12,18,1,96,0,1,11.5549581320874,0.01,0.9938,2,-0.871465684382146,0,0
2,0,global_dijkstra,7,18,7,12,1,96,0,1,9.4864246426519,0.0155,0.99314,999,-0.225157661562025,0,0
2,0,global_dijkstra,17,8,17,18,1,96,0,2,9.42658477444273,0.01,0.9938,999,-0.244476445929344,0,0
2,0,global_dijkstra,9,24,9,8,1,96,0,0,8.98690808890957,0.011,0.99368,999,-0.16793105609713,0,0
2,0,global_dijkstra,15,23,15,16,1,96,0,0,9.17274722370204,0,0.995,999,-0.166289012836754,0,0
2,0,global_dijkstra,19,9,19,20,1,96,0,0,8.76934891610886,0.021,0.99248,999,-0.166993097457095,0,0
2,0,global_dijkstra,20,9,20,21,1,96,0,1,8.98690808890957,0.021,0.99248,999,-0.205648833874908,0,0
2,0,global_dijkstra,10,9,10,9,1,96,0,0,9.17274722370204,0.0165,0.99302,999,2.81730998716325,1,0
2,0,global_dijkstra,11,9,11,10,1,96,0,0,9.32089329778511,0.0055,0.99434,999,-0.179163316540907,0,0
2,0,global_dijkstra,10,9,10,9,1,96,0,0,9.17274722370204,0.0365,0.99062,999,2.79742998716325,1,0
2,0,global_dijkstra,24,9,24,18,1,96,0,4,11.2139499366922,0.0255,0.99194,3,-0.953155607945719,0,0
2,0,global_dijkstra,5,9,5,11,1,96,0,0,12.2684665316353,0.0055,0.99434,8,-0.531140326581766,0,0
2,0,global_dijkstra,24,9,24,18,1,96,0,5,11.2139499366922,0.0355,0.99074,3,-0.990873385723497,0,0
2,0,global_dijkstra,11,9,11,10,1,96,0,2,9.32089329778511,0.0255,0.99194,999,-0.254598872096462,0,0
2,0,global_dijkstra,11,9,11,10,1,96,0,3,9.32089329778511,0.0355,0.99074,999,-0.29231664987424,0,0
2,0,global_dijkstra,12,9,12,7,1,96,0,5,9.4864246426519,0.0655,0.98714,999,-0.385968772673136,0,0
3,0,global_dijkstra,12,1,12,6,1,96,0,0,11.5549581320874,0,0.995,9,-0.467081239937702,0,0
3,0,global_dijkstra,3,18,3,2,1,96,0,0,9.17274722370204,0.009075,0.993911,999,-0.175309562836754,0,0
3,0,global_dijkstra,16,1,16,17,1,96,0,0,9.42658477444273,0.0055,0.99434,999,-0.184447890373788,0,0
3,0,global_dijkstra,8,6,8,7,1,96,0,3,8.98690808890957,0.03905,0.990314,999,-0.279146089430463,0,0
3,0,global_dijkstra,2,13,2,20,1,96,0,0,11.910270339299,0,0.995,8,-0.507763516964948,0,0
3,0,global_dijkstra,10,2,10,4,1,96,0,0,12.2684665316353,0.00605,0.994274,7,-0.561151312296051,0,0
3,0,global_dijkstra,14,9,14,15,1,96,0,0,9.17274722370204,0.00605,0.994274,999,-0.172302712836754,0,0
3,0,global_dijkstra,20,9,20,21,1,96,0,0,9.17274722370204,0.01705,0.992954,999,-0.183236712836754,0,0
3,0,global_dijkstra,3,9,3,9,1,96,0,0,12.6180339887499,0.03915,0.990302,6,2.34918320056251,1,0
3,0,global_dijkstra,7,9,7,8,1,96,0,1,8.98690808890957,0.04905,0.989114,999,-0.233530533874908,0,0
3,0,global_dijkstra,16,9,16,10,1,96,0,1,11.910270339299,0,0.995,8,-0.535541294742726,0,0
3,0,global_dijkstra,12,9,12,7,1,96,0,4,9.49848959981197,0.051525,0.988817,999,-0.344903092753361,0,0
3,0,global_dijkstra,13,9,13,14,1,96,0,1,8.98690808890957,0.013025,0.993437,999,-0.197721683874908,0,0
3,0,global_dijkstra,12,9,12,7,1,96,0,5,9.49848959981197,0.061525,0.987617,999,-0.382620870531139,0,0
3,0,global_dijkstra,22,9,22,16,1,96,0,0,11.5549581320874,0,0.995,9,-0.467081239937702,0,0
3,0,global_dijkstra,15,9,15,9,1,96,0,0,12.2684665316353,0.029075,0.991511,7,2.41596183770395,1,0
3,0,global_dijkstra,15,9,15,9,1,96,0,0,12.2684665316353,0.039075,0.990311,7,2.40602183770395,1,0
